session_id,source_file,start_min,end_min,duration_min,sampling_rate_hz,signal_samples,time_samples,original_state_len,aligned_state_len,state_trimmed,wake_count,nrem_count,rem_count,signal_path,time_path,state_path
session_m0000_0060,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m0-60.mat,0,60,60,400.0,1440000,1440000,1804,1800,4,1800,0,0,eeg_npy_data/session_m0000_0060_signal.npy,eeg_npy_data/session_m0000_0060_time.npy,eeg_npy_data/session_m0000_0060_state.npy
session_m0060_0120,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m60-120.mat,60,120,60,400.0,1440000,1440000,1800,1800,0,697,1103,0,eeg_npy_data/session_m0060_0120_signal.npy,eeg_npy_data/session_m0060_0120_time.npy,eeg_npy_data/session_m0060_0120_state.npy
session_m0120_0180,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m120-180.mat,120,180,60,400.0,1440000,1440000,1802,1800,2,620,1138,42,eeg_npy_data/session_m0120_0180_signal.npy,eeg_npy_data/session_m0120_0180_time.npy,eeg_npy_data/session_m0120_0180_state.npy
session_m0180_0240,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m180-240.mat,180,240,60,400.0,1440000,1440000,1800,1800,0,817,884,99,eeg_npy_data/session_m0180_0240_signal.npy,eeg_npy_data/session_m0180_0240_time.npy,eeg_npy_data/session_m0180_0240_state.npy
session_m0240_0300,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m240-300.mat,240,300,60,400.0,1440000,1440000,1800,1800,0,724,946,130,eeg_npy_data/session_m0240_0300_signal.npy,eeg_npy_data/session_m0240_0300_time.npy,eeg_npy_data/session_m0240_0300_state.npy
session_m0300_0360,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m300-360.mat,300,360,60,400.0,1440000,1440000,1800,1800,0,1005,770,25,eeg_npy_data/session_m0300_0360_signal.npy,eeg_npy_data/session_m0300_0360_time.npy,eeg_npy_data/session_m0300_0360_state.npy
session_m0360_0420,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m360-420.mat,360,420,60,400.0,1440000,1440000,1801,1800,1,619,1064,117,eeg_npy_data/session_m0360_0420_signal.npy,eeg_npy_data/session_m0360_0420_time.npy,eeg_npy_data/session_m0360_0420_state.npy
session_m0420_0480,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m420-480.mat,420,480,60,400.0,1440000,1440000,1811,1800,11,792,889,119,eeg_npy_data/session_m0420_0480_signal.npy,eeg_npy_data/session_m0420_0480_time.npy,eeg_npy_data/session_m0420_0480_state.npy
session_m0480_0540,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m480-540.mat,480,540,60,400.0,1440000,1440000,1800,1800,0,895,825,80,eeg_npy_data/session_m0480_0540_signal.npy,eeg_npy_data/session_m0480_0540_time.npy,eeg_npy_data/session_m0480_0540_state.npy
session_m0540_0600,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m540-600.mat,540,600,60,400.0,1440000,1440000,1803,1800,3,955,755,90,eeg_npy_data/session_m0540_0600_signal.npy,eeg_npy_data/session_m0540_0600_time.npy,eeg_npy_data/session_m0540_0600_state.npy
session_m0600_0660,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m600-660.mat,600,660,60,400.0,1440000,1440000,1810,1800,10,866,787,147,eeg_npy_data/session_m0600_0660_signal.npy,eeg_npy_data/session_m0600_0660_time.npy,eeg_npy_data/session_m0600_0660_state.npy
session_m0660_0720,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m660-720.mat,660,720,60,400.0,1440000,1440000,1800,1800,0,1109,657,34,eeg_npy_data/session_m0660_0720_signal.npy,eeg_npy_data/session_m0660_0720_time.npy,eeg_npy_data/session_m0660_0720_state.npy
session_m0720_0780,notebooks/data/EEG_EEG1.1A-B_EMG_EMG.1/EEGEEG1.1A-B_m720-780.mat,720,780,60,400.0,1440000,1440000,1800,1800,0,601,1061,138,eeg_npy_data/session_m0720_0780_signal.npy,eeg_npy_data/session_m0720_0780_time.npy,eeg_npy_data/session_m0720_0780_state.npy
