row_index,original_trial_number,direction,heldout_fold_zero_based,R1,R2
0,159,1,1,3.5492607518664143,1.2963854781958573
1,16,1,4,3.479786623314635,1.2863872376060526
2,566,1,4,6.155125084455721,1.3687853090469226
3,673,1,2,4.391951370795728,1.4987483772986123
4,263,1,3,5.853977273337933,1.5595738670152557
5,389,1,4,2.447008931423807,1.0053994502768155
6,684,1,0,4.267771911943735,1.6522896043802369
7,437,1,3,3.5506192985807914,1.1677125116071485
8,56,1,3,4.130035437988722,1.3859547323200063
9,82,1,4,4.395932091106213,1.38729612727963
10,517,1,0,4.5232890146754094,1.0202227204735832
11,124,1,2,3.1452967900301343,1.114667714662167
12,526,1,3,3.769658304797903,1.505613926804108
13,382,1,2,3.2803681286776083,1.166549620180789
14,80,1,2,4.9862312897666206,1.4162620213752484
15,366,1,1,3.943740954054361,1.1421706545218009
16,156,1,1,5.283209652136311,1.3687372641967577
17,690,1,1,3.017107591907943,0.9352736246319509
18,265,1,0,3.505844377988731,1.3904775065237869
19,445,1,1,3.2962623356667726,1.6895489159299903
20,462,1,2,4.087924240634141,1.2743709830990804
21,152,1,3,3.402211744434303,1.232197232114436
22,188,1,0,4.356214697475985,1.785124927041471
23,195,1,1,2.771188343639438,1.1493596888247963
24,205,1,4,2.942086898261827,1.5111213874656038
25,262,1,0,3.2018263477546944,1.112052750226711
26,571,1,0,3.7162633247791046,1.424022767395906
27,601,1,3,3.134294622545015,1.135818530755805
28,349,1,1,3.6570793009552007,1.1964506213756392
29,236,1,0,3.16183529049368,1.3289655639511309
30,569,1,4,6.498906152172921,1.7556358731368051
31,276,1,2,4.672473692090985,1.5602868339828555
32,40,1,2,3.7937699881678704,1.3599423545676863
33,98,2,3,4.0562398208049935,1.291771659687711
34,260,2,3,3.9953775291268623,1.1842436689326037
35,622,2,4,2.5600535608715576,0.9309231173840774
36,198,2,3,3.567621031587516,1.4176677561908069
37,628,2,1,4.0391592652064965,1.810205138199482
38,647,2,3,3.6946680022418303,1.2025548462289015
39,10,2,0,4.401213194497237,1.7049894578310676
40,412,2,0,4.326778372066697,1.514949914462191
41,670,2,4,4.100922656180374,1.3297200689680546
42,150,2,3,4.235753721224731,1.390710593067653
43,521,2,4,4.850625147200376,1.523765335183271
44,131,2,0,3.647399802539301,1.2453672139209748
45,579,2,2,3.2477030996423544,1.1642241068254493
46,419,2,1,4.765094959601797,1.8249960421529872
47,580,2,3,3.5258161940954347,1.358781891702879
48,428,2,2,4.261298963767636,1.3005205503706354
49,543,2,4,4.05118711841986,1.1783444287427065
50,387,2,4,3.659670035887765,1.652100482287081
51,158,2,1,3.983030294324811,1.4769268715231838
52,275,2,4,3.636135189372142,1.4263014432797738
53,254,2,0,4.966253601619344,1.1966487056366897
54,220,2,0,3.223342668346199,1.106177557511889
55,589,2,2,4.422726184650805,1.2480261843894132
56,530,2,3,3.795551159563795,1.4490234055087885
57,531,2,0,4.407099287508726,1.4504806960723342
