row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,feature_0
0,5,159,1,1,short,4.147922798835551
1,6,16,1,4,short,4.160770302551463
2,12,566,1,4,short,4.307525475548042
3,20,673,1,2,short,4.1927821512558
4,28,263,1,3,short,3.9105280327758107
5,9,389,1,4,short,3.956859172209325
6,2,684,1,0,short,4.376298256434945
7,31,437,1,3,short,4.202228797788848
8,15,56,1,3,short,4.1704417715921736
9,13,82,1,4,short,4.085818113925865
10,30,517,1,0,short,4.231780161909278
11,26,124,1,2,short,4.113399381966275
12,29,526,1,3,short,4.166786333698155
13,7,382,1,2,short,4.217453217782488
14,32,80,1,2,short,4.010220301474776
15,27,366,1,1,short,4.246710187623404
16,21,156,1,1,short,4.095981716162801
17,33,690,1,1,short,4.172155751846498
18,18,265,1,0,short,4.1644195971410465
19,11,445,1,1,short,3.998933137615013
20,4,462,1,2,short,4.216975573010339
21,14,152,1,3,short,4.183393817357264
22,25,188,1,0,short,4.067435941429612
23,17,195,1,1,short,4.120058414107172
24,16,205,1,4,short,4.144756743061946
25,24,262,1,0,short,4.279048130590329
26,1,571,1,0,short,4.286357520767959
27,0,601,1,3,short,3.9600087457888327
28,8,349,1,1,short,4.095878864685443
29,3,236,1,0,short,3.92111689894397
30,23,569,1,4,short,3.999215624289752
31,22,276,1,2,short,4.1773643137998855
32,10,40,1,2,short,4.390414935059902
33,59,98,2,3,short,4.402807450397288
34,43,260,2,3,short,4.147981403875102
35,35,622,2,4,short,4.141072548305746
36,39,198,2,3,short,3.962724621489165
37,54,628,2,1,short,4.215728585494935
38,60,647,2,3,short,4.133862693000078
39,50,10,2,0,short,4.013120497467759
40,52,412,2,0,short,4.028296492749914
41,49,670,2,4,short,4.163079609250886
42,55,150,2,3,short,4.22428341944866
43,38,521,2,4,short,4.546661985601872
44,65,131,2,0,short,3.9580974628691363
45,41,579,2,2,short,4.3488044585472725
46,66,419,2,1,short,4.2001680202369025
47,58,580,2,3,short,4.367995440609277
48,44,428,2,2,short,4.468013370169636
49,36,543,2,4,short,4.302918201344269
50,61,387,2,4,short,4.320858209506625
51,45,158,2,1,short,4.412035771992947
52,51,275,2,4,short,4.060516290108788
53,63,254,2,0,short,4.380852813245359
54,62,220,2,0,short,4.012829044414886
55,64,589,2,2,short,4.326020647320094
56,53,530,2,3,short,3.996164282415561
57,56,531,2,0,short,4.449937993337799
58,67,91,2,1,short,4.086277644929018
59,37,96,2,2,short,4.338365202947515
60,47,197,2,1,short,3.7919678122187674
61,57,281,2,2,short,4.169606691753467
62,48,401,2,4,short,4.167316157093729
63,42,34,2,2,short,4.381472537484203
64,34,479,2,0,short,4.554851067355827
65,40,117,2,1,short,4.054542040064083
66,87,663,3,4,short,4.0274047881823085
67,77,14,3,4,short,4.083473470191677
68,76,540,3,0,short,4.151308479555861
69,85,128,3,1,short,4.225229314780981
70,68,420,3,2,short,4.381525537167511
71,83,503,3,3,short,4.332012030850479
72,84,636,3,2,short,4.258497552819669
73,72,307,3,3,short,4.066537351228937
74,69,612,3,3,short,4.227762266287482
75,99,609,3,2,short,4.435623752311691
76,93,46,3,4,short,4.10472535392323
77,89,615,3,0,short,4.254573246588718
78,82,510,3,4,short,4.093670623687826
79,96,43,3,0,short,4.085950578507376
80,86,147,3,3,short,4.32464281477325
81,94,406,3,4,short,4.521602163138052
82,74,200,3,1,short,4.297360625674616
83,79,48,3,0,short,4.343248368403501
84,80,177,3,2,short,4.431085832999555
85,97,319,3,3,short,4.157526695873292
86,88,137,3,3,short,4.212255091959142
87,71,309,3,2,short,4.277540408020757
88,91,416,3,0,short,4.491642959231603
89,98,669,3,1,short,4.23041719966342
90,78,572,3,1,short,4.430127477669796
91,100,477,3,0,short,4.518090186055939
92,95,323,3,1,short,4.319613609282414
93,92,196,3,2,short,4.066913067675945
94,90,494,3,3,short,4.629036226994912
95,75,51,3,4,short,4.257592597983054
96,81,432,3,1,short,4.04015368765026
97,70,144,3,2,short,4.55213299225743
98,73,216,3,1,short,4.279624377686169
99,114,312,4,2,short,4.5266354497282775
100,101,400,4,2,short,3.811513284397382
101,106,333,4,2,short,4.458404654046234
102,109,459,4,4,short,4.274773586887276
103,121,606,4,1,short,4.33087981200224
104,125,86,4,0,short,3.946346717217415
105,110,242,4,0,short,4.180574302549519
106,115,248,4,1,short,4.134872946757766
107,103,89,4,4,short,4.251895567207998
108,133,691,4,4,short,3.897834199070666
109,102,94,4,3,short,4.345907905437264
110,119,17,4,0,short,4.3793336799780045
111,105,109,4,4,short,4.214797700858386
112,127,695,4,3,short,4.353156189410615
113,134,116,4,2,short,4.186461589994307
114,116,361,4,1,short,4.405158534777361
115,111,283,4,3,short,4.392172509029958
116,123,511,4,2,short,4.229880840780342
117,120,206,4,4,short,4.370624535525512
118,117,520,4,2,short,4.373353487496603
119,124,119,4,0,short,4.181319416647353
120,112,85,4,0,short,4.204279366738022
121,132,199,4,3,short,4.2483818102471185
122,107,536,4,0,short,4.084135321718027
123,118,339,4,1,short,4.112535521343278
124,104,701,4,0,short,4.1396497755955775
125,131,704,4,4,short,4.202043642153728
126,108,592,4,3,short,4.332939847250359
127,122,440,4,1,short,4.248134763512436
128,130,388,4,3,short,4.256548110902256
129,126,121,4,1,short,4.133931648701583
130,129,291,4,1,short,4.490154734272566
131,128,573,4,4,short,4.525689698041835
132,164,705,5,2,short,4.060488090653936
133,158,45,5,4,short,4.144988238864777
134,136,410,5,0,short,4.291598018840443
135,169,142,5,3,short,4.373661988255075
136,166,706,5,3,short,3.9439585597719042
137,165,328,5,1,short,4.111113772221061
138,154,143,5,3,short,4.1646744849392965
139,145,44,5,2,short,4.284623565403083
140,139,164,5,4,short,4.3372237031299
141,152,560,5,2,short,3.979180237562716
142,155,194,5,0,short,4.177370367590482
143,149,243,5,1,short,4.077427414489262
144,141,403,5,1,short,4.380917607470913
145,167,568,5,0,short,3.9923317798645095
146,138,581,5,2,short,3.9951476474023275
147,163,63,5,2,short,4.10982258680704
148,143,294,5,3,short,4.1919902396628865
149,146,367,5,1,short,4.225199062502986
150,151,436,5,4,short,3.9767127887814078
151,162,241,5,1,short,4.057922245813398
152,150,457,5,0,short,4.056372316906067
153,156,36,5,3,short,4.114489540493954
154,147,485,5,4,short,4.194787489261195
155,159,700,5,4,short,4.346270581132364
156,168,6,5,4,short,4.189095488717748
157,161,157,5,0,short,4.234881557657729
158,157,476,5,4,short,4.346812049131778
159,142,271,5,2,short,4.465072833160906
160,135,399,5,1,short,4.19537234826864
161,137,300,5,3,short,4.143109617685711
162,148,446,5,2,short,4.002669841553369
163,144,542,5,3,short,4.313838692677136
164,140,693,5,0,short,4.141187185845798
165,190,258,6,0,short,4.235485209693787
166,185,550,6,3,short,4.28614713707206
167,171,100,6,3,short,4.345753143696071
168,178,129,6,4,short,4.363883554866231
