row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,feature_0
0,5,159,1,1,short,5.525323365626207
1,6,16,1,4,short,5.567836692899544
2,12,566,1,4,short,5.820396681137887
3,20,673,1,2,short,5.6140531184785525
4,28,263,1,3,short,5.39770727367384
5,9,389,1,4,short,4.949821021478919
6,2,684,1,0,short,6.0165816514520145
7,31,437,1,3,short,5.682250154855042
8,15,56,1,3,short,5.669008829110541
9,13,82,1,4,short,5.535845326316473
10,30,517,1,0,short,5.53703564931178
11,26,124,1,2,short,4.483434916149597
12,29,526,1,3,short,5.51009581466025
13,7,382,1,2,short,5.730351740520084
14,32,80,1,2,short,5.223816793033382
15,27,366,1,1,short,5.413864056498689
16,21,156,1,1,short,5.584889551148244
17,33,690,1,1,short,5.071977250061673
18,18,265,1,0,short,5.754210198253181
19,11,445,1,1,short,5.448892916707473
20,4,462,1,2,short,5.688046340493817
21,14,152,1,3,short,5.490350233416881
22,25,188,1,0,short,5.536490814196002
23,17,195,1,1,short,5.489638788940077
24,16,205,1,4,short,5.419945413914438
25,24,262,1,0,short,5.598637594189619
26,1,571,1,0,short,5.828458952972746
27,0,601,1,3,short,5.024798729704342
28,8,349,1,1,short,5.164934372934306
29,3,236,1,0,short,5.319474849397511
30,23,569,1,4,short,5.065515460575523
31,22,276,1,2,short,5.692746732603797
32,10,40,1,2,short,6.003683291654596
33,59,98,2,3,short,5.824565019387248
34,43,260,2,3,short,5.630449649302738
35,35,622,2,4,short,5.593903173492072
36,39,198,2,3,short,5.127024910754806
37,54,628,2,1,short,5.635404934099303
38,60,647,2,3,short,5.432729378476077
39,50,10,2,0,short,5.222424458834236
40,52,412,2,0,short,5.464451403649043
41,49,670,2,4,short,5.664945632727022
42,55,150,2,3,short,5.834807253414411
43,38,521,2,4,short,6.155572263234612
44,65,131,2,0,short,5.387379383584317
45,41,579,2,2,short,5.834175902267404
46,66,419,2,1,short,5.64904401276049
47,58,580,2,3,short,5.9161792184722595
48,44,428,2,2,short,6.074253101115066
49,36,543,2,4,short,5.8608173567623165
50,61,387,2,4,short,5.809719684240347
51,45,158,2,1,short,5.968707454049253
52,51,275,2,4,short,5.3938492238924285
53,63,254,2,0,short,5.949430259706187
54,62,220,2,0,short,5.319820374612723
55,64,589,2,2,short,5.955607372552742
56,53,530,2,3,short,5.504112159894426
57,56,531,2,0,short,6.01463926714784
58,67,91,2,1,short,5.600179816467267
59,37,96,2,2,short,5.903752684894705
60,47,197,2,1,short,5.137275867410801
61,57,281,2,2,short,5.6166123269659
62,48,401,2,4,short,5.514528233853168
63,42,34,2,2,short,5.9772358708276725
64,34,479,2,0,short,6.162916968294654
65,40,117,2,1,short,5.573035044158912
66,87,663,3,4,short,5.161511083016092
67,77,14,3,4,short,5.633622982337232
68,76,540,3,0,short,5.620829940855668
69,85,128,3,1,short,5.641551421372261
70,68,420,3,2,short,6.0423159416351275
71,83,503,3,3,short,5.962276191838847
72,84,636,3,2,short,5.909160600086394
73,72,307,3,3,short,5.529474049109784
74,69,612,3,3,short,5.6378040635383915
75,99,609,3,2,short,5.970359720590409
76,93,46,3,4,short,5.534459560946156
77,89,615,3,0,short,5.851749504425359
78,82,510,3,4,short,5.628989162092954
79,96,43,3,0,short,5.672321865176957
80,86,147,3,3,short,5.4112819826700695
81,94,406,3,4,short,6.13101100919117
82,74,200,3,1,short,5.918294508787192
83,79,48,3,0,short,5.806533570828686
84,80,177,3,2,short,5.95559463858911
85,97,319,3,3,short,5.680295406413978
86,88,137,3,3,short,5.733828575930552
87,71,309,3,2,short,5.674654204102567
88,91,416,3,0,short,5.98488399315992
89,98,669,3,1,short,5.80669935016191
90,78,572,3,1,short,5.9493876977402165
91,100,477,3,0,short,6.011218709306202
92,95,323,3,1,short,5.769195020197277
93,92,196,3,2,short,5.191609820237485
94,90,494,3,3,short,6.289445714113162
95,75,51,3,4,short,5.84871769067189
96,81,432,3,1,short,5.361524233446013
97,70,144,3,2,short,5.9376018407978925
98,73,216,3,1,short,5.844887230105084
99,114,312,4,2,short,6.060323991408301
100,101,400,4,2,short,5.1323201738963755
101,106,333,4,2,short,5.919140397291597
102,109,459,4,4,short,5.721001428983506
103,121,606,4,1,short,5.478140655586854
104,125,86,4,0,short,5.463529804700784
105,110,242,4,0,short,5.669444618487455
106,115,248,4,1,short,5.527880575744866
107,103,89,4,4,short,5.775578556854501
108,133,691,4,4,short,5.278805123036381
109,102,94,4,3,short,5.878282441317885
110,119,17,4,0,short,5.884352993826627
111,105,109,4,4,short,5.573482650974153
112,127,695,4,3,short,5.926824579542185
113,134,116,4,2,short,5.670941647075121
114,116,361,4,1,short,5.943503302212678
115,111,283,4,3,short,5.951510509269176
116,123,511,4,2,short,5.441042560528607
117,120,206,4,4,short,5.965211463835773
118,117,520,4,2,short,5.957668960375393
119,124,119,4,0,short,5.435301127324154
120,112,85,4,0,short,5.654770304475016
121,132,199,4,3,short,5.6987188355002525
122,107,536,4,0,short,5.6443269897969
123,118,339,4,1,short,5.532719045402912
124,104,701,4,0,short,5.547566587013496
125,131,704,4,4,short,5.727802239012831
126,108,592,4,3,short,5.924652160460853
127,122,440,4,1,short,5.738072911030933
128,130,388,4,3,short,5.872897128152698
129,126,121,4,1,short,5.428952117699259
130,129,291,4,1,short,5.987374380734087
131,128,573,4,4,short,6.1079984832158365
132,164,705,5,2,short,5.237903624133044
