true_direction,predicted_direction,prediction_fraction
1,1,0.1515151515151515
2,1,0.1515151515151515
3,1,0.0909090909090909
4,1,0.1515151515151515
5,1,0.1515151515151515
6,1,0.1515151515151515
1,2,0.2424242424242424
2,2,0.3636363636363636
3,2,0.303030303030303
4,2,0.2727272727272727
5,2,0.0909090909090909
6,2,0.2121212121212121
1,3,0.0909090909090909
2,3,0.0909090909090909
3,3,0.2424242424242424
4,3,0.2121212121212121
5,3,0.1212121212121212
6,3,0.1515151515151515
1,4,0.1212121212121212
2,4,0.0303030303030303
3,4,0.0303030303030303
4,4,0.0
5,4,0.0909090909090909
6,4,0.1818181818181818
1,5,0.2121212121212121
2,5,0.1212121212121212
3,5,0.2121212121212121
4,5,0.1818181818181818
5,5,0.5151515151515151
6,5,0.0909090909090909
1,6,0.1818181818181818
2,6,0.2424242424242424
3,6,0.1212121212121212
4,6,0.1818181818181818
5,6,0.0303030303030303
6,6,0.2121212121212121
