true_direction,predicted_direction,prediction_fraction
1,1,0.3333333333333333
2,1,0.3333333333333333
3,1,0.1818181818181818
4,1,0.1818181818181818
5,1,0.303030303030303
6,1,0.1818181818181818
1,2,0.1212121212121212
2,2,0.2727272727272727
3,2,0.1818181818181818
4,2,0.1515151515151515
5,2,0.0
6,2,0.0909090909090909
1,3,0.0303030303030303
2,3,0.1515151515151515
3,3,0.1515151515151515
4,3,0.2424242424242424
5,3,0.303030303030303
6,3,0.2121212121212121
1,4,0.2121212121212121
2,4,0.2121212121212121
3,4,0.303030303030303
4,4,0.1515151515151515
5,4,0.1515151515151515
6,4,0.1818181818181818
1,5,0.2727272727272727
2,5,0.0303030303030303
3,5,0.1212121212121212
4,5,0.2121212121212121
5,5,0.1818181818181818
6,5,0.2727272727272727
1,6,0.0303030303030303
2,6,0.0
3,6,0.0606060606060606
4,6,0.0606060606060606
5,6,0.0606060606060606
6,6,0.0606060606060606
