row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,peak_power_1
0,5,159,1,1,short,4.422428022741848
1,6,16,1,4,short,4.530679326485426
2,12,566,1,4,short,4.766531944449061
3,20,673,1,2,short,4.720713174894938
4,28,263,1,3,short,4.499347363089844
5,9,389,1,4,short,4.172724637842637
6,2,684,1,0,short,5.1468658834133265
7,31,437,1,3,short,4.73448881577863
8,15,56,1,3,short,4.803822510483949
9,13,82,1,4,short,4.527399290257753
10,30,517,1,0,short,4.544055543870458
11,26,124,1,2,short,4.2130283108815805
12,29,526,1,3,short,4.614483810029234
13,7,382,1,2,short,4.963852361255718
14,32,80,1,2,short,4.375482870818961
15,27,366,1,1,short,4.531691886140786
16,21,156,1,1,short,4.57144423805782
17,33,690,1,1,short,4.313162568807353
18,18,265,1,0,short,5.029625772782036
19,11,445,1,1,short,4.445818234334755
20,4,462,1,2,short,4.859276116267095
21,14,152,1,3,short,4.7144370694474
22,25,188,1,0,short,4.717790910499984
23,17,195,1,1,short,4.53429733762553
24,16,205,1,4,short,4.4258386149805515
25,24,262,1,0,short,4.821425905049504
26,1,571,1,0,short,5.010381054527154
27,0,601,1,3,short,4.541600250252945
28,8,349,1,1,short,4.212079811167415
29,3,236,1,0,short,4.394241283047966
30,23,569,1,4,short,4.2410992250243496
31,22,276,1,2,short,4.7139610958868134
32,10,40,1,2,short,5.212538854394215
33,59,98,2,3,short,4.806106081239051
34,43,260,2,3,short,4.939358886239757
35,35,622,2,4,short,4.741508814379755
36,39,198,2,3,short,4.440939979953431
37,54,628,2,1,short,4.788757488252593
38,60,647,2,3,short,4.598423457706693
39,50,10,2,0,short,4.364906962447432
40,52,412,2,0,short,4.678539262329484
41,49,670,2,4,short,4.8211085378254985
42,55,150,2,3,short,4.860464570749721
43,38,521,2,4,short,5.1428420212478825
44,65,131,2,0,short,4.622839223575522
45,41,579,2,2,short,4.961998204583119
46,66,419,2,1,short,4.896433840061225
47,58,580,2,3,short,5.1996218862791
48,44,428,2,2,short,5.369463945588342
49,36,543,2,4,short,5.077011995233153
50,61,387,2,4,short,4.90675876047284
51,45,158,2,1,short,5.1057555969440855
52,51,275,2,4,short,4.503898725513123
53,63,254,2,0,short,5.129531872301876
54,62,220,2,0,short,4.362382079497109
55,64,589,2,2,short,5.046063377072111
56,53,530,2,3,short,4.470833824141506
57,56,531,2,0,short,5.0447215809119665
58,67,91,2,1,short,4.658787006621762
59,37,96,2,2,short,4.982080153135562
60,47,197,2,1,short,4.30159498627408
61,57,281,2,2,short,4.631839792528282
62,48,401,2,4,short,4.665463530437473
63,42,34,2,2,short,5.111226853446691
64,34,479,2,0,short,5.269991909296128
65,40,117,2,1,short,4.75875585280431
66,87,663,3,4,short,4.355291518336661
67,77,14,3,4,short,4.754154723935282
68,76,540,3,0,short,4.937725809264004
69,85,128,3,1,short,4.758026018780835
70,68,420,3,2,short,4.942139992642585
71,83,503,3,3,short,5.06346217931789
72,84,636,3,2,short,4.952713563986274
73,72,307,3,3,short,4.4661563457003615
74,69,612,3,3,short,4.6920583275546335
75,99,609,3,2,short,5.030009345983763
76,93,46,3,4,short,4.6278735342706785
77,89,615,3,0,short,4.902376507137025
78,82,510,3,4,short,4.54791566047003
79,96,43,3,0,short,4.780185743956336
80,86,147,3,3,short,4.480832212424479
81,94,406,3,4,short,5.120549497407495
82,74,200,3,1,short,4.994508954872186
83,79,48,3,0,short,5.0844576788070555
84,80,177,3,2,short,4.971833027640531
85,97,319,3,3,short,4.683012236574325
86,88,137,3,3,short,4.750801011636147
87,71,309,3,2,short,4.676052738774846
88,91,416,3,0,short,5.03309582584463
89,98,669,3,1,short,4.909762673080695
90,78,572,3,1,short,5.084751187044649
91,100,477,3,0,short,5.148078953284526
92,95,323,3,1,short,4.856154582930934
93,92,196,3,2,short,4.252716892488062
94,90,494,3,3,short,5.3407140788198335
