method,direction,f1,ci_low,ci_high,n_true
peak_power,1,0.3958333333333333,0.2886548374306106,0.5,33
peak_power,2,0.0851063829787234,0.0,0.20408163265306123,33
peak_power,3,0.13157894736842105,0.029401108269394714,0.2353328173374611,33
peak_power,4,0.15584415584415584,0.05331578947368421,0.2564102564102564,33
peak_power,5,0.0784313725490196,0.0,0.19230769230769232,33
peak_power,6,0.12244897959183673,0.0,0.25,33
peak_frequency,1,0.1518987341772152,0.05333333333333334,0.26320545339251716,33
peak_frequency,2,0.28125,0.13559322033898305,0.40625,33
peak_frequency,3,0.04,0.0,0.1276595744680851,33
peak_frequency,4,0.11320754716981132,0.0,0.23076923076923078,33
peak_frequency,5,0.30434782608695654,0.1875,0.4123879426266247,33
peak_frequency,6,0.13793103448275862,0.03508771929824561,0.26666666666666666,33
power_frequency,1,0.26506024096385544,0.1518987341772152,0.3855421686746988,33
power_frequency,2,0.3,0.15384615384615385,0.4406779661016949,33
power_frequency,3,0.14492753623188406,0.032773664727657324,0.2571428571428571,33
power_frequency,4,0.136986301369863,0.03075757575757576,0.24096385542168675,33
power_frequency,5,0.17391304347826086,0.06247596153846154,0.29411764705882354,33
power_frequency,6,0.09523809523809523,0.0,0.22727272727272727,33
all_bands,1,0.35,0.225,0.4675324675324675,33
all_bands,2,0.08163265306122448,0.0,0.20408163265306123,33
all_bands,3,0.2465753424657534,0.11590062111801243,0.37681159420289856,33
all_bands,4,0.1935483870967742,0.06779661016949153,0.3188405797101449,33
all_bands,5,0.2153846153846154,0.09090909090909091,0.3478605935127672,33
all_bands,6,0.26865671641791045,0.13333333333333333,0.4,33
geometry,1,0.16393442622950818,0.0392156862745098,0.2898667601683029,33
geometry,2,0.2926829268292683,0.1728395061728395,0.4001123595505612,33
geometry,3,0.25396825396825395,0.10909090909090909,0.39344262295081966,33
geometry,4,0.0,0.0,0.0,33
geometry,5,0.44155844155844154,0.3170410783055199,0.5679012345679012,33
geometry,6,0.2153846153846154,0.09375,0.34782608695652173,33
