feature,direction,position,n,mean,sd
R1,1,Upper right,33,3.9505621775127473,0.9607686822318541
R1,2,Right,33,4.046340387501319,0.6301922186520936
R1,3,Lower right,32,4.137932260652686,0.8201758444876467
R1,4,Lower left,33,3.988785390099336,0.5951774854491274
R1,5,Left,33,3.8252172243389833,0.924946631097375
R1,6,Upper left,33,4.114602269283599,0.7861036792414979
R2,1,Upper right,33,1.3388910963110499,0.2157948834727113
R2,2,Right,33,1.4064024894743115,0.20327242076965002
R2,3,Lower right,32,1.3151341446755147,0.16159141194178214
R2,4,Lower left,33,1.330924703049274,0.19927007503991567
R2,5,Left,33,1.2459744975189158,0.21974161362688469
R2,6,Upper left,33,1.3546806420387678,0.2298862049899309
