method,true_direction,predicted_direction,predicted_position,count,prediction_fraction
all_bands,1,1,Upper right,14,0.4242424242424242
all_bands,1,2,Right,2,0.0606060606060606
all_bands,1,3,Lower right,6,0.1818181818181818
all_bands,1,4,Lower left,2,0.0606060606060606
all_bands,1,5,Left,5,0.1515151515151515
all_bands,1,6,Upper left,4,0.1212121212121212
all_bands,2,1,Upper right,8,0.2424242424242424
all_bands,2,2,Right,2,0.0606060606060606
all_bands,2,3,Lower right,5,0.1515151515151515
all_bands,2,4,Lower left,5,0.1515151515151515
all_bands,2,5,Left,5,0.1515151515151515
all_bands,2,6,Upper left,8,0.2424242424242424
all_bands,3,1,Upper right,6,0.1818181818181818
all_bands,3,2,Right,3,0.0909090909090909
all_bands,3,3,Lower right,9,0.2727272727272727
all_bands,3,4,Lower left,7,0.2121212121212121
all_bands,3,5,Left,5,0.1515151515151515
all_bands,3,6,Upper left,3,0.0909090909090909
all_bands,4,1,Upper right,7,0.2121212121212121
all_bands,4,2,Right,3,0.0909090909090909
all_bands,4,3,Lower right,9,0.2727272727272727
all_bands,4,4,Lower left,6,0.1818181818181818
all_bands,4,5,Left,2,0.0606060606060606
all_bands,4,6,Upper left,6,0.1818181818181818
all_bands,5,1,Upper right,8,0.2424242424242424
all_bands,5,2,Right,3,0.0909090909090909
all_bands,5,3,Lower right,7,0.2121212121212121
all_bands,5,4,Lower left,4,0.1212121212121212
all_bands,5,5,Left,7,0.2121212121212121
all_bands,5,6,Upper left,4,0.1212121212121212
all_bands,6,1,Upper right,4,0.1212121212121212
all_bands,6,2,Right,3,0.0909090909090909
all_bands,6,3,Lower right,4,0.1212121212121212
all_bands,6,4,Lower left,5,0.1515151515151515
all_bands,6,5,Left,8,0.2424242424242424
all_bands,6,6,Upper left,9,0.2727272727272727
