row_index,original_trial_number,direction,opposite_pair,distance,betti_h1,plot_x
0,159,1,1-4,0.22000855207443237,24,1.1373585619941404
1,16,1,1-4,0.22000855207443237,37,0.9111961033969203
2,566,1,1-4,0.22000855207443237,28,0.8496849034555766
3,673,1,1-4,0.22000855207443237,27,1.163212746047206
4,263,1,1-4,0.22000855207443237,22,0.9559118023777649
5,389,1,1-4,0.22000855207443237,38,1.0870683138612565
6,684,1,1-4,0.22000855207443237,19,0.8912396339806744
7,437,1,1-4,0.22000855207443237,39,1.1041996347022756
8,56,1,1-4,0.22000855207443237,16,1.1263799821988412
9,82,1,1-4,0.22000855207443237,17,0.8722478317182262
10,517,1,1-4,0.22000855207443237,17,0.8460838265619971
11,124,1,1-4,0.22000855207443237,33,0.9799583458000143
12,526,1,1-4,0.22000855207443237,28,1.0416893939028409
13,382,1,1-4,0.22000855207443237,26,0.9415086219501202
14,80,1,1-4,0.22000855207443237,26,0.8622940680634972
15,366,1,1-4,0.22000855207443237,38,1.1135107227382133
16,156,1,1-4,0.22000855207443237,17,0.8278707774800613
17,690,1,1-4,0.22000855207443237,37,0.8929171929504737
18,265,1,1-4,0.22000855207443237,48,0.895619739338744
19,445,1,1-4,0.22000855207443237,34,1.1555634638058907
20,462,1,1-4,0.22000855207443237,26,1.1471142440300484
21,152,1,1-4,0.22000855207443237,30,0.9201135658867537
22,188,1,1-4,0.22000855207443237,22,1.0950203457156495
23,195,1,1-4,0.22000855207443237,21,1.0429076246591644
24,205,1,1-4,0.22000855207443237,20,1.170225087840798
25,262,1,1-4,0.22000855207443237,25,0.8576877450413555
26,571,1,1-4,0.22000855207443237,28,0.9223216107099115
27,601,1,1-4,0.22000855207443237,35,0.9822536291090016
28,349,1,1-4,0.22000855207443237,20,0.8882640415434767
29,236,1,1-4,0.22000855207443237,35,1.0657958025657348
30,569,1,1-4,0.22000855207443237,33,1.1450748574143639
31,276,1,1-4,0.22000855207443237,25,0.8726758859361146
32,40,1,1-4,0.22000855207443237,37,1.1767310002609686
33,98,2,2-5,0.22000855207443237,15,0.9660277028531937
34,260,2,2-5,0.22000855207443237,25,1.065442390016019
35,622,2,2-5,0.22000855207443237,30,0.8802639973668782
36,198,2,2-5,0.22000855207443237,23,1.0339056582328106
37,628,2,2-5,0.22000855207443237,31,0.8224127853782698
38,647,2,2-5,0.22000855207443237,20,1.0559496598762106
39,10,2,2-5,0.22000855207443237,20,0.8708260210250005
40,412,2,2-5,0.22000855207443237,26,1.1594046414919008
41,670,2,2-5,0.22000855207443237,22,1.17192801612517
42,150,2,2-5,0.22000855207443237,13,1.0787530742780953
43,521,2,2-5,0.22000855207443237,29,0.8863787568373596
44,131,2,2-5,0.22000855207443237,31,0.9292454502855942
45,579,2,2-5,0.22000855207443237,29,0.9857009667013367
46,419,2,2-5,0.22000855207443237,12,1.0208876820833745
47,580,2,2-5,0.22000855207443237,21,0.9350947121079087
48,428,2,2-5,0.22000855207443237,24,0.8484813305015267
49,543,2,2-5,0.22000855207443237,18,0.8107267791253385
50,387,2,2-5,0.22000855207443237,37,1.1583043867719516
51,158,2,2-5,0.22000855207443237,18,0.8547281867410278
52,275,2,2-5,0.22000855207443237,21,0.8821566823743603
53,254,2,2-5,0.22000855207443237,12,1.129241893084961
54,220,2,2-5,0.22000855207443237,49,0.9371759930470901
55,589,2,2-5,0.22000855207443237,30,0.9934112521704501
56,530,2,2-5,0.22000855207443237,33,1.0617087314863487
57,531,2,2-5,0.22000855207443237,16,1.154237454088676
58,91,2,2-5,0.22000855207443237,37,0.929042377187649
59,96,2,2-5,0.22000855207443237,19,1.1609413385520209
60,197,2,2-5,0.22000855207443237,26,0.8143299013801186
61,281,2,2-5,0.22000855207443237,21,1.0476438213738601
62,401,2,2-5,0.22000855207443237,24,1.0313639402319232
63,34,2,2-5,0.22000855207443237,19,1.043701856490839
64,479,2,2-5,0.22000855207443237,21,1.0163892899879643
65,117,2,2-5,0.22000855207443237,23,0.9017574814835077
66,663,3,3-6,0.22000855207443237,22,0.834197504370455
67,14,3,3-6,0.22000855207443237,40,0.9907608437779525
68,540,3,3-6,0.22000855207443237,38,0.8318948888197866
69,128,3,3-6,0.22000855207443237,39,1.0374918630636003
70,420,3,3-6,0.22000855207443237,26,1.1143300956258781
71,503,3,3-6,0.22000855207443237,34,0.8138214642330677
72,636,3,3-6,0.22000855207443237,20,0.8591582834152761
73,307,3,3-6,0.22000855207443237,32,0.9420396434218893
74,612,3,3-6,0.22000855207443237,28,1.006576287262154
75,609,3,3-6,0.22000855207443237,24,0.9320109007419036
76,46,3,3-6,0.22000855207443237,35,0.8173915136230778
77,615,3,3-6,0.22000855207443237,33,1.1034114041847636
78,510,3,3-6,0.22000855207443237,21,1.1820476139528064
79,43,3,3-6,0.22000855207443237,25,0.9119585524466036
80,147,3,3-6,0.22000855207443237,18,0.9306079437159864
81,406,3,3-6,0.22000855207443237,9,0.9953255956289214
82,200,3,3-6,0.22000855207443237,36,1.1883596894942112
83,48,3,3-6,0.22000855207443237,16,0.858085891902767
84,177,3,3-6,0.22000855207443237,29,1.1071550172961475
85,319,3,3-6,0.22000855207443237,27,0.9642788937100449
86,137,3,3-6,0.22000855207443237,24,0.845765919036006
87,309,3,3-6,0.22000855207443237,29,1.0327154452041343
88,416,3,3-6,0.22000855207443237,25,0.8912795202657691
89,669,3,3-6,0.22000855207443237,25,0.8162120478303097
90,572,3,3-6,0.22000855207443237,26,1.1229232096514687
91,477,3,3-6,0.22000855207443237,40,1.0894922263576876
92,323,3,3-6,0.22000855207443237,22,1.1341022462457433
93,196,3,3-6,0.22000855207443237,28,0.923683683372547
94,494,3,3-6,0.22000855207443237,20,0.8692773270589473
95,51,3,3-6,0.22000855207443237,26,1.0527154062624506
96,432,3,3-6,0.22000855207443237,28,0.97608115746678
97,144,3,3-6,0.22000855207443237,50,1.1398442877648272
98,216,3,3-6,0.22000855207443237,39,1.1712835423078831
99,312,4,1-4,0.22000855207443237,20,1.9225818065255809
100,400,4,1-4,0.22000855207443237,30,2.0638442031589403
101,333,4,1-4,0.22000855207443237,35,2.1429057180457827
102,459,4,1-4,0.22000855207443237,19,2.0065176391045494
103,606,4,1-4,0.22000855207443237,29,1.9115324777652358
104,86,4,1-4,0.22000855207443237,24,2.0285883491407595
105,242,4,1-4,0.22000855207443237,18,1.964224713653991
106,248,4,1-4,0.22000855207443237,33,2.0488049804502833
107,89,4,1-4,0.22000855207443237,22,1.890953350246911
108,691,4,1-4,0.22000855207443237,15,2.1763349441363764
109,94,4,1-4,0.22000855207443237,30,2.1458996627188784
110,17,4,1-4,0.22000855207443237,18,1.9011560229464812
111,109,4,1-4,0.22000855207443237,17,2.088957123332548
112,695,4,1-4,0.22000855207443237,22,2.1139938185396008
113,116,4,1-4,0.22000855207443237,24,1.8778065497859042
114,361,4,1-4,0.22000855207443237,33,1.967051441533552
115,283,4,1-4,0.22000855207443237,19,1.8952007152327943
116,511,4,1-4,0.22000855207443237,17,1.814231811444495
117,206,4,1-4,0.22000855207443237,18,1.826263437561865
118,520,4,1-4,0.22000855207443237,22,2.1591061368426083
119,119,4,1-4,0.22000855207443237,14,1.9768210905822834
120,85,4,1-4,0.22000855207443237,24,2.052915202313375
121,199,4,1-4,0.22000855207443237,25,2.0441135095923486
122,536,4,1-4,0.22000855207443237,31,1.916114180049948
123,339,4,1-4,0.22000855207443237,27,2.1809005632402614
124,701,4,1-4,0.22000855207443237,30,1.838005506676025
125,704,4,1-4,0.22000855207443237,26,2.1377707028712787
126,592,4,1-4,0.22000855207443237,15,1.8604073019255745
