measure,direction,n,mean,q25,median,q75,minimum,maximum
longest_H1_lifetime,1,33,0.6780281848076618,0.45545119047164917,0.5720649361610413,0.8845902383327484,0.30254413187503815,1.3702449798583984
longest_H1_lifetime,2,33,0.7190129522121314,0.49795469641685486,0.6759610772132874,0.8663782179355621,0.29516059160232544,1.4517582058906555
longest_H1_lifetime,3,33,0.7219626212661917,0.49621888995170593,0.6253877878189087,0.8926550149917603,0.36749374866485596,1.649124264717102
longest_H1_lifetime,4,33,0.6922792232397831,0.558029443025589,0.644869938492775,0.8296761512756348,0.3298589587211609,1.7040981650352478
longest_H1_lifetime,5,33,0.5895901591037259,0.4241240918636322,0.5085722506046295,0.6408684849739075,0.36666713654994965,1.5482027530670166
longest_H1_lifetime,6,33,0.8097371924104113,0.506546139717102,0.6642343103885651,0.9612002074718475,0.3432227224111557,1.9180466532707214
normalized_H1_lifetime,1,33,0.39617196264530063,0.2751981541615377,0.3506044443199915,0.5002683729542846,0.2250409144828455,0.660589126353187
normalized_H1_lifetime,2,33,0.41757489247488544,0.3022159131347902,0.40294065280925334,0.4870014344859422,0.217346536650651,0.7419418803590752
normalized_H1_lifetime,3,33,0.40693334315199964,0.30033340168976846,0.3529923509821939,0.49345804194904674,0.21770866204157105,0.8905587848006709
normalized_H1_lifetime,4,33,0.40909578998703716,0.3308020380408382,0.3709208156798921,0.47679480542777425,0.22703327100197832,1.0946852379209073
normalized_H1_lifetime,5,33,0.35264857274598427,0.2729882304272596,0.30906029745598707,0.38082781879922006,0.22334759215982278,0.8938973895135067
normalized_H1_lifetime,6,33,0.4638677038813395,0.31779454298696874,0.378200663430005,0.5496369846008922,0.2079072162176054,1.0867481802733707
R1,1,33,3.9505621775127473,3.2803681286776083,3.7162633247791046,4.391951370795728,2.447008931423807,6.498906152172921
R1,2,33,4.046340387501319,3.6946680022418303,4.0391592652064965,4.29577240666284,2.5600535608715576,6.3025330743285535
R1,3,32,4.137932260652686,3.5965090443430365,4.018682347140661,4.483387616105053,2.887669071911387,6.47569419934022
R1,4,33,3.988785390099336,3.6237615427211742,3.8997679209836313,4.448450663072848,2.9716342316163447,5.758215452789354
R1,5,33,3.8252172243389833,3.378831808797252,3.5631189208396044,4.218505777026001,2.6057419231845667,7.23595415651555
R1,6,33,4.114602269283599,3.517228429953396,4.024630389619746,4.648185131126407,3.043357681793049,6.283208829698364
R2,1,33,1.3388910963110499,1.166549620180789,1.3599423545676863,1.4987483772986123,0.9352736246319509,1.785124927041471
R2,2,33,1.4064024894743115,1.2480261843894132,1.4036593913111126,1.523765335183271,0.9309231173840774,1.8249960421529872
R2,3,32,1.3151341446755147,1.1987363262494761,1.288033406270952,1.4071822887155498,1.0253196822691286,1.735489363922348
R2,4,33,1.330924703049274,1.1905286163792397,1.2835529428397678,1.4420171201197796,1.0524066838337198,2.0465845923372914
R2,5,33,1.2459744975189158,1.0746629150402245,1.24164459657657,1.3342762490314173,0.9397512660384856,1.9594123851280925
R2,6,33,1.3546806420387678,1.223824371903392,1.3502658113399937,1.4862108225643451,0.8294854404046844,2.050330663749552
