row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,status,failure_reason,elapsed_seconds,centered_rms,geometry_usable,R1,R2,longest_H1_lifetime,normalized_H1_lifetime,H0_intervals,H0_infinite,H1_intervals,H1_infinite,H2_intervals,H2_infinite,plot_x
0,5,159,1,1,short,success,,12.263662414974531,1.5362103401225269,True,3.5492607518664143,1.2963854781958573,0.6760278642177582,0.4400620452560154,494,1,174,0,8,0,1.1304906338944334
1,6,16,1,4,short,success,,12.032941914978435,1.4706449601323537,True,3.479786623314635,1.2863872376060526,0.4554511904716491,0.3096948636948105,494,1,181,0,10,0,0.9156362982270742
2,12,566,1,4,short,success,,12.896522228955291,2.143541674285651,True,6.155125084455721,1.3687853090469226,1.3702449798583984,0.6392434522249452,494,1,126,0,8,0,0.8572006582827978
3,20,673,1,2,short,success,,12.499716165009886,1.8871358643036715,True,4.391951370795728,1.4987483772986123,1.0731670558452606,0.5686750361459775,494,1,138,0,3,0,1.1550521087448455
4,28,263,1,3,short,success,,15.2431446230039,2.1012200453749084,True,5.853977273337933,1.5595738670152557,1.1266032457351685,0.5361662374271493,494,1,160,0,3,0,0.9581162122588767
5,9,389,1,4,short,success,,8.889202835969627,1.255150670455941,True,2.447008931423807,1.0053994502768155,0.3025441318750381,0.2410420828322843,494,1,202,0,15,0,1.0827148981681938
6,2,684,1,0,short,success,,11.69274166796822,2.0078011271072054,True,4.267771911943735,1.6522896043802369,0.6619451642036438,0.3296866184936152,494,1,162,0,5,0,0.8966776522816406
7,31,437,1,3,short,success,,11.761671454063617,1.501296809726407,True,3.5506192985807914,1.1677125116071485,0.8845902383327484,0.58921742363121,494,1,164,0,4,0,1.0989896529671617
8,15,56,1,3,short,success,,13.401100619928911,1.8121681038502644,True,4.130035437988722,1.3859547323200063,0.6353541910648346,0.3506044443199915,494,1,147,0,10,0,1.1200609830888992
9,13,82,1,4,short,success,,12.89705585804768,1.9630771782942609,True,4.395932091106213,1.38729612727963,0.5720649361610413,0.2914123512240689,494,1,133,0,10,0,0.8786354401323149
10,30,517,1,0,short,success,,11.613300350960344,1.893532487554771,True,4.5232890146754094,1.0202227204735832,0.9472744166851044,0.5002683729542846,494,1,142,0,10,0,0.8537796352338973
