model,metric,n_results,n_finite,n_returned,n_converged,n_flagged,n_nonconverged,n_collapsed_hole,n_bound_hits,median,q25,q75,mean,sd,minimum,maximum
one_torus,normalized_3d_set_error,198,198,198,198,91,0,0,58,0.2447977932055934,0.1980225047508014,0.281140690579034,0.2376946967673701,0.05321318581798759,0.0916317048271549,0.3300681728577923
one_torus,rms_3d_set_distance,198,198,198,198,91,0,0,58,0.8355193562599779,0.7290213591146609,0.9059857683724525,0.8192764928166805,0.1345084065894616,0.4570747193047186,1.1683079239003935
one_torus,mean_3d_set_distance,198,198,198,198,91,0,0,58,0.6578356057236228,0.5864166087916592,0.7170798525126153,0.6500594985954069,0.09971430930472111,0.356262798752116,0.9301516702201232
one_torus,native_mse,198,198,198,198,91,0,0,58,0.6980933220492808,0.5314764967795143,0.8208102316105025,0.6892151068048157,0.2190059563956291,0.2089172990274873,1.3649434050484477
one_torus,native_mean_error,198,198,198,198,91,0,0,58,0.0101544480998342,0.00930048400295605,0.011107855369692525,0.010225024136368934,0.0014660423563018113,0.0062840308173876,0.0145540368017453
one_torus,native_frac_inside,198,198,198,198,91,0,0,58,0.905982905982906,0.8952991452991453,0.9166666666666666,0.9051195717862386,0.01693579206076808,0.8504273504273504,0.9487179487179488
one_torus,native_r_squared,198,198,198,198,91,0,0,58,0.9993681966765332,0.9992470393802805,0.9995174640817464,0.9993619294963485,0.00024021829694106098,0.9981781341182688,0.9998842850113492
one_torus,native_hole_quality,198,198,198,198,91,0,0,58,0.16057567690944624,0.1312055542648697,0.1868758437781588,0.1630727862227521,0.0428429766738129,0.0838137274597515,0.3525119388320512
one_torus,native_frac_in_hole,198,198,198,198,91,0,0,58,0.0534188034188034,0.047008547008547,0.0619658119658119,0.05519943019943016,0.012447667540602057,0.0235042735042735,0.0854700854700854
two_torus,normalized_3d_set_error,198,198,198,197,183,1,99,163,0.0012452658609324002,0.0009946922801067999,0.001602265333662525,0.001382742940900021,0.0007284499955416349,0.0003934050221017,0.0063379230276705
two_torus,rms_3d_set_distance,198,198,198,197,183,1,99,163,0.05819307494681325,0.05389890463117693,0.06541714507170698,0.06057814615503857,0.012422298197336458,0.0340022490793938,0.1226237095117883
two_torus,mean_3d_set_distance,198,198,198,197,183,1,99,163,0.016126578223869897,0.014383797757113124,0.01848654111235335,0.01679137871041752,0.004178648118279177,0.0092921758003395,0.042827918082481
two_torus,native_mse,198,198,198,197,183,1,99,163,0.0033864341426937,0.00290509436278265,0.004279426482091175,0.0038232459230114688,0.0018692913518784618,0.0011561529424571,0.0150365741344314
two_torus,native_mean_error,198,198,198,197,183,1,99,163,0.016126578223869897,0.014383797757113124,0.01848654111235335,0.01679137871041752,0.004178648118279177,0.0092921758003395,0.042827918082481
two_torus,native_frac_inside,198,198,198,197,183,1,99,163,0.8782051282051282,0.8632478632478633,0.8931623931623932,0.8784101700768366,0.023884849730058076,0.7927350427350427,0.935897435897436
two_torus,native_r_squared,198,198,198,197,183,1,99,163,0.9987547341390677,0.9983977346663375,0.999005307719893,0.9986172570590998,0.0007284499955416397,0.9936620769723294,0.9996065949778984
two_torus,native_hole_quality,198,198,198,197,183,1,99,163,0.0002583655669459,-0.06753789020685895,0.0543322125795646,-0.011658652903386173,0.09738854335880003,-0.435663966460829,0.2070451223779541
two_torus,native_frac_in_hole,198,198,198,197,183,1,99,163,0.0854700854700854,0.0705128205128205,0.0961538461538461,0.08425062591729254,0.018760742626101674,0.0256410256410256,0.1324786324786324
