row_index,model,status,max_distance_delta
0,one_torus,reproduced,0.0
0,two_torus,reproduced,2.4944490917278017e-12
1,one_torus,reproduced,0.0
1,two_torus,reproduced,3.325340003357269e-12
2,one_torus,reproduced,0.0
2,two_torus,reproduced,4.618971871650501e-12
3,one_torus,reproduced,0.0
3,two_torus,reproduced,3.7481129311345285e-12
4,one_torus,reproduced,0.0
4,two_torus,reproduced,3.589573083218056e-12
5,one_torus,reproduced,0.0
5,two_torus,reproduced,3.0186964039558006e-12
6,one_torus,reproduced,0.0
6,two_torus,reproduced,5.447198248020868e-12
7,one_torus,reproduced,0.0
7,two_torus,reproduced,3.3084646133829665e-12
8,one_torus,reproduced,0.0
8,two_torus,reproduced,4.070299652880749e-12
9,one_torus,reproduced,0.0
9,two_torus,reproduced,2.6614266346314253e-12
10,one_torus,reproduced,0.0
10,two_torus,reproduced,5.766498389903063e-12
11,one_torus,reproduced,0.0
11,two_torus,reproduced,3.0584423882373812e-12
12,one_torus,reproduced,0.0
12,two_torus,reproduced,3.1958879986859756e-12
13,one_torus,reproduced,0.0
13,two_torus,reproduced,3.86779497318912e-12
14,one_torus,reproduced,0.0
14,two_torus,reproduced,3.765432410318681e-12
15,one_torus,reproduced,0.0
15,two_torus,reproduced,2.2748469774569458e-12
16,one_torus,reproduced,0.0
16,two_torus,reproduced,4.60875781982395e-12
17,one_torus,reproduced,0.0
17,two_torus,reproduced,3.069988707693483e-12
18,one_torus,reproduced,0.0
18,two_torus,reproduced,4.9040771443742415e-12
19,one_torus,reproduced,0.0
19,two_torus,reproduced,4.390265928577719e-12
20,one_torus,reproduced,0.0
20,two_torus,reproduced,3.000932835561798e-12
21,one_torus,reproduced,0.0
21,two_torus,reproduced,4.2306158576366215e-12
22,one_torus,reproduced,0.0
22,two_torus,reproduced,5.5919713304319885e-12
23,one_torus,reproduced,0.0
23,two_torus,reproduced,2.4766855233337992e-12
24,one_torus,reproduced,0.0
24,two_torus,reproduced,3.5349501104064984e-12
25,one_torus,reproduced,0.0
25,two_torus,reproduced,2.325917236589703e-12
26,one_torus,reproduced,0.0
26,two_torus,reproduced,5.004441305800356e-12
27,one_torus,reproduced,0.0
27,two_torus,reproduced,1.7084111902931909e-12
28,one_torus,reproduced,0.0
