,normalized_3d_set_error,normalized_3d_set_error,rms_3d_set_distance,rms_3d_set_distance,mean_3d_set_distance,mean_3d_set_distance,native_mse,native_mse,native_mean_error,native_mean_error,native_frac_inside,native_frac_inside,native_r_squared,native_r_squared,native_hole_quality,native_hole_quality,native_frac_in_hole,native_frac_in_hole
model,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus,one_torus,two_torus
original_trial_number,,,,,,,,,,,,,,,,,,
6,0.3012654051319644,0.0007395540922965,0.9251646699740772,0.0458383926133211,0.744629067945729,0.0141356307075606,0.8559296665682434,0.0021011582373729,0.00915462944048,0.0141356307075606,0.8974358974358975,0.8653846153846154,0.9995838364839053,0.9992604459077036,0.123770813699299,-0.0414561894749891,0.0619658119658119,0.1132478632478632
9,0.2798739350646943,0.0018940929541508,0.8438515885042153,0.0694201406901646,0.7005631827152068,0.0202323799114117,0.7120855034210875,0.0048191559334422,0.0133615947423275,0.0202323799114117,0.8888888888888888,0.844017094017094,0.999027456799236,0.9981059070458492,0.2554038703035522,-0.15379203605003,0.0512820512820512,0.1004273504273504
10,0.1979890520498536,0.000914714887892,0.772223753747878,0.0524886547450004,0.6272058342659208,0.0141947836934507,0.5963295258524633,0.0027550588769398,0.0090197322468991,0.0141947836934507,0.905982905982906,0.8824786324786325,0.9995409878748116,0.999085285112108,0.1233304442533546,-0.0327043336162948,0.0619658119658119,0.0854700854700854
14,0.2655846247255639,0.0010775730411019,0.8556784124595777,0.0545045137729009,0.6563907361162005,0.0155255882193478,0.7321855455493431,0.0029707420216203,0.0104288632739167,0.0155255882193478,0.9102564102564102,0.8974358974358975,0.9993813393146074,0.998922426958898,0.1579013302234027,-0.0517949003958442,0.0512820512820512,0.0769230769230769
16,0.2092494652136993,0.0015683552634691,0.6779652201068321,0.0586945070447991,0.5089779277889298,0.0173786313713702,0.4596368396745053,0.0034450451572319,0.0105340926471179,0.0173786313713702,0.9017094017094016,0.8739316239316239,0.9993157757316382,0.9984316447365308,0.1136650868045679,-0.0183865799119373,0.0598290598290598,0.0747863247863247
17,0.1967316439317247,0.0012817635876913,0.7602516545162832,0.0613654931172698,0.5974262761221164,0.0144711215483182,0.577982578194746,0.0037657237455256,0.0092161366172139,0.0144711215483182,0.8995726495726496,0.8931623931623932,0.9995996077309024,0.9987182364123086,0.18732336453362,0.1092530703695739,0.0555555555555555,0.0833333333333333
24,0.1860110049672827,0.0010847295231319,0.6669734531858588,0.0509330823217998,0.5439556229369986,0.0155849348569634,0.4448535872546689,0.0025941788747992,0.0104601812248734,0.0155849348569634,0.905982905982906,0.8397435897435898,0.9992792470076268,0.998915270476868,0.1605912827256585,0.0976426184423445,0.0512820512820512,0.0918803418803418
34,0.3058739395532672,0.0016059040709824,1.0217587780651134,0.0740349757822737,0.7587963471731132,0.0239479844905402,1.0439910005531134,0.0054811776390818,0.0104563243899546,0.0239479844905402,0.9188034188034188,0.8311965811965812,0.9994095336436876,0.9983940959290176,0.1974535824166388,-0.1157609638192207,0.047008547008547,0.1153846153846153
36,0.1202184508638192,0.0027065053813887,0.5634437898420392,0.0845414087420969,0.4754841034213183,0.0257216363883196,0.3174689043115601,0.0071472497920983,0.0094398617489988,0.0257216363883196,0.8995726495726496,0.8311965811965812,0.9994596388724524,0.9972934946186112,0.1255305343969451,0.1848319687556066,0.0598290598290598,0.0918803418803418
40,0.118518663728573,0.0006678979595352,0.5800243221701257,0.0435419515711638,0.4734803053314756,0.01206764594724,0.3364282143089138,0.0018959015466255,0.0087614251459925,0.01206764594724,0.8931623931623932,0.8931623931623932,0.9994992544460882,0.9993321020404649,0.1720546286675579,0.154054660723386,0.0534188034188034,0.0598290598290598
43,0.2253072550839653,0.0030669940994017,0.7087188712995081,0.0826880745025131,0.6004364676772632,0.0252583831014251,0.5022824385360487,0.0068373176649331,0.0087173073816706,0.0252583831014251,0.8952991452991453,0.8589743589743589,0.9994932005572824,0.9969330059005982,0.1360041489021545,-0.2013380983635626,0.0662393162393162,0.1004273504273504
44,0.280841143250624,0.001645260172721,0.8577990039898976,0.065655704211201,0.6899046230315845,0.0169947019120667,0.7358191312460604,0.0043106714954687,0.0097088202888368,0.0169947019120667,0.8995726495726496,0.8846153846153846,0.9994661098271874,0.998354739827279,0.1635939831338294,-0.0558262669228499,0.0641025641025641,0.0897435897435897
45,0.1752260711711258,0.0013244547254614,0.5945738587265617,0.051692199020487,0.5055394179267193,0.0134709682516389,0.3535180734809933,0.0026720834395736,0.012688024344293,0.0134709682516389,0.8952991452991453,0.8653846153846154,0.9989490600023936,0.9986755452745386,0.242040009536874,0.1541553343984075,0.0598290598290598,0.0876068376068376
46,0.2270165735682077,0.0012439315541413,0.8417631801948533,0.0623102344351452,0.6981305994241515,0.0170590477512397,0.708565251531753,0.0038825653153627,0.0106218675136781,0.0170590477512397,0.8910256410256411,0.8846153846153846,0.9995462509970496,0.9987560684458588,0.2193660330804581,-0.1034353300852135,0.0662393162393162,0.0897435897435897
