row_index,raw_trial_index,original_trial_number,direction,heldout_fold_zero_based,delay,model,status,reason,elapsed_seconds,cloud_sha256,warnings,n_points,optimizer_success,optimizer_status,optimizer_message,nfev,cost,optimality,flags,cloud_variance_sum,normalized_3d_set_error,rms_3d_set_distance,mean_3d_set_distance,active_bounds,near_bounds,native_mse,native_mean_error,native_frac_inside,native_r_squared,native_hole_quality,native_frac_in_hole,R1,R2,minor_radius,R1_in,R2_in,center_x,center_y,center_z,direction_x,direction_y,direction_z,u_axis_x,u_axis_y,u_axis_z,v_axis_x,v_axis_y,v_axis_z
0,5,159,1,1,short,one_torus,returned,,0.1796343089081347,1ab7f45e6628f911f158544682f0332fbe04291a2477d86902ed087970f31ecc,,468,True,2,`ftol` termination condition is satisfied.,82,146.8568388435345,0.002478131322223878,,1103.1418830199882,0.31797761857906254,0.8657470822980107,0.6360398620936425,0,0,0.7495180105075185,0.010690891155209777,0.9081196581196581,0.9991522331587984,0.22074944397989069,0.057692307692307696,2.4609870597468886,1.9834763583791608,0.8658376474463403,0.5432615250810524,0.43785130325963606,0.42475646212228596,0.21946174037743818,-0.027083291750897784,-0.3040152513790561,0.35225254903475994,0.8851513252696572,-0.6710363348697527,0.5803413695151797,-0.4614261935692585,-0.6762284852116218,-0.7342493013451927,0.05994163211401449
0,5,159,1,1,short,two_torus,returned,,0.052699393942020833,1ab7f45e6628f911f158544682f0332fbe04291a2477d86902ed087970f31ecc,,468,True,2,`ftol` termination condition is satisfied.,29,4.93999405646103,0.0013495462636918013,collapsed_hole;active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1103.1418830199882,0.0015913491217029781,0.06124568477137462,0.01590441385930728,1,1,0.003751033903114589,0.01590441385930728,0.9081196581196581,0.998408650878297,-0.10044050728266285,0.07905982905982906,1.4634653755174014,1.4634653750325717,1.6104565796925563,,,-0.16825819925337723,0.07882770592156374,0.3736739317897273,0.027368254878856267,0.6499284333953544,0.7595024753664595,-0.6677169778681952,0.5773123540801962,-0.46996221474810757,-0.7439119679703041,-0.4942706518587855,0.44976828102884336
1,6,16,1,4,short,one_torus,returned,,0.08696671400684863,c01602098117d7657b4eab83ade7b283606ef6300081749bd53f1763780f3a10,,468,True,2,`ftol` termination condition is satisfied.,40,99.61602876096485,0.0004998408267552963,near_optimizer_bound,1028.00760206476,0.20924946521369936,0.6779652201068321,0.5089779277889298,0,1,0.4596368396745053,0.010534092647117908,0.9017094017094017,0.9993157757316382,0.11366508680456794,0.05982905982905983,2.889023857198937,2.270382523986666,1.1432405017519742,0.3283811475090985,0.25806322666860776,-0.2564221444295073,0.03807733689386255,0.02686479055801791,-0.43390275118035565,-0.6782105251334043,-0.5930926454742952,-0.47650867150466225,0.7314338140245644,-0.4877951021487742,0.764635788135273,0.07095815173951114,-0.6405443405436212
1,6,16,1,4,short,two_torus,returned,,0.04134869098197669,c01602098117d7657b4eab83ade7b283606ef6300081749bd53f1763780f3a10,,468,True,2,`ftol` termination condition is satisfied.,29,4.355259580429917,0.12657369771101068,collapsed_hole;active_optimizer_bound;near_optimizer_bound,1028.00760206476,0.0015683552634691493,0.058694507044799143,0.017378631371370298,1,1,0.0034450451572319764,0.017378631371370298,0.8739316239316239,0.9984316447365309,-0.018386579911937373,0.07478632478632478,1.8133837025978097,1.4250773297156416,1.451279627920167,,,-0.1985639520654952,-0.10704266470674814,-0.1946111469451182,-0.5541101201392749,-0.7788984843815849,-0.29373308595765146,-0.5582157751583214,0.6094356257961044,-0.563012758623549,0.6175411914373423,-0.14800462505342513,-0.7724878690561703
2,12,566,1,4,short,one_torus,returned,,0.2515150730032474,afce71b07cc133f7657d28d8d8871acfa0fd3c12a8d06fcf4d4e5cd63e675796,,468,True,2,`ftol` termination condition is satisfied.,121,186.6646469140211,0.012946703511265352,active_optimizer_bound;near_optimizer_bound,2016.5981042872077,0.23788290155030806,1.0124378300093082,0.7472375199213702,1,1,1.0250303596339567,0.009357168373876503,0.9401709401709402,0.9995149860317496,0.17384637289590044,0.027777777777777776,3.629503314435682,3.1208823083430404,1.3942138916524212,0.630975986628466,0.5425540695405722,-0.4409213687300522,-0.48030798761459736,-0.1267172430981192,0.4987929751049284,0.23863413324780822,-0.8332222503236999,-0.5623885884736841,-0.6423802858759705,-0.5206406091254114,-0.6594881678535943,0.7282865636307206,-0.18620966058200558
2,12,566,1,4,short,two_torus,returned,,0.088118189945817,afce71b07cc133f7657d28d8d8871acfa0fd3c12a8d06fcf4d4e5cd63e675796,,468,True,2,`ftol` termination condition is satisfied.,61,5.122810785949924,0.6441314613599183,,2016.5981042872077,0.000644372098940974,0.052693265621305656,0.012992878871523244,0,0,0.002776580241837472,0.012992878871523244,0.9081196581196581,0.999355627901059,0.041276368554541976,0.05555555555555555,2.810575125436139,2.3912006350729347,2.2925005563727683,,,0.25573932813014405,0.028309109015139496,0.5198121600989075,-0.27448218285051396,0.8049955729213143,-0.5259673553310988,-0.5456488317936706,-0.580774944709978,-0.6041256623893089,-0.7917871454235056,0.1211717424694337,0.5986572685326871
3,20,673,1,2,short,one_torus,returned,,0.19353667402174324,ddff9a35912b9b2820c08936512973402c7c458593429771f50ae4ff248359de,,468,True,2,`ftol` termination condition is satisfied.,97,196.37270125018136,0.03652541695194308,active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1648.3184492370453,0.29798562636397363,1.024460672726919,0.780026255533388,1,1,1.0495196699640912,0.01023036141625498,0.9230769230769231,0.9993443843683707,0.1932065374064558,0.03632478632478633,3.004772652573107,3.0047726525722958,1.2121154663376625,0.5805417198974546,0.5805417198972979,0.6440378390258477,0.6861091772252762,0.5267485915248391,-0.6299534572787026,-0.0030323018399348593,0.7766269676025264,0.7549608641913931,0.23219521722235925,0.6132858017567412,-0.18218873510834777,0.9726644777324864,-0.14398291063528884
3,20,673,1,2,short,two_torus,returned,,0.027312517049722373,ddff9a35912b9b2820c08936512973402c7c458593429771f50ae4ff248359de,,468,True,2,`ftol` termination condition is satisfied.,14,6.1836696332133325,0.0009153215414186068,active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,1648.3184492370453,0.0008866190211523904,0.05588125555357124,0.01237346759660778,1,1,0.003122714722243537,0.01237346759660778,0.9230769230769231,0.9991133809788476,0.01737362298736911,0.042735042735042736,2.295059034229315,2.295059034229315,2.255185543835842,,,-0.11690584478030122,-0.1881616951147252,-0.19637881250313677,-0.8095836830767186,0.492667229450369,0.3191445771445308,0.5042211434341605,0.3052745305435494,0.8078171200917569,0.3005583114950001,0.814915002945304,-0.4955585125531896
4,28,263,1,3,short,one_torus,returned,,0.18866131105460227,d55e97104fe49ec86417369ee2d5ebb7cb23b27c0def03933bf700e650a79778,,468,True,2,`ftol` termination condition is satisfied.,106,215.1136567418286,0.0021492531401082673,nearly_circular_orientation,2015.804076726071,0.3139749328183992,1.1629170050391548,0.816078211294837,0,0,1.3523759606092378,0.007775629115556591,0.9444444444444444,0.9994818931697704,0.1835727715632826,0.038461538461538464,3.7102744418089793,3.604396960222638,1.4929742249214073,0.6811053625434692,0.6616691398025188,1.2451373874408223,0.15156493647497474,0.5263823600729717,-0.4443194670229826,0.3123161506510475,0.8396659057425077,-0.8564439602949023,-0.4230648428078191,-0.29583759337222953,0.2628382660442393,-0.8505731954515049,0.45545722640032155
4,28,263,1,3,short,two_torus,returned,,0.03571468300651759,d55e97104fe49ec86417369ee2d5ebb7cb23b27c0def03933bf700e650a79778,,468,True,2,`ftol` termination condition is satisfied.,20,3.8151741183514387,0.002035654127867978,active_optimizer_bound;near_optimizer_bound;nearly_circular_orientation,2015.804076726071,0.0004148700814001738,0.04227243756097427,0.011510787133921466,1,1,0.0017869589773464685,0.011510787133921466,0.8782051282051282,0.9995851299185998,0.005675086756204206,0.07264957264957266,2.3478821835624246,2.284572183524566,2.2716070381832476,,,-0.04565038965465005,0.1350882002911279,0.6910910192618219,0.23668226006533558,0.5196265621370314,0.8209566028062403,-0.9356355836860833,-0.1058287667847387,0.33672886223049525,0.26185408591205434,-0.8478139583899406,0.46113331006157277
