origin_ms,x_lag_0_ms,x_lag_1_ms,x_lag_2_ms,x_lag_3_ms,x_lag_4_ms,x_lag_5_ms,x_lag_6_ms,x_lag_7_ms,x_lag_8_ms
-300,0.45655882,0.3527209,0.24938115,0.15456374,0.07653636,0.022828622,-0.0007108107,0.009285183,0.053143412
-299,0.55402946,0.45655882,0.3527209,0.24938115,0.15456374,0.07653636,0.022828622,-0.0007108107,0.009285183
-298,0.64016944,0.55402946,0.45655882,0.3527209,0.24938115,0.15456374,0.07653636,0.022828622,-0.0007108107
-297,0.7123942,0.64016944,0.55402946,0.45655882,0.3527209,0.24938115,0.15456374,0.07653636,0.022828622
-296,0.7706358,0.7123942,0.64016944,0.55402946,0.45655882,0.3527209,0.24938115,0.15456374,0.07653636
-295,0.817122,0.7706358,0.7123942,0.64016944,0.55402946,0.45655882,0.3527209,0.24938115,0.15456374
-294,0.8558352,0.817122,0.7706358,0.7123942,0.64016944,0.55402946,0.45655882,0.3527209,0.24938115
-293,0.8917423,0.8558352,0.817122,0.7706358,0.7123942,0.64016944,0.55402946,0.45655882,0.3527209
-292,0.9299109,0.8917423,0.8558352,0.817122,0.7706358,0.7123942,0.64016944,0.55402946,0.45655882
-291,0.97462434,0.9299109,0.8917423,0.8558352,0.817122,0.7706358,0.7123942,0.64016944,0.55402946
-290,1.0285904,0.97462434,0.9299109,0.8917423,0.8558352,0.817122,0.7706358,0.7123942,0.64016944
-289,1.0923295,1.0285904,0.97462434,0.9299109,0.8917423,0.8558352,0.817122,0.7706358,0.7123942
-288,1.1638225,1.0923295,1.0285904,0.97462434,0.9299109,0.8917423,0.8558352,0.817122,0.7706358
-287,1.2384953,1.1638225,1.0923295,1.0285904,0.97462434,0.9299109,0.8917423,0.8558352,0.817122
-286,1.3095866,1.2384953,1.1638225,1.0923295,1.0285904,0.97462434,0.9299109,0.8917423,0.8558352
-285,1.3688964,1.3095866,1.2384953,1.1638225,1.0923295,1.0285904,0.97462434,0.9299109,0.8917423
-284,1.4078299,1.3688964,1.3095866,1.2384953,1.1638225,1.0923295,1.0285904,0.97462434,0.9299109
-283,1.4185908,1.4078299,1.3688964,1.3095866,1.2384953,1.1638225,1.0923295,1.0285904,0.97462434
-282,1.395333,1.4185908,1.4078299,1.3688964,1.3095866,1.2384953,1.1638225,1.0923295,1.0285904
-281,1.3350934,1.395333,1.4185908,1.4078299,1.3688964,1.3095866,1.2384953,1.1638225,1.0923295
-280,1.2383668,1.3350934,1.395333,1.4185908,1.4078299,1.3688964,1.3095866,1.2384953,1.1638225
-279,1.1092523,1.2383668,1.3350934,1.395333,1.4185908,1.4078299,1.3688964,1.3095866,1.2384953
-278,0.95516723,1.1092523,1.2383668,1.3350934,1.395333,1.4185908,1.4078299,1.3688964,1.3095866
-277,0.78618795,0.95516723,1.1092523,1.2383668,1.3350934,1.395333,1.4185908,1.4078299,1.3688964
-276,0.6141232,0.78618795,0.95516723,1.1092523,1.2383668,1.3350934,1.395333,1.4185908,1.4078299
-275,0.45144755,0.6141232,0.78618795,0.95516723,1.1092523,1.2383668,1.3350934,1.395333,1.4185908
-274,0.3102267,0.45144755,0.6141232,0.78618795,0.95516723,1.1092523,1.2383668,1.3350934,1.395333
-273,0.20114893,0.3102267,0.45144755,0.6141232,0.78618795,0.95516723,1.1092523,1.2383668,1.3350934
-272,0.13273571,0.20114893,0.3102267,0.45144755,0.6141232,0.78618795,0.95516723,1.1092523,1.2383668
-271,0.110766254,0.13273571,0.20114893,0.3102267,0.45144755,0.6141232,0.78618795,0.95516723,1.1092523
-270,0.13791355,0.110766254,0.13273571,0.20114893,0.3102267,0.45144755,0.6141232,0.78618795,0.95516723
-269,0.21357538,0.13791355,0.110766254,0.13273571,0.20114893,0.3102267,0.45144755,0.6141232,0.78618795
-268,0.33388588,0.21357538,0.13791355,0.110766254,0.13273571,0.20114893,0.3102267,0.45144755,0.6141232
-267,0.4919079,0.33388588,0.21357538,0.13791355,0.110766254,0.13273571,0.20114893,0.3102267,0.45144755
-266,0.67801654,0.4919079,0.33388588,0.21357538,0.13791355,0.110766254,0.13273571,0.20114893,0.3102267
-265,0.8804802,0.67801654,0.4919079,0.33388588,0.21357538,0.13791355,0.110766254,0.13273571,0.20114893
-264,1.0862215,0.8804802,0.67801654,0.4919079,0.33388588,0.21357538,0.13791355,0.110766254,0.13273571
-263,1.2817148,1.0862215,0.8804802,0.67801654,0.4919079,0.33388588,0.21357538,0.13791355,0.110766254
-262,1.453956,1.2817148,1.0862215,0.8804802,0.67801654,0.4919079,0.33388588,0.21357538,0.13791355
-261,1.5914321,1.453956,1.2817148,1.0862215,0.8804802,0.67801654,0.4919079,0.33388588,0.21357538
-260,1.685015,1.5914321,1.453956,1.2817148,1.0862215,0.8804802,0.67801654,0.4919079,0.33388588
-259,1.7286977,1.685015,1.5914321,1.453956,1.2817148,1.0862215,0.8804802,0.67801654,0.4919079
-258,1.7200934,1.7286977,1.685015,1.5914321,1.453956,1.2817148,1.0862215,0.8804802,0.67801654
-257,1.6606303,1.7200934,1.7286977,1.685015,1.5914321,1.453956,1.2817148,1.0862215,0.8804802
-256,1.5554028,1.6606303,1.7200934,1.7286977,1.685015,1.5914321,1.453956,1.2817148,1.0862215
-255,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977,1.685015,1.5914321,1.453956,1.2817148
-254,1.243128,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977,1.685015,1.5914321,1.453956
-253,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977,1.685015,1.5914321
-252,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977,1.685015
-251,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934,1.7286977
-250,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303,1.7200934
-249,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028,1.6606303
-248,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806,1.5554028
-247,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128,1.4126806
-246,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177,1.243128
-245,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528,1.0588177
-244,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055,0.8721528
-243,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036,0.6948055
-242,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162,0.53678036
-241,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153,0.40569162
-240,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425,0.30632153
-239,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898,0.24048425
-238,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774,0.20716898
-237,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887,0.20288774
-236,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282,0.22212887
-235,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113,0.2578282
-234,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073,0.3018113
-233,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785,0.34521073
-232,-0.4479888,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198,0.37889785
-231,-0.68428504,-0.4479888,-0.2263108,-0.030527974,0.1312098,0.2542212,0.33728105,0.38232723,0.39397198
