origin_ms,x_lag_0_ms,x_lag_1_ms,x_lag_2_ms,x_lag_3_ms,x_lag_4_ms,x_lag_5_ms,x_lag_6_ms,x_lag_7_ms,x_lag_8_ms
-300,-0.7093286,-0.65884686,-0.6096524,-0.5656117,-0.52999794,-0.5052956,-0.493087,-0.49403772,-0.5079843
-299,-0.7568902,-0.7093286,-0.65884686,-0.6096524,-0.5656117,-0.52999794,-0.5052956,-0.493087,-0.49403772
-298,-0.7972702,-0.7568902,-0.7093286,-0.65884686,-0.6096524,-0.5656117,-0.52999794,-0.5052956,-0.493087
-297,-0.8264525,-0.7972702,-0.7568902,-0.7093286,-0.65884686,-0.6096524,-0.5656117,-0.52999794,-0.5052956
-296,-0.8409562,-0.8264525,-0.7972702,-0.7568902,-0.7093286,-0.65884686,-0.6096524,-0.5656117,-0.52999794
-295,-0.83809024,-0.8409562,-0.8264525,-0.7972702,-0.7568902,-0.7093286,-0.65884686,-0.6096524,-0.5656117
-294,-0.8161484,-0.83809024,-0.8409562,-0.8264525,-0.7972702,-0.7568902,-0.7093286,-0.65884686,-0.6096524
-293,-0.77451974,-0.8161484,-0.83809024,-0.8409562,-0.8264525,-0.7972702,-0.7568902,-0.7093286,-0.65884686
-292,-0.7137005,-0.77451974,-0.8161484,-0.83809024,-0.8409562,-0.8264525,-0.7972702,-0.7568902,-0.7093286
-291,-0.6352078,-0.7137005,-0.77451974,-0.8161484,-0.83809024,-0.8409562,-0.8264525,-0.7972702,-0.7568902
-290,-0.5414167,-0.6352078,-0.7137005,-0.77451974,-0.8161484,-0.83809024,-0.8409562,-0.8264525,-0.7972702
-289,-0.43535912,-0.5414167,-0.6352078,-0.7137005,-0.77451974,-0.8161484,-0.83809024,-0.8409562,-0.8264525
-288,-0.32052967,-0.43535912,-0.5414167,-0.6352078,-0.7137005,-0.77451974,-0.8161484,-0.83809024,-0.8409562
-287,-0.20073634,-0.32052967,-0.43535912,-0.5414167,-0.6352078,-0.7137005,-0.77451974,-0.8161484,-0.83809024
-286,-0.08001205,-0.20073634,-0.32052967,-0.43535912,-0.5414167,-0.6352078,-0.7137005,-0.77451974,-0.8161484
-285,0.03742721,-0.08001205,-0.20073634,-0.32052967,-0.43535912,-0.5414167,-0.6352078,-0.7137005,-0.77451974
-284,0.14722045,0.03742721,-0.08001205,-0.20073634,-0.32052967,-0.43535912,-0.5414167,-0.6352078,-0.7137005
-283,0.24495138,0.14722045,0.03742721,-0.08001205,-0.20073634,-0.32052967,-0.43535912,-0.5414167,-0.6352078
-282,0.3263357,0.24495138,0.14722045,0.03742721,-0.08001205,-0.20073634,-0.32052967,-0.43535912,-0.5414167
-281,0.3875213,0.3263357,0.24495138,0.14722045,0.03742721,-0.08001205,-0.20073634,-0.32052967,-0.43535912
-280,0.42547402,0.3875213,0.3263357,0.24495138,0.14722045,0.03742721,-0.08001205,-0.20073634,-0.32052967
-279,0.43838078,0.42547402,0.3875213,0.3263357,0.24495138,0.14722045,0.03742721,-0.08001205,-0.20073634
-278,0.42598364,0.43838078,0.42547402,0.3875213,0.3263357,0.24495138,0.14722045,0.03742721,-0.08001205
-277,0.38976797,0.42598364,0.43838078,0.42547402,0.3875213,0.3263357,0.24495138,0.14722045,0.03742721
-276,0.33296,0.38976797,0.42598364,0.43838078,0.42547402,0.3875213,0.3263357,0.24495138,0.14722045
-275,0.26032627,0.33296,0.38976797,0.42598364,0.43838078,0.42547402,0.3875213,0.3263357,0.24495138
-274,0.17779796,0.26032627,0.33296,0.38976797,0.42598364,0.43838078,0.42547402,0.3875213,0.3263357
-273,0.09196357,0.17779796,0.26032627,0.33296,0.38976797,0.42598364,0.43838078,0.42547402,0.3875213
-272,0.009483704,0.09196357,0.17779796,0.26032627,0.33296,0.38976797,0.42598364,0.43838078,0.42547402
-271,-0.063511044,0.009483704,0.09196357,0.17779796,0.26032627,0.33296,0.38976797,0.42598364,0.43838078
-270,-0.121979766,-0.063511044,0.009483704,0.09196357,0.17779796,0.26032627,0.33296,0.38976797,0.42598364
-269,-0.16243543,-0.121979766,-0.063511044,0.009483704,0.09196357,0.17779796,0.26032627,0.33296,0.38976797
-268,-0.18326849,-0.16243543,-0.121979766,-0.063511044,0.009483704,0.09196357,0.17779796,0.26032627,0.33296
-267,-0.18489397,-0.18326849,-0.16243543,-0.121979766,-0.063511044,0.009483704,0.09196357,0.17779796,0.26032627
-266,-0.16969667,-0.18489397,-0.18326849,-0.16243543,-0.121979766,-0.063511044,0.009483704,0.09196357,0.17779796
-265,-0.14176519,-0.16969667,-0.18489397,-0.18326849,-0.16243543,-0.121979766,-0.063511044,0.009483704,0.09196357
-264,-0.1064257,-0.14176519,-0.16969667,-0.18489397,-0.18326849,-0.16243543,-0.121979766,-0.063511044,0.009483704
-263,-0.06961258,-0.1064257,-0.14176519,-0.16969667,-0.18489397,-0.18326849,-0.16243543,-0.121979766,-0.063511044
-262,-0.037139595,-0.06961258,-0.1064257,-0.14176519,-0.16969667,-0.18489397,-0.18326849,-0.16243543,-0.121979766
-261,-0.013957662,-0.037139595,-0.06961258,-0.1064257,-0.14176519,-0.16969667,-0.18489397,-0.18326849,-0.16243543
-260,-0.0034947589,-0.013957662,-0.037139595,-0.06961258,-0.1064257,-0.14176519,-0.16969667,-0.18489397,-0.18326849
-259,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258,-0.1064257,-0.14176519,-0.16969667,-0.18489397
-258,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258,-0.1064257,-0.14176519,-0.16969667
-257,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258,-0.1064257,-0.14176519
-256,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258,-0.1064257
-255,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595,-0.06961258
-254,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662,-0.037139595
-253,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589,-0.013957662
-252,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928,-0.0034947589
-251,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385,-0.007167928
-250,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637,-0.0241385
-249,0.038669717,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385,-0.051351637
-248,0.1445592,0.038669717,-0.04521779,-0.10440823,-0.1383324,-0.14866781,-0.13920099,-0.11541794,-0.083863385
