recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyM_session-o080430013-23_lfp-1,M,ar,1,0,1,1,0.0254210350835444,0.0003624773697059,0.0255430075323026,5,1.0000000000000004
monkeyM_session-o080430013-23_lfp-1,M,ar,1,0,1,10,1.5468237345105171,0.0174354972955393,1.7008916063792732,5,1.0000000000000004
monkeyM_session-o080430013-23_lfp-1,M,ar,2,0,1,1,0.0006289416900009,3.336926426648704e-06,0.0255430075323026,5,13.02991262689432
monkeyM_session-o080430013-23_lfp-1,M,ar,2,0,1,10,0.7797281519590731,0.0052122431351992,1.7008916063792732,5,13.02991262689432
monkeyM_session-o080430013-23_lfp-1,M,ar,3,0,1,1,2.468716545502693e-05,2.999207161344662e-07,0.0255430075323026,5,173.56314480167816
monkeyM_session-o080430013-23_lfp-1,M,ar,3,0,1,10,0.4335255678358569,0.00539900186962,1.7008916063792732,5,173.56314480167816
monkeyM_session-o080430013-23_lfp-1,M,ar,4,0,1,1,1.0048496159874776e-06,1.1459489682154506e-08,0.0255430075323026,5,1877.1476434987549
monkeyM_session-o080430013-23_lfp-1,M,ar,4,0,1,10,0.1652013962606524,0.0016466891498937,1.7008916063792732,5,1877.1476434987549
monkeyM_session-o080430013-23_lfp-1,M,ar,5,0,1,1,5.066563283986368e-08,8.602412516476825e-10,0.0255430075323026,5,18574.91223552961
monkeyM_session-o080430013-23_lfp-1,M,ar,5,0,1,10,0.0584546119755613,0.0007837243085588,1.7008916063792732,5,18574.91223552961
monkeyM_session-o080430013-23_lfp-1,M,ar,6,0,1,1,3.87470716442001e-09,8.14772724643285e-11,0.0255430075323026,5,171863.8109490377
monkeyM_session-o080430013-23_lfp-1,M,ar,6,0,1,10,0.0229483540803906,0.0004667629729471,1.7008916063792732,5,171863.8109490377
monkeyM_session-o080430013-23_lfp-1,M,ar,7,0,1,1,4.65864621974073e-10,6.424548392376124e-12,0.0255430075323026,5,1250648.2558225966
monkeyM_session-o080430013-23_lfp-1,M,ar,7,0,1,10,0.0105056766420672,0.0001288044211064,1.7008916063792732,5,1250648.2558225966
monkeyM_session-o080430013-23_lfp-1,M,ar,8,0,1,1,9.871251324122092e-11,1.5732005773143156e-12,0.0255430075323026,5,7167499.365647693
monkeyM_session-o080430013-23_lfp-1,M,ar,8,0,1,10,0.0056025849296981,8.879333993813462e-05,1.7008916063792732,5,7167499.365647693
monkeyM_session-o080430013-23_lfp-1,M,ar,9,0,1,1,4.765547224885525e-11,5.084597559734306e-13,0.0255430075323026,5,30148954.47395361
monkeyM_session-o080430013-23_lfp-1,M,ar,9,0,1,10,0.0040136817417746,6.587103730729426e-05,1.7008916063792732,5,30148954.47395361
monkeyM_session-o080430013-23_lfp-1,M,ar,10,0,1,1,4.622129854223607e-11,4.646940459621669e-13,0.0255430075323026,5,76385383.44696908
monkeyM_session-o080430013-23_lfp-1,M,ar,10,0,1,10,0.0037367770812229,4.114346150813504e-05,1.7008916063792732,5,76385383.44696908
monkeyM_session-o080430013-23_lfp-1,M,ar,11,0,1,1,3.486198082092402e-11,3.1856824137819154e-13,0.0255430075323026,5,111821017.59048264
monkeyM_session-o080430013-23_lfp-1,M,ar,11,0,1,10,0.0036013765116295,5.6249104826314034e-05,1.7008916063792732,5,111821017.59048264
monkeyM_session-o080430013-23_lfp-1,M,ar,12,0,1,1,3.0849550121792446e-11,1.958442565755138e-13,0.0255430075323026,5,121395501.52527577
