recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070502008-15_lfp-7,T,ar,1,0,1,1,0.0458406873417726,0.0007610294729668,0.0462870737424713,5,1.0000000000000004
monkeyT_session-y070502008-15_lfp-7,T,ar,1,0,1,10,1.853148111160132,0.018886545882012,2.224135653219162,5,1.0000000000000004
monkeyT_session-y070502008-15_lfp-7,T,ar,2,0,1,1,0.0017388610447682,1.2214520816221535e-05,0.0462870737424713,5,9.610956311959155
monkeyT_session-y070502008-15_lfp-7,T,ar,2,0,1,10,1.4285825415682432,0.0043310623183388,2.224135653219162,5,9.610956311959155
monkeyT_session-y070502008-15_lfp-7,T,ar,3,0,1,1,3.7585455702671785e-05,3.406123687880925e-07,0.0462870737424713,5,99.93344025017171
monkeyT_session-y070502008-15_lfp-7,T,ar,3,0,1,10,0.5226831539423631,0.0063963009998399,2.224135653219162,5,99.93344025017171
monkeyT_session-y070502008-15_lfp-7,T,ar,4,0,1,1,8.411920868016518e-07,2.33907751084463e-09,0.0462870737424713,5,1407.8873257965356
monkeyT_session-y070502008-15_lfp-7,T,ar,4,0,1,10,0.1326656980856274,0.0004272385477792,2.224135653219162,5,1407.8873257965356
monkeyT_session-y070502008-15_lfp-7,T,ar,5,0,1,1,4.1921065954850275e-08,6.757992848272844e-10,0.0462870737424713,5,19246.66039264205
monkeyT_session-y070502008-15_lfp-7,T,ar,5,0,1,10,0.043650365184294,0.0005289904034977,2.224135653219162,5,19246.66039264205
monkeyT_session-y070502008-15_lfp-7,T,ar,6,0,1,1,5.2345830502694e-09,7.673740691042945e-11,0.0462870737424713,5,181773.46149542963
monkeyT_session-y070502008-15_lfp-7,T,ar,6,0,1,10,0.0272659903308164,0.0003172334191489,2.224135653219162,5,181773.46149542963
monkeyT_session-y070502008-15_lfp-7,T,ar,7,0,1,1,5.775595348070161e-10,8.192644949826205e-12,0.0462870737424713,5,1010379.993470006
monkeyT_session-y070502008-15_lfp-7,T,ar,7,0,1,10,0.0105550074999012,0.0001031391145525,2.224135653219162,5,1010379.993470006
monkeyT_session-y070502008-15_lfp-7,T,ar,8,0,1,1,1.4518346859494288e-10,2.7970463348575748e-12,0.0462870737424713,5,5943449.800236649
monkeyT_session-y070502008-15_lfp-7,T,ar,8,0,1,10,0.0068805891196991,0.0001017940723874,2.224135653219162,5,5943449.800236649
monkeyT_session-y070502008-15_lfp-7,T,ar,9,0,1,1,6.15430453756448e-11,1.037673099171909e-12,0.0462870737424713,5,22714286.38784266
monkeyT_session-y070502008-15_lfp-7,T,ar,9,0,1,10,0.0047957161463144,7.58558228188903e-05,2.224135653219162,5,22714286.38784266
monkeyT_session-y070502008-15_lfp-7,T,ar,10,0,1,1,5.5467936667717556e-11,7.369445582787255e-13,0.0462870737424713,5,62216788.11056687
monkeyT_session-y070502008-15_lfp-7,T,ar,10,0,1,10,0.0041049418585475,4.917601732623933e-05,2.224135653219162,5,62216788.11056687
monkeyT_session-y070502008-15_lfp-7,T,ar,11,0,1,1,4.7783271055668735e-11,7.238882873799923e-13,0.0462870737424713,5,99331480.42634818
monkeyT_session-y070502008-15_lfp-7,T,ar,11,0,1,10,0.0040899516312248,5.655429440498073e-05,2.224135653219162,5,99331480.42634818
monkeyT_session-y070502008-15_lfp-7,T,ar,12,0,1,1,4.1674271396030535e-11,5.928864232861036e-13,0.0462870737424713,5,110677895.4814963
monkeyT_session-y070502008-15_lfp-7,T,ar,12,0,1,10,0.0037153704259331,5.095634226407348e-05,2.224135653219162,5,110677895.4814963
monkeyT_session-y070502008-15_lfp-7,T,ar,13,0,1,1,4.1629722196260785e-11,5.913264651859638e-13,0.0462870737424713,5,114124418.47479434
monkeyT_session-y070502008-15_lfp-7,T,ar,13,0,1,10,0.0037551285192026,4.7754556247582816e-05,2.224135653219162,5,114124418.47479434
monkeyT_session-y070502008-15_lfp-7,T,ar,14,0,1,1,3.8623010651097536e-11,5.56609531301758e-13,0.0462870737424713,5,115765260.8222522
monkeyT_session-y070502008-15_lfp-7,T,ar,14,0,1,10,0.0036213694987476,5.092923313245966e-05,2.224135653219162,5,115765260.8222522
