recording,monkey,family,p,m,tau,horizon_ms,mean_nmse,outer_fold_sd,mean_persistence,valid_folds,max_condition
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,1,1,0.0003631625057766,4.01140085235912e-06,0.0204073853086467,5,14.560915965412738
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,1,10,0.4373231103922639,0.0037708176399774,1.5034751855390622,5,14.560915965412738
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,2,1,0.000807709013226,8.92545021073138e-06,0.0204073853086467,5,7.256614209776539
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,2,10,0.4791697103077738,0.0041743009455496,1.5034751855390622,5,7.256614209776539
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,5,1,0.003093536394785,3.424654258104671e-05,0.0204073853086467,5,2.8467639193158027
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,5,10,0.5890600477357367,0.005416641008457,1.5034751855390622,5,2.8467639193158027
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,10,1,0.0093351460107798,0.0001092155127484,0.0204073853086467,5,1.3454405448604547
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,10,10,0.7324577166997503,0.0074907582549627,1.5034751855390622,5,1.3454405448604547
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,15,1,0.0164432787354706,0.0002103409356617,0.0204073853086467,5,1.260883024269937
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,15,10,0.862255177947962,0.0071027976506913,1.5034751855390622,5,1.260883024269937
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,20,1,0.0202544896852405,0.0002164648333041,0.0204073853086467,5,1.5782322059911391
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,20,10,0.943456535297106,0.0032894341903344,1.5034751855390622,5,1.5782322059911391
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,25,1,0.0191134034231514,0.0001483684255524,0.0204073853086467,5,1.4921965847764151
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,25,10,0.8683198278272141,0.006635984473932,1.5034751855390622,5,1.4921965847764151
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,30,1,0.0172064242256544,0.0002111860880973,0.0204073853086467,5,1.1540408921839838
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,30,10,0.7937178408980251,0.0108849202974804,1.5034751855390622,5,1.1540408921839838
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,40,1,0.0199927848625505,0.000285526373399,0.0204073853086467,5,1.5397094748235634
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,40,10,0.9265682624884276,0.0077947034387968,1.5034751855390622,5,1.5397094748235634
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,50,1,0.0189404962438321,0.0002322479719772,0.0204073853086467,5,1.3281078313751675
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,50,10,0.9049639695209264,0.0053881490137517,1.5034751855390622,5,1.3281078313751675
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,75,1,0.0198210636095961,0.0002450243429146,0.0204073853086467,5,1.183570838720546
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,75,10,0.9326867020812656,0.0058554373361563,1.5034751855390622,5,1.183570838720546
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,100,1,0.0198878917815504,0.0002551484203616,0.0204073853086467,5,1.0548168469647188
monkeyT_session-y070130005-13_lfp-1,T,embedding,0,2,100,10,0.9089250013332834,0.0083479536716071,1.5034751855390622,5,1.0548168469647188
