recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,ok,14,0,1,0.0024461884158331,9.165999217342865e-05,0.0023761356707674,0.0024615928382304,False,15,130749153.21411888,130922138.88925888,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,ok,0,9,1,0.0029555225439547,0.000124079475873,0.0029555225439547,0.0030796020198278,True,10,33956109.81486582,33963778.09871106,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,ok,16,0,1,0.0023941338832997,3.5469210450225946e-05,0.0023791291356275,0.0024138323568355,False,17,134999751.9942399,135324000.13887852,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,embedding,ok,0,9,1,0.0029639450575785,3.8215039011596e-05,0.0029639450575785,0.0030021600965901,True,10,34277231.13205233,34281931.69112949,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,ar,ok,16,0,1,0.0023668218885441,6.089382710333623e-05,0.0023521440784987,0.002412531777885,False,17,136753750.26940948,137216315.04152423,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,embedding,ok,0,9,1,0.0029352039393988,8.463419110407957e-05,0.0029352039393988,0.0030198381305029,True,10,34366459.098887615,34372858.83421487,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,ar,ok,16,0,1,0.0023542525078541,4.3427165586778606e-05,0.0023377580123539,0.0023794805880432,False,17,136289608.69203463,136709210.87952682,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,embedding,ok,0,9,1,0.0029122043636714,4.146769627684428e-05,0.0029122043636714,0.0029536720599483,True,10,34528973.42938641,34535160.41367221,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,ar,ok,16,0,1,0.0024143410404802,4.696837609316439e-05,0.0024003037505121,0.0024496359578693,False,17,135986284.70086518,136132710.54458964,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,embedding,ok,0,9,1,0.00299813568749,6.051677704714342e-05,0.00299813568749,0.0030586524645371,True,10,33923639.8494929,33929243.04720381,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,ar,ok,19,0,1,0.0039433537274557,1.950743883457904e-05,0.0039433537274557,0.0039628611662903,False,20,145223938.19509295,145396200.62704712,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,embedding,ok,0,9,1,0.0054373516759774,4.890198639014987e-05,0.0054373516759774,0.0054862536623675,True,10,22401403.903806336,22405566.502586357,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,ar,ok,16,0,1,0.0040457643819359,8.549249351393671e-05,0.0039676983563746,0.0040633606238949,False,17,138632424.1235478,138827642.91710487,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,embedding,ok,0,9,1,0.0054929609742325,0.0001139921553017,0.0054929609742325,0.0056069531295343,True,10,22422332.3574455,22424658.62476636,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,ar,ok,14,0,1,0.0041143330556741,0.0001677023642611,0.0039965889835683,0.004156365621964,False,15,133148598.12019664,133258903.03100324,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,embedding,ok,0,9,1,0.0055182480911821,0.0002510260674435,0.0055182480911821,0.0057692741586256,True,10,22145067.566178244,22151667.80185248,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,3,ar,ok,19,0,1,0.0039628404092635,2.9995665374350164e-05,0.0039628404092635,0.0039928360746379,False,20,144596634.7248682,144896832.82047182,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,3,embedding,ok,0,9,1,0.0054689354334139,1.017896956755644e-05,0.0054689354334139,0.0054791144029815,True,10,22190724.19590106,22193778.886674,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,4,ar,ok,15,0,1,0.0041117260348908,0.0001249089518725,0.0039973132666863,0.004112308440886,False,16,135015050.52008733,135180049.61989948,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,4,embedding,ok,0,9,1,0.0055229455110685,0.0001231887079304,0.0055229455110685,0.005646134218999,True,10,22390744.16243652,22396454.352916937,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,0,ar,ok,19,0,1,0.0027242847535412,8.738315974021323e-05,0.0027242847535412,0.0028116679132815,False,20,125334459.89258394,125966477.18135,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,0,embedding,ok,0,9,1,0.0048798288381099,0.0001330883488014,0.0048798288381099,0.0050129171869114,True,10,22937541.96567609,22941655.41175004,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,1,ar,ok,19,0,1,0.0027385985595297,0.0001028993722431,0.0027385985595297,0.0028414979317729,False,20,123576582.17899564,124434910.5557703,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,1,embedding,ok,0,9,1,0.0049327781086862,0.0001520174616761,0.0049327781086862,0.0050847955703624,True,10,22680607.94989345,22681329.980136007,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,2,ar,ok,19,0,1,0.0027211651369441,0.000158372653458,0.0027211651369441,0.0028795377904021,False,20,124421085.34018582,125247291.79992124,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,2,embedding,ok,0,9,1,0.0048514109571083,0.0002693438935427,0.0048514109571083,0.005120754850651,True,10,22983872.24565304,22980096.857861232,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,3,ar,ok,19,0,1,0.0026368939489919,0.000137544209186,0.0026368939489919,0.0027744381581779,False,20,122267238.18127236,122920187.14681949,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,3,embedding,ok,0,9,1,0.0047060132983421,0.0002388376646812,0.0047060132983421,0.0049448509630234,True,10,22893350.61679963,22898319.962466743,ok
