recording,monkey,day,outer_fold,family,horizon_ms,coefficient_index,lag_ms,value,kind
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,0,-1,-3.4856627801130302e-09,intercept
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,1,0,8.243244340656153,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,2,1,-30.147087609878028,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,3,2,62.92899358260196,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,4,3,-78.40456489507315,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,5,4,49.90211367401432,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,6,5,5.37442886166892,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,7,6,-37.32840996258419,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,8,7,23.36770779989076,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,9,8,9.018441515627472,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,10,9,-24.754274849289132,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,11,10,19.27629572304363,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,12,11,-8.221871103201577,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,13,12,1.9474709978223261,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,1,14,13,-0.2024889645675889,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,0,-1,-1.0573124103671616e-09,intercept
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,1,0,8.166831788890226,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,2,1,-30.061600360128704,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,3,2,65.47734609106709,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,4,3,-93.02771355770182,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,5,4,89.43292877881578,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,6,5,-58.19319431359829,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,7,6,24.72079280315778,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,8,7,-6.2227282524792,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,1,9,8,0.7073361006392359,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,0,-1,-3.6384136320069364e-05,intercept
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,1,0,9670.31004483588,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,2,1,-65040.63832890719,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,3,2,195710.06630070772,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,4,3,-343776.6628177794,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,5,4,385295.4551259486,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,6,5,-282008.21704978956,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,7,6,131596.10376524847,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,8,7,-35787.27928207889,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,10,9,8,4341.845328052998,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,1,0,-1,-1.3832084913220632e-10,intercept
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,1,1,0,8.232905904363536,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,1,2,1,-29.990304435897222,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,1,3,2,61.99273319170456,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,1,4,3,-75.39151031678777,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,1,5,4,44.2943448075138,lag_weight
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,1,6,5,10.575393115066651,lag_weight
