recording,outer_fold,family,max_absolute_difference,rms_difference
monkeyM_session-o080416002-18_lfp-1,0,ar,2.414658509522147e-07,4.2450980277862774e-08
monkeyM_session-o080416002-18_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-1,1,ar,7.10972825472317e-08,1.3035159215554164e-08
monkeyM_session-o080416002-18_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-1,2,ar,1.2067243339362703e-07,2.137405551201083e-08
monkeyM_session-o080416002-18_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-1,3,ar,5.479008953479525e-08,1.0618663930062388e-08
monkeyM_session-o080416002-18_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-1,4,ar,1.5642665140156234e-07,2.7812014703659564e-08
monkeyM_session-o080416002-18_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-2,0,ar,4.229580414258447e-08,7.767334065985701e-09
monkeyM_session-o080416002-18_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-2,1,ar,4.5507850136649415e-08,9.535373998112581e-09
monkeyM_session-o080416002-18_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-2,2,ar,2.558492959300277e-08,5.381739353089141e-09
monkeyM_session-o080416002-18_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-2,3,ar,2.324622611846194e-07,3.879888546640563e-08
monkeyM_session-o080416002-18_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080416002-18_lfp-2,4,ar,9.570561573501869e-08,1.585256375077968e-08
monkeyM_session-o080416002-18_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-1,0,ar,3.352592519524416e-08,6.138829711068889e-09
monkeyM_session-o080417003-14_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-1,1,ar,1.1186569344511042e-07,2.0170707669712226e-08
monkeyM_session-o080417003-14_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-1,2,ar,2.594229778414038e-08,5.0681961458787355e-09
monkeyM_session-o080417003-14_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-1,3,ar,6.552774163722224e-08,8.765245829183083e-09
monkeyM_session-o080417003-14_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-1,4,ar,7.565074774864428e-08,1.3544990618627868e-08
monkeyM_session-o080417003-14_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-4,0,ar,8.616724547319305e-08,1.722309280327284e-08
monkeyM_session-o080417003-14_lfp-4,0,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-4,1,ar,4.4849452964824954e-08,8.740108610876231e-09
monkeyM_session-o080417003-14_lfp-4,1,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-4,2,ar,4.847504987671135e-08,1.002332531231537e-08
monkeyM_session-o080417003-14_lfp-4,2,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-4,3,ar,1.0891595168729257e-07,1.772618539974442e-08
monkeyM_session-o080417003-14_lfp-4,3,embedding,0.0,0.0
monkeyM_session-o080417003-14_lfp-4,4,ar,7.668438861989021e-08,1.4879048717300776e-08
monkeyM_session-o080417003-14_lfp-4,4,embedding,0.0,0.0
monkeyM_session-o080422011-21_lfp-2,0,ar,2.8949899600228413e-08,6.134645102349843e-09
monkeyM_session-o080422011-21_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080422011-21_lfp-2,1,ar,5.12026337034263e-08,8.99367494538207e-09
monkeyM_session-o080422011-21_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080422011-21_lfp-2,2,ar,1.165666508945928e-07,1.6323969840302223e-08
monkeyM_session-o080422011-21_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080422011-21_lfp-2,3,ar,1.3021904133323544e-07,1.2938681845597842e-08
monkeyM_session-o080422011-21_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080422011-21_lfp-2,4,ar,7.550824376899908e-08,1.5562282350437046e-08
monkeyM_session-o080422011-21_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-6,0,ar,1.3429371833106538e-08,2.408651349769151e-09
monkeyM_session-o080423001-5_lfp-6,0,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-6,1,ar,1.097866843678577e-08,1.930639308608463e-09
monkeyM_session-o080423001-5_lfp-6,1,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-6,2,ar,4.3913888241991486e-08,1.0223210082375156e-08
monkeyM_session-o080423001-5_lfp-6,2,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-6,3,ar,9.45061602575497e-09,1.649126321400296e-09
monkeyM_session-o080423001-5_lfp-6,3,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-6,4,ar,1.2311586779597443e-08,2.358381102111844e-09
monkeyM_session-o080423001-5_lfp-6,4,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-8,0,ar,2.0474850358199147e-07,3.258545291062468e-08
monkeyM_session-o080423001-5_lfp-8,0,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-8,1,ar,3.473244181557934e-08,7.022969834992546e-09
monkeyM_session-o080423001-5_lfp-8,1,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-8,2,ar,1.0259636745122433e-07,1.8535183160318544e-08
monkeyM_session-o080423001-5_lfp-8,2,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-8,3,ar,1.272065473869894e-07,1.999324298262086e-08
monkeyM_session-o080423001-5_lfp-8,3,embedding,0.0,0.0
monkeyM_session-o080423001-5_lfp-8,4,ar,5.060130224099173e-08,9.69308180996105e-09
monkeyM_session-o080423001-5_lfp-8,4,embedding,0.0,0.0
monkeyM_session-o080424002-11_lfp-1,0,ar,7.319336528337737e-08,1.176244204629811e-08
monkeyM_session-o080424002-11_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080424002-11_lfp-1,1,ar,8.06561846320884e-08,1.1031323029145352e-08
monkeyM_session-o080424002-11_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080424002-11_lfp-1,2,ar,3.7788176818529624e-08,6.55155358249702e-09
monkeyM_session-o080424002-11_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080424002-11_lfp-1,3,ar,1.2058970435082673e-07,2.0537035450217167e-08
monkeyM_session-o080424002-11_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080424002-11_lfp-1,4,ar,2.9780560540379822e-08,5.537452304504455e-09
monkeyM_session-o080424002-11_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,0,ar,1.1737953531029688e-08,2.0899591828410417e-09
monkeyM_session-o080424012-22_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,1,ar,2.7645966784882372e-08,4.080198583249813e-09
monkeyM_session-o080424012-22_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,2,ar,1.4386632737222772e-08,3.0869445360062037e-09
monkeyM_session-o080424012-22_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,3,ar,1.2701436310829858e-07,2.0218268258536917e-08
monkeyM_session-o080424012-22_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080424012-22_lfp-1,4,ar,3.9741477110793837e-08,8.301580966442824e-09
monkeyM_session-o080424012-22_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,0,ar,8.56619031798728e-08,1.519564971948462e-08
monkeyM_session-o080425003-12_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,1,ar,6.683019335238655e-08,1.2176949169752319e-08
monkeyM_session-o080425003-12_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,2,ar,1.2736899714663403e-07,2.3011187907980697e-08
monkeyM_session-o080425003-12_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,3,ar,4.714461254701598e-08,7.897442352811214e-09
monkeyM_session-o080425003-12_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080425003-12_lfp-1,4,ar,5.473705034554372e-08,1.0738341587711016e-08
monkeyM_session-o080425003-12_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,0,ar,3.767121226321956e-08,8.190356408932014e-09
monkeyM_session-o080429002-7_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,1,ar,3.1760833210398715e-08,6.7144312044660465e-09
monkeyM_session-o080429002-7_lfp-2,1,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,2,ar,4.154196157088539e-08,7.520655482551713e-09
monkeyM_session-o080429002-7_lfp-2,2,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,3,ar,1.4185315953395717e-07,2.6353520898445916e-08
monkeyM_session-o080429002-7_lfp-2,3,embedding,0.0,0.0
monkeyM_session-o080429002-7_lfp-2,4,ar,5.9512237464637643e-08,1.1552071934263604e-08
monkeyM_session-o080429002-7_lfp-2,4,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,0,ar,3.3405093218823634e-07,5.142644954551302e-08
monkeyM_session-o080430002-12_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,1,ar,9.98159088802129e-08,1.8124997598459417e-08
monkeyM_session-o080430002-12_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,2,ar,7.296721656188318e-08,1.3097173727259701e-08
monkeyM_session-o080430002-12_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,3,ar,1.2957326687420894e-07,2.586543146932111e-08
monkeyM_session-o080430002-12_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080430002-12_lfp-1,4,ar,1.1390130712706729e-07,2.1118968494309084e-08
monkeyM_session-o080430002-12_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,0,ar,1.0603417449519918e-07,1.5589458976262834e-08
monkeyM_session-o080430013-23_lfp-1,0,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,1,ar,1.0631239769846434e-07,1.8407194721943187e-08
monkeyM_session-o080430013-23_lfp-1,1,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,2,ar,3.1967735502356e-08,6.763129016153543e-09
monkeyM_session-o080430013-23_lfp-1,2,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,3,ar,1.5652446707346574e-07,3.1978880594235434e-08
monkeyM_session-o080430013-23_lfp-1,3,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-1,4,ar,6.733611756311493e-08,1.3167576214985743e-08
monkeyM_session-o080430013-23_lfp-1,4,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-2,0,ar,3.459649343439189e-08,6.953116933964705e-09
monkeyM_session-o080430013-23_lfp-2,0,embedding,0.0,0.0
monkeyM_session-o080430013-23_lfp-2,1,ar,7.182545773269135e-08,1.136396903148414e-08
