monkey,family,horizon_ms,metric,n_recordings,n_days,mean,sd,median,n_undefined
M,ar,1,mse,115,48,1.9593025858775482e-11,6.277009708752674e-12,1.9780251385930196e-11,0
M,ar,1,nmse,115,48,2.7811791971193677e-11,1.3624499469955786e-11,2.647121949293538e-11,0
M,ar,1,r2,115,48,0.9999999999721882,1.3624498887612529e-11,0.9999999999735285,0
M,ar,1,pearson,115,48,0.9999999999861622,6.7874083592746745e-12,0.9999999999868279,0
M,ar,1,nmse_persistence,115,48,0.024090635105950112,0.00822118567056911,0.02194454581076119,0
M,ar,1,r2_persistence,115,48,0.9759093648940498,0.008221185670569117,0.9780554541892388,0
M,ar,1,pearson_persistence,115,48,0.9879705976422367,0.004118266510174333,0.9890494013701917,0
M,ar,1,nmse_improvement,115,48,0.024090635078138318,0.008221185666809754,0.021944545791348254,0
M,ar,1,persistence_skill,115,48,0.9999999986702456,6.591069606806529e-10,0.999999998796625,0
M,ar,10,mse,115,48,0.0019476236040463018,0.0006755369030656205,0.001975371087342962,0
M,ar,10,nmse,115,48,0.002748238083240014,0.0010841728391662966,0.0026382239974815595,0
M,ar,10,r2,115,48,0.9972517619167598,0.0010841728391662985,0.9973617760025184,0
M,ar,10,pearson,115,48,0.9986507557773008,0.0005326195411175206,0.9987027257572528,0
M,ar,10,nmse_persistence,115,48,1.5267626733297741,0.3390886006412401,1.4729205108727257,0
M,ar,10,r2_persistence,115,48,-0.526762673329774,0.33908860064124013,-0.4729205108727257,0
M,ar,10,pearson_persistence,115,48,0.24038989181899229,0.17121014573247667,0.2625888783554014,0
M,ar,10,nmse_improvement,115,48,1.524014435246534,0.3388621636521307,1.4696307419093884,0
M,ar,10,persistence_skill,115,48,0.9980358634515848,0.000826274232498541,0.9981305425229628,0
M,embedding,1,mse,115,48,4.6039921033922047e-11,1.77122078768105e-11,4.3854574858832394e-11,0
M,embedding,1,nmse,115,48,6.984875216551286e-11,4.343567558983151e-11,5.601441134593787e-11,0
M,embedding,1,r2,115,48,0.9999999999301512,4.343566984968608e-11,0.9999999999439856,0
M,embedding,1,pearson,115,48,0.9999999999652942,2.156439964956889e-11,0.9999999999721427,0
M,embedding,1,nmse_persistence,115,48,0.024090635105950112,0.00822118567056911,0.02194454581076119,0
M,embedding,1,r2_persistence,115,48,0.9759093648940498,0.008221185670569117,0.9780554541892388,0
M,embedding,1,pearson_persistence,115,48,0.9879705976422367,0.004118266510174333,0.9890494013701917,0
M,embedding,1,nmse_improvement,115,48,0.02409063503610136,0.008221185661944495,0.02194454576198847,0
M,embedding,1,persistence_skill,115,48,0.9999999967202321,2.2500744210623167e-09,0.9999999972757809,0
M,embedding,10,mse,115,48,0.0032069295434196685,0.0011755325588193996,0.003212841001901264,0
M,embedding,10,nmse,115,48,0.004698196260443241,0.002117839215712739,0.004314925303533656,0
M,embedding,10,r2,115,48,0.9953018037395567,0.002117839215712726,0.9956850746964664,0
M,embedding,10,pearson,115,48,0.9976960616222424,0.0010360873133338762,0.9978802599735328,0
M,embedding,10,nmse_persistence,115,48,1.5267626733297741,0.3390886006412401,1.4729205108727257,0
M,embedding,10,r2_persistence,115,48,-0.526762673329774,0.33908860064124013,-0.4729205108727257,0
M,embedding,10,pearson_persistence,115,48,0.24038989181899229,0.17121014573247667,0.2625888783554014,0
M,embedding,10,nmse_improvement,115,48,1.5220644770693308,0.3387913213389303,1.4655665812556162,0
M,embedding,10,persistence_skill,115,48,0.996650405392934,0.001760308097846434,0.9970708057625502,0
T,ar,1,mse,95,30,2.250381054021196e-11,8.297277800026087e-12,2.276664677594722e-11,0
T,ar,1,nmse,95,30,2.6091662232374066e-11,7.995595810372042e-12,2.455626893531404e-11,0
T,ar,1,r2,95,30,0.9999999999739083,7.995604012893216e-12,0.9999999999754436,0
T,ar,1,pearson,95,30,0.9999999999870023,3.98098887548733e-12,0.9999999999877702,0
T,ar,1,nmse_persistence,95,30,0.02982261173837033,0.015175181031146687,0.021034886696259022,0
T,ar,1,r2_persistence,95,30,0.9701773882616297,0.015175181031146692,0.9789651133037409,0
T,ar,1,pearson_persistence,95,30,0.9850952147593252,0.007602407477359109,0.9895091914975318,0
T,ar,1,nmse_improvement,95,30,0.02982261171227867,0.015175181032518487,0.021034886674091688,0
T,ar,1,persistence_skill,95,30,0.9999999988914318,5.276760875176617e-10,0.9999999989261101,0
T,ar,10,mse,95,30,0.0021126005323776668,0.000772822253471413,0.0021245386572329695,0
T,ar,10,nmse,95,30,0.0024883073877198874,0.0007925035309072387,0.0023405797656989294,0
T,ar,10,r2,95,30,0.9975116926122801,0.0007925035309072369,0.9976594202343012,0
T,ar,10,pearson,95,30,0.9987770096350781,0.00038820326783879996,0.99885155007558,0
T,ar,10,nmse_persistence,95,30,1.7331102263403508,0.4704933713884495,1.5252416390294605,0
T,ar,10,r2_persistence,95,30,-0.7331102263403512,0.47049337138844954,-0.5252416390294604,0
T,ar,10,pearson_persistence,95,30,0.13551806894090543,0.23942841887155797,0.24341467595932348,0
T,ar,10,nmse_improvement,95,30,1.7306219189526308,0.47063350315519165,1.5222664904461964,0
T,ar,10,persistence_skill,95,30,0.9984192625480296,0.0006254689436000922,0.9984736073481003,0
T,embedding,1,mse,95,30,3.714563088243701e-11,1.2961610874669877e-11,3.654533283708495e-11,0
T,embedding,1,nmse,95,30,4.347735093946807e-11,1.3336505387361205e-11,3.975525841339048e-11,0
T,embedding,1,r2,95,30,0.9999999999565227,1.3336486859717457e-11,0.9999999999602447,0
T,embedding,1,pearson,95,30,0.9999999999783432,6.634897691886508e-12,0.9999999999801698,0
T,embedding,1,nmse_persistence,95,30,0.02982261173837033,0.015175181031146687,0.021034886696259022,0
T,embedding,1,r2_persistence,95,30,0.9701773882616297,0.015175181031146692,0.9789651133037409,0
T,embedding,1,pearson_persistence,95,30,0.9850952147593252,0.007602407477359109,0.9895091914975318,0
T,embedding,1,nmse_improvement,95,30,0.02982261169489298,0.015175181032405255,0.02103488666144555,0
T,embedding,1,persistence_skill,95,30,0.9999999981737547,8.392643862177352e-10,0.9999999982096944,0
T,embedding,10,mse,95,30,0.002677623911940943,0.0009599960524572249,0.0026307928716590135,0
T,embedding,10,nmse,95,30,0.0031767663706576536,0.0010270095230089096,0.0028992287741051014,0
T,embedding,10,r2,95,30,0.9968232336293424,0.0010270095230089076,0.9971007712258948,0
T,embedding,10,pearson,95,30,0.9984402711535104,0.0005028172133446268,0.9985763618260372,0
T,embedding,10,nmse_persistence,95,30,1.7331102263403508,0.4704933713884495,1.5252416390294605,0
T,embedding,10,r2_persistence,95,30,-0.7331102263403512,0.47049337138844954,-0.5252416390294604,0
T,embedding,10,pearson_persistence,95,30,0.13551806894090543,0.23942841887155797,0.24341467595932348,0
T,embedding,10,nmse_improvement,95,30,1.7299334599696934,0.47061735750944095,1.5214006399907418,0
T,embedding,10,persistence_skill,95,30,0.9979925938043429,0.000785186236467174,0.9980394619254878,0
