recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,n_trials,status,short_delay_ms
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,2008-04-16,1,289,289,5000,4500,4500,5000,104,17d599f109dc71c1668cbd0a602a89c724eb10b6b577719d6b3842591eab2de7,144,ok,1000
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2008-04-16,2,289,289,5000,4500,4500,5000,103,0fdf575154924fd5ff3cd73c1e22f09dffcf4c441582862e1ee796aef64e1f40,144,ok,1000
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,2008-04-17,1,259,259,5000,4500,4500,5000,111,3cf959128d0bfdf3d734aa5e438d310b3d352fe2821124db2eb7a90ed9a6e287,126,ok,1000
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,2008-04-17,4,259,259,5000,4500,4500,5000,109,aba633e83766ddb3ec6b8d9a9e1784882b571c799a2f767bd4e199c3b8b2484f,126,ok,1000
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2008-04-22,2,263,263,5000,4500,4500,5000,113,50d248f499fc090f58db31dd5f26b8a54f0d5d22264f71d759eb18d1edac850d,120,ok,1000
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,2008-04-23,6,214,214,5000,4500,4500,5000,116,cedec9b2dfcde7cfe55628895cf0d0241457a44e7ff935443e3fd1e432dd0d7b,96,ok,1000
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,2008-04-23,8,214,214,5000,4500,4500,5000,114,2bf26754ea66760c1b4b7ba555e5517b1a9c517d22e31667fd9ca1d2f84f7f94,96,ok,1000
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,2008-04-24,1,241,241,5000,4500,4500,5000,117,fdd2fd436253df56c32e4f26db54d9d777536d9baddbe732d6952a269545428c,120,ok,1000
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,2008-04-24,1,284,284,5000,4500,4500,5000,120,e8b6c98ac6a37c3a57de4151b73bc3aff308c2520406f69ece6653b5d2e52712,132,ok,1000
monkeyM_session-o080425003-12_lfp-1,M,o080425003-12,2008-04-25,1,241,241,5000,4500,4500,5000,121,d4fc6c434f918422bc59c110d18f56a9179720c2689df4eaac7f8b571430a59f,120,ok,1000
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2008-04-29,2,250,250,5000,4500,4500,5000,135,b0e7ae3e90a03bbba9144e97e2c4c54b3511bd00aa994c194ea032dd9081e1a7,120,ok,1000
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,2008-04-30,1,250,250,5000,4500,4500,5000,144,8693ece17143fa5a088e3f791346a22aef168a29b62464fb0a17e1f6562f781d,120,ok,1000
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,2008-04-30,1,254,254,5000,4500,4500,5000,150,5b413c1601036250c8eb692c71c92b42422d1af6afacb87f14d92955efcf2d6a,120,ok,1000
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2008-04-30,2,254,254,5000,4500,4500,5000,149,edb94acbe45c58629803751eca2f05f213b513a9dcd5c8a0be324977a5a60770,120,ok,1000
monkeyM_session-o080506002-22_lfp-1,M,o080506002-22,2008-05-06,1,410,410,5000,4500,4500,5000,168,f83fa2a94b1ddb2e6569e95b088d253765c9653b823f4b506a7f409bd2e8792d,198,ok,1000
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2008-05-06,2,410,410,5000,4500,4500,5000,166,7a55eff8667998cefe4610be131bcb117bc7dad9070a6869bd26f82cdaae5441,198,ok,1000
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,2008-05-07,1,242,242,5000,4500,4500,5000,172,d5ef27e60ad3420085d11ebd5185165ce931c81ade9aa700fd2bb23aff30f8ca,120,ok,1000
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,2008-05-07,1,233,233,5000,4500,4500,5000,177,34c7aef75ab1ef700202478cef8703d1d63631171cd08fc1b28b7293f6f69b02,108,ok,1000
monkeyM_session-o080507012-23_lfp-2,M,o080507012-23,2008-05-07,2,233,233,5000,4500,4500,5000,176,363ab54d7895bfe3160176dc07be3c4f44b3f99b478431ba749c12ec97b0d7fa,108,ok,1000
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,2008-05-09,1,227,227,5000,4500,4500,5000,179,ec7ac649acbaab612b2cbc1119036e07a5708c5bfdd613be34d037074037a798,96,ok,1000
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,2008-05-09,1,232,232,5000,4500,4500,5000,181,292d08b7aafeff1b738f4df3742117b22fa58e013cfac58c8590a63ac5334bbe,114,ok,1000
monkeyM_session-o080513001-9_lfp-1,M,o080513001-9,2008-05-13,1,224,224,5000,4500,4500,5000,186,517db8dbd5c697aa47c64788291cec2effc3d11f02fa92e09901c8dd0fe14f9f,102,ok,1000
monkeyM_session-o080513001-9_lfp-2,M,o080513001-9,2008-05-13,2,224,224,5000,4500,4500,5000,185,387fa871d39c248c20d9281b3b4d409e9dbee2fe1e1d7a8e6629643062191804,102,ok,1000
monkeyM_session-o080513010-18_lfp-1,M,o080513010-18,2008-05-13,1,225,225,5000,4500,4500,5000,190,eb57cc81e73b655df88b3c17840fcb47e6bcfd50dade8d87d5f66804077714cd,108,ok,1000
monkeyM_session-o080513010-18_lfp-2,M,o080513010-18,2008-05-13,2,225,225,5000,4500,4500,5000,189,c1be5348acd1b4ee1c20bfd04ab00ab86e3f7118c80e621a4d250000900f2177,108,ok,1000
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,2008-05-15,1,245,245,5000,4500,4500,5000,199,973b61a2d8c7fad8a6a696407e31cc67ff02f15486c88c18fcdf142e56bd0fae,120,ok,1000
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2008-05-15,2,245,245,5000,4500,4500,5000,197,e03ed99a1135fa5a16579ef1f033270e3fa82022a9445ca0b8cec41e5658c97f,120,ok,1000
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,2008-05-15,1,292,292,5000,4500,4500,5000,203,446ecd55455222006f9f979ee714db60333214ab1705375723e6da35bdbc30ff,126,ok,1000
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2008-05-15,2,292,292,5000,4500,4500,5000,202,3d7113ec969ba4b4129d8152b7929421f03baf241249c9ae7e4ee3258750a166,126,ok,1000
monkeyM_session-o080522005-11_lfp-1,M,o080522005-11,2008-05-22,1,236,236,5000,4500,4500,5000,239,ce1c5552193f8777ad57bc52dcb763b2776ddfdeb78963507d3c692a7f948625,108,ok,1000
monkeyM_session-o080522005-11_lfp-2,M,o080522005-11,2008-05-22,2,236,236,5000,4500,4500,5000,238,2de4ccee319414854d571f0fa96d153f18a48395f81b90b9bb55825af7d833ec,108,ok,1000
monkeyM_session-o080522012-21_lfp-1,M,o080522012-21,2008-05-22,1,282,282,5000,4500,4500,5000,248,44ffc67092ed881141968058164840fe66c1c537b1bfa30fafe967cad480acd6,144,ok,1000
monkeyM_session-o080522012-21_lfp-2,M,o080522012-21,2008-05-22,2,282,282,5000,4500,4500,5000,246,0b119eb40c43f7609f2d99362d8ee67118f017c52d8f6ec93e950eb00b12adb6,144,ok,1000
