recording,monkey,day,outer_fold,family,status,p,m,tau,mean_nmse,se_nmse,best_mean_nmse,one_se_threshold,boundary,rank,condition,condition_original,fit_status
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,ar,ok,14,0,1,0.0024461884158331467,9.165999217342865e-05,0.0023761356707674847,0.00246159283823049,False,15,130749153.21411887,130922138.88925888,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,0,embedding,ok,0,9,1,0.0029555225439547666,0.00012407947587306096,0.0029555225439547666,0.0030796020198278276,True,10,33956109.81486582,33963778.09871106,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,ar,ok,16,0,1,0.0023941338832997603,3.5469210450225946e-05,0.0023791291356275806,0.0024138323568355827,False,17,134999751.9942399,135324000.13887852,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,1,embedding,ok,0,9,1,0.0029639450575785174,3.8215039011595995e-05,0.0029639450575785174,0.0030021600965901133,True,10,34277231.13205233,34281931.69112949,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,ar,ok,16,0,1,0.002366821888544163,6.089382710333623e-05,0.0023521440784987336,0.00241253177788503,False,17,136753750.26940948,137216315.04152423,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,2,embedding,ok,0,9,1,0.002935203939398877,8.463419110407957e-05,0.002935203939398877,0.003019838130502957,True,10,34366459.098887615,34372858.83421487,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,ar,ok,16,0,1,0.002354252507854188,4.3427165586778606e-05,0.0023377580123539934,0.002379480588043232,False,17,136289608.69203463,136709210.87952682,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,3,embedding,ok,0,9,1,0.002912204363671497,4.146769627684428e-05,0.002912204363671497,0.002953672059948341,True,10,34528973.42938641,34535160.41367221,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,ar,ok,16,0,1,0.0024143410404802827,4.6968376093164385e-05,0.0024003037505121055,0.0024496359578693385,False,17,135986284.70086518,136132710.54458964,ok
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,4,embedding,ok,0,9,1,0.0029981356874900487,6.051677704714342e-05,0.0029981356874900487,0.003058652464537192,True,10,33923639.8494929,33929243.04720381,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,ar,ok,19,0,1,0.003943353727455766,1.9507438834579042e-05,0.003943353727455766,0.003962861166290345,False,20,145223938.19509295,145396200.62704712,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,0,embedding,ok,0,9,1,0.00543735167597744,4.890198639014987e-05,0.00543735167597744,0.0054862536623675896,True,10,22401403.903806336,22405566.502586354,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,ar,ok,16,0,1,0.004045764381935946,8.549249351393671e-05,0.003967698356374693,0.004063360623894939,False,17,138632424.1235478,138827642.91710487,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,1,embedding,ok,0,9,1,0.0054929609742325955,0.00011399215530176615,0.0054929609742325955,0.005606953129534362,True,10,22422332.3574455,22424658.62476636,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,ar,ok,14,0,1,0.0041143330556741055,0.00016770236426113088,0.003996588983568372,0.004156365621964071,False,15,133148598.12019663,133258903.03100325,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,2,embedding,ok,0,9,1,0.005518248091182129,0.00025102606744352256,0.005518248091182129,0.005769274158625651,True,10,22145067.566178244,22151667.801852476,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,3,ar,ok,19,0,1,0.003962840409263584,2.9995665374350164e-05,0.003962840409263584,0.003992836074637934,False,20,144596634.7248682,144896832.82047182,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,3,embedding,ok,0,9,1,0.0054689354334139725,1.0178969567556441e-05,0.0054689354334139725,0.0054791144029815286,True,10,22190724.19590106,22193778.886673998,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,4,ar,ok,15,0,1,0.004111726034890896,0.0001249089518725037,0.0039973132666863255,0.004112308440886006,False,16,135015050.52008733,135180049.61989948,ok
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,4,embedding,ok,0,9,1,0.0055229455110685265,0.000123188707930493,0.0055229455110685265,0.005646134218999019,True,10,22390744.16243652,22396454.352916937,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,0,ar,ok,19,0,1,0.0027242847535412884,8.738315974021323e-05,0.0027242847535412884,0.0028116679132815015,False,20,125334459.89258394,125966477.18135001,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,0,embedding,ok,0,9,1,0.004879828838109993,0.00013308834880145778,0.004879828838109993,0.005012917186911451,True,10,22937541.96567609,22941655.411750037,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,1,ar,ok,19,0,1,0.002738598559529764,0.00010289937224319568,0.002738598559529764,0.0028414979317729597,False,20,123576582.17899564,124434910.5557703,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,1,embedding,ok,0,9,1,0.004932778108686252,0.00015201746167618952,0.004932778108686252,0.005084795570362442,True,10,22680607.94989345,22681329.980136007,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,2,ar,ok,19,0,1,0.002721165136944144,0.0001583726534580076,0.002721165136944144,0.002879537790402152,False,20,124421085.34018582,125247291.79992124,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,2,embedding,ok,0,9,1,0.004851410957108331,0.00026934389354274155,0.004851410957108331,0.005120754850651073,True,10,22983872.245653037,22980096.857861232,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,3,ar,ok,19,0,1,0.0026368939489919024,0.00013754420918600077,0.0026368939489919024,0.0027744381581779032,False,20,122267238.18127236,122920187.14681949,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,3,embedding,ok,0,9,1,0.004706013298342194,0.00023883766468129925,0.004706013298342194,0.004944850963023493,True,10,22893350.61679963,22898319.962466743,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,4,ar,ok,19,0,1,0.002702644263459244,6.350490377334556e-05,0.002702644263459244,0.0027661491672325896,False,20,123777309.37104541,124522235.09583023,ok
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,4,embedding,ok,0,9,1,0.004827328309783582,0.00011279985073391317,0.004827328309783582,0.004940128160517495,True,10,22991911.32126903,22989402.587662075,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,0,ar,ok,19,0,1,0.002610185129154284,0.00014829841158281307,0.002610185129154284,0.0027584835407370974,False,20,121310859.41900134,121409759.60620247,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,0,embedding,ok,0,9,1,0.005287588598789676,0.00039342318944092026,0.005287588598789676,0.005681011788230596,True,10,19394743.735325564,19401090.00540464,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,1,ar,ok,19,0,1,0.002571913151752228,9.743408218395567e-05,0.002571913151752228,0.0026693472339361837,False,20,119895714.3630531,119980680.03516,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,1,embedding,ok,0,9,1,0.005242460592604365,0.00017139162692530197,0.005242460592604365,0.005413852219529667,True,10,19876483.861650717,19886129.54642334,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,2,ar,ok,19,0,1,0.002517556707618602,4.860578612390434e-05,0.002517556707618602,0.0025661624937425064,False,20,118645291.29934189,118708049.62899195,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,2,embedding,ok,0,9,1,0.005114075140061993,9.849798192672709e-05,0.005114075140061993,0.00521257312198872,True,10,19998879.36536531,20008308.727831483,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,3,ar,ok,19,0,1,0.0025860260800973415,5.984195184869745e-05,0.0025860260800973415,0.0026458680319460387,False,20,118401685.23650816,118489634.98135622,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,3,embedding,ok,0,9,1,0.005261829998951723,9.052019135987629e-05,0.005261829998951723,0.0053523501903115995,True,10,19523160.616692923,19534752.055248406,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,4,ar,ok,19,0,1,0.002571566297818462,0.00017436337666153727,0.002571566297818462,0.0027459296744799994,False,20,121511861.49327981,121598632.21187326,ok
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,4,embedding,ok,0,9,1,0.005244067102187843,0.00036197287027278863,0.005244067102187843,0.005606039972460631,True,10,19673569.561670914,19679070.0637196,ok
