monkey,recording,m_fold_0,m_fold_1,m_fold_2,m_fold_3,m_fold_4,n_distinct_m
M,monkeyM_session-o080416002-18_lfp-1,7,7,7,7,7,1
M,monkeyM_session-o080416002-18_lfp-2,7,9,7,7,7,2
M,monkeyM_session-o080417003-14_lfp-1,5,5,5,5,5,1
M,monkeyM_session-o080417003-14_lfp-4,3,3,3,3,3,1
M,monkeyM_session-o080422011-21_lfp-2,5,3,5,3,3,2
M,monkeyM_session-o080423001-5_lfp-6,5,5,3,5,5,2
M,monkeyM_session-o080423001-5_lfp-8,5,5,5,5,5,1
M,monkeyM_session-o080424012-22_lfp-1,3,3,5,5,5,2
M,monkeyM_session-o080425003-12_lfp-1,5,5,5,5,5,1
M,monkeyM_session-o080429002-7_lfp-2,5,5,5,5,5,1
M,monkeyM_session-o080430002-12_lfp-1,9,9,9,9,9,1
M,monkeyM_session-o080430013-23_lfp-1,3,5,5,5,5,2
M,monkeyM_session-o080430013-23_lfp-2,3,3,3,5,3,2
M,monkeyM_session-o080506002-22_lfp-1,3,3,3,3,3,1
M,monkeyM_session-o080506002-22_lfp-2,3,3,3,3,3,1
M,monkeyM_session-o080507002-11_lfp-1,3,3,3,3,3,1
M,monkeyM_session-o080507012-23_lfp-1,5,5,5,5,5,1
M,monkeyM_session-o080507012-23_lfp-2,5,5,5,5,5,1
M,monkeyM_session-o080509001-9_lfp-1,5,5,5,5,5,1
M,monkeyM_session-o080509010-19_lfp-1,5,5,5,3,5,2
M,monkeyM_session-o080513001-9_lfp-1,5,5,5,5,3,2
M,monkeyM_session-o080513001-9_lfp-2,3,3,3,3,3,1
M,monkeyM_session-o080513010-18_lfp-1,5,5,5,5,5,1
M,monkeyM_session-o080513010-18_lfp-2,3,3,3,3,3,1
M,monkeyM_session-o080515002-11_lfp-1,3,3,3,3,3,1
M,monkeyM_session-o080515002-11_lfp-2,3,3,3,3,3,1
M,monkeyM_session-o080515012-24_lfp-1,3,3,3,3,3,1
M,monkeyM_session-o080515012-24_lfp-2,3,3,3,3,3,1
M,monkeyM_session-o080522005-11_lfp-1,3,3,3,3,3,1
M,monkeyM_session-o080522005-11_lfp-2,3,3,3,3,3,1
M,monkeyM_session-o080522012-21_lfp-1,3,3,3,3,3,1
M,monkeyM_session-o080522012-21_lfp-2,5,5,5,5,5,1
M,monkeyM_session-o080523010-18_lfp-4,3,3,3,3,3,1
M,monkeyM_session-o080523010-18_lfp-8,5,5,3,3,5,2
M,monkeyM_session-o080527006-16_lfp-1,3,3,3,3,3,1
M,monkeyM_session-o080527006-16_lfp-2,3,5,5,3,3,2
M,monkeyM_session-o080528006-15_lfp-4,3,3,3,3,3,1
M,monkeyM_session-o080528016-25_lfp-2,5,5,5,5,5,1
M,monkeyM_session-o080528016-25_lfp-4,3,3,3,3,3,1
M,monkeyM_session-o080710006-11_lfp-5,5,5,3,5,5,2
M,monkeyM_session-o080710006-11_lfp-6,3,5,3,3,5,2
M,monkeyM_session-o080711002-7_lfp-6,3,3,3,3,3,1
M,monkeyM_session-o080711002-7_lfp-8,5,7,7,7,7,2
M,monkeyM_session-o080718005-9_lfp-5,5,5,5,5,5,1
M,monkeyM_session-o080718005-9_lfp-8,7,7,7,7,7,1
M,monkeyM_session-o080722004-9_lfp-5,5,5,5,5,5,1
M,monkeyM_session-o080723006-11_lfp-5,5,5,5,5,5,1
M,monkeyM_session-o080723006-11_lfp-7,7,7,7,7,7,1
M,monkeyM_session-o080724004-9_lfp-5,5,5,5,5,5,1
M,monkeyM_session-o080724004-9_lfp-7,5,5,5,7,5,2
M,monkeyM_session-o080731003-10_lfp-6,5,5,5,5,5,1
M,monkeyM_session-o080731011-18_lfp-6,7,5,5,5,5,2
M,monkeyM_session-o080801001-7_lfp-5,5,5,5,7,5,2
M,monkeyM_session-o080801001-7_lfp-6,3,3,3,3,3,1
M,monkeyM_session-o080808001-5_lfp-5,3,5,5,5,5,2
M,monkeyM_session-o080808001-5_lfp-6,3,3,3,3,3,1
M,monkeyM_session-o080808006-12_lfp-5,7,5,7,7,7,2
M,monkeyM_session-o080808006-12_lfp-6,5,5,5,5,5,1
M,monkeyM_session-o080828001-6_lfp-5,3,3,3,3,3,1
M,monkeyM_session-o080828001-6_lfp-6,3,3,3,3,5,2
M,monkeyM_session-o080828007-12_lfp-5,3,3,3,3,3,1
M,monkeyM_session-o080829001-5_lfp-5,3,3,3,3,3,1
M,monkeyM_session-o080904001-7_lfp-5,5,5,5,7,7,2
M,monkeyM_session-o080904008-14_lfp-5,5,5,5,5,5,1
M,monkeyM_session-o080904008-14_lfp-6,3,3,3,3,3,1
M,monkeyM_session-o080905001-6_lfp-5,3,3,3,3,3,1
M,monkeyM_session-o080910001-5_lfp-5,7,7,7,7,7,1
M,monkeyM_session-o080910001-5_lfp-7,5,7,7,5,5,2
M,monkeyM_session-o080910006-11_lfp-5,5,5,5,5,5,1
M,monkeyM_session-o080910006-11_lfp-7,7,7,7,5,5,2
M,monkeyM_session-o080911001-5_lfp-5,7,7,7,7,7,1
M,monkeyM_session-o080911001-5_lfp-6,3,5,7,3,3,3
