recording,day,difference,monkey,enhanced,baseline
monkeyM_session-o080416002-18_lfp-1,2008-04-16,0.0658141869991046,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080416002-18_lfp-2,2008-04-16,0.0697469279800644,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080417003-14_lfp-1,2008-04-17,0.0605458564997614,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080417003-14_lfp-4,2008-04-17,0.0054808430243725,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080422011-21_lfp-2,2008-04-22,-0.0981091576098813,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080423001-5_lfp-6,2008-04-23,-0.0138019397358477,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080423001-5_lfp-8,2008-04-23,0.0280610679804228,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080424012-22_lfp-1,2008-04-24,-0.0805385702168794,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080425003-12_lfp-1,2008-04-25,0.0359296621832947,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080429002-7_lfp-2,2008-04-29,0.0234030462637536,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080430002-12_lfp-1,2008-04-30,-0.001085409993887,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080430013-23_lfp-1,2008-04-30,-0.0290258197526367,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080430013-23_lfp-2,2008-04-30,0.0565510877535747,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080506002-22_lfp-1,2008-05-06,-0.0059515532897766,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080506002-22_lfp-2,2008-05-06,-0.0115904470467852,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080507002-11_lfp-1,2008-05-07,0.0013902879717728,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080507012-23_lfp-1,2008-05-07,0.0755960637797203,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080507012-23_lfp-2,2008-05-07,-0.0458021906938315,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080509001-9_lfp-1,2008-05-09,0.0328934208828304,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080509010-19_lfp-1,2008-05-09,0.0467483734280645,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080513001-9_lfp-1,2008-05-13,0.0319720392920319,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080513001-9_lfp-2,2008-05-13,0.0418631168289945,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080513010-18_lfp-1,2008-05-13,0.0337345828718671,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080513010-18_lfp-2,2008-05-13,-0.0050649571650424,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080515002-11_lfp-1,2008-05-15,-0.0083831933072832,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080515002-11_lfp-2,2008-05-15,-0.0434288126557993,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080515012-24_lfp-1,2008-05-15,0.0236340257216959,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080515012-24_lfp-2,2008-05-15,-0.0376754279642813,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080522005-11_lfp-1,2008-05-22,0.0052175158307053,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080522005-11_lfp-2,2008-05-22,-0.0108404568762912,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080522012-21_lfp-1,2008-05-22,-0.0397950949072912,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080522012-21_lfp-2,2008-05-22,0.0103003307962115,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080523010-18_lfp-4,2008-05-23,0.0437462059013782,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080523010-18_lfp-8,2008-05-23,0.0223065604540936,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080527006-16_lfp-1,2008-05-27,0.0466643172457904,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080527006-16_lfp-2,2008-05-27,0.0067171008043614,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080528006-15_lfp-4,2008-05-28,0.0164543082044189,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080528016-25_lfp-2,2008-05-28,0.0346893407737985,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080528016-25_lfp-4,2008-05-28,-0.0149149014068368,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080710006-11_lfp-5,2008-07-10,0.0165786361040867,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080710006-11_lfp-6,2008-07-10,0.0690248406670809,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080711002-7_lfp-6,2008-07-11,0.0403821662613222,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080711002-7_lfp-8,2008-07-11,0.004338560502134,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080718005-9_lfp-5,2008-07-18,0.0035376809570357,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080718005-9_lfp-8,2008-07-18,0.0148958049938441,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080722004-9_lfp-5,2008-07-22,-0.0331434521536742,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080723006-11_lfp-5,2008-07-23,-0.0374645362453527,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080723006-11_lfp-7,2008-07-23,-0.0343792562938506,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080724004-9_lfp-5,2008-07-24,-0.0036839952126706,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080724004-9_lfp-7,2008-07-24,-0.0755599003350127,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080731003-10_lfp-6,2008-07-31,0.0251119164873966,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080731011-18_lfp-6,2008-07-31,0.031000117695431,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080801001-7_lfp-5,2008-08-01,0.0004391154459643,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080801001-7_lfp-6,2008-08-01,0.0505682501570192,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080808001-5_lfp-5,2008-08-08,-0.0060738374651551,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080808001-5_lfp-6,2008-08-08,0.0246313931606194,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080808006-12_lfp-5,2008-08-08,-0.0467653437726315,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080808006-12_lfp-6,2008-08-08,0.0323780106814056,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080828001-6_lfp-5,2008-08-28,0.0713098438881889,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080828001-6_lfp-6,2008-08-28,-0.0289203832541642,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080828007-12_lfp-5,2008-08-28,0.0796101504018926,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080829001-5_lfp-5,2008-08-29,0.023594341766399,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080904001-7_lfp-5,2008-09-04,-0.0110217142122145,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080904008-14_lfp-5,2008-09-04,0.0093250131968533,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080904008-14_lfp-6,2008-09-04,0.0428030303030303,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080905001-6_lfp-5,2008-09-05,-0.0049342272657236,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080910001-5_lfp-5,2008-09-10,0.055025756131151,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080910001-5_lfp-7,2008-09-10,0.0234065133957988,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080910006-11_lfp-5,2008-09-10,0.0851596351596351,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080910006-11_lfp-7,2008-09-10,0.0315715950061011,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080911001-5_lfp-5,2008-09-11,0.0154438564980926,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080911001-5_lfp-6,2008-09-11,0.082013764788155,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080911006-11_lfp-5,2008-09-11,-0.0642112381441649,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080911006-11_lfp-6,2008-09-11,-0.0314549620955958,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080917001-8_lfp-5,2008-09-17,-0.0629752176417055,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080917001-8_lfp-6,2008-09-17,-0.1036732983407938,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080918001-5_lfp-5,2008-09-18,0.0568372354095702,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080918001-5_lfp-6,2008-09-18,2.4466417452961853e-05,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080918006-11_lfp-5,2008-09-18,-0.088683021084707,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080919001-6_lfp-5,2008-09-19,-0.0385395842054869,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080919001-6_lfp-7,2008-09-19,-0.0020373951474863,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080919007-12_lfp-5,2008-09-19,-0.0028259069592719,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080919007-12_lfp-7,2008-09-19,-0.0294735750238461,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080925002-6_lfp-6,2008-09-25,0.0070874036002477,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080925002-6_lfp-7,2008-09-25,0.0033491391065264,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080925007-12_lfp-6,2008-09-25,-0.0083447427025166,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080925007-12_lfp-7,2008-09-25,-0.0114428503348979,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080926001-6_lfp-5,2008-09-26,0.0415139403106265,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080926007-11_lfp-5,2008-09-26,-0.029051219955761,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080926007-11_lfp-6,2008-09-26,-0.0108771521922776,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081001001-12_lfp-1,2008-10-01,-0.0055799734589134,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081001001-12_lfp-3,2008-10-01,-0.0320560356117229,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081001013-26_lfp-1,2008-10-01,-0.0598488847699984,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081001013-26_lfp-3,2008-10-01,-0.0429108819212788,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081002010-22_lfp-2,2008-10-02,0.018987173037802,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081003003-14_lfp-1,2008-10-03,0.0210253929255751,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081003003-14_lfp-2,2008-10-03,0.0445462900377761,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081003015-26_lfp-1,2008-10-03,-0.0816326083685454,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081003015-26_lfp-2,2008-10-03,-0.0586372380442203,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081008001-15_lfp-1,2008-10-08,-0.0385678698178697,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081008001-15_lfp-2,2008-10-08,0.0215771277690782,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081028001-12_lfp-4,2008-10-28,-0.0828733260518577,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081031013-23_lfp-1,2008-10-31,-0.0110882037352625,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081031013-23_lfp-3,2008-10-31,-0.0140356909891128,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081107007-13_lfp-1,2008-11-07,-0.003472099148648,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081113002-9_lfp-1,2008-11-13,0.0691637825980863,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081113002-9_lfp-2,2008-11-13,0.0619623851247404,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081127010-14_lfp-1,2008-11-27,0.0139054540419067,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081202001-7_lfp-2,2008-12-02,-0.0661697477735408,M,ktorus_power_frequency,power_frequency
monkeyM_session-o081202001-7_lfp-4,2008-12-02,0.0597514486339605,M,ktorus_power_frequency,power_frequency
monkeyM_session-o080416002-18_lfp-1,2008-04-16,-0.0172761643384468,M,ktorus_all_bands,all_bands
monkeyM_session-o080416002-18_lfp-2,2008-04-16,-0.0038760009271811,M,ktorus_all_bands,all_bands
monkeyM_session-o080417003-14_lfp-1,2008-04-17,0.0224282435910342,M,ktorus_all_bands,all_bands
monkeyM_session-o080417003-14_lfp-4,2008-04-17,0.0804247386058017,M,ktorus_all_bands,all_bands
monkeyM_session-o080422011-21_lfp-2,2008-04-22,-0.0609453452684349,M,ktorus_all_bands,all_bands
monkeyM_session-o080423001-5_lfp-6,2008-04-23,0.006513326397717,M,ktorus_all_bands,all_bands
monkeyM_session-o080423001-5_lfp-8,2008-04-23,0.0755143844565096,M,ktorus_all_bands,all_bands
monkeyM_session-o080424012-22_lfp-1,2008-04-24,-0.0768533672183461,M,ktorus_all_bands,all_bands
monkeyM_session-o080425003-12_lfp-1,2008-04-25,0.013945223154533,M,ktorus_all_bands,all_bands
monkeyM_session-o080429002-7_lfp-2,2008-04-29,0.0221515649477591,M,ktorus_all_bands,all_bands
monkeyM_session-o080430002-12_lfp-1,2008-04-30,0.0814676732627421,M,ktorus_all_bands,all_bands
monkeyM_session-o080430013-23_lfp-1,2008-04-30,0.0884490452651975,M,ktorus_all_bands,all_bands
monkeyM_session-o080430013-23_lfp-2,2008-04-30,0.0674953469527112,M,ktorus_all_bands,all_bands
