recording,day,difference,monkey,enhanced,baseline
monkeyT_session-y070130005-13_lfp-1,2007-01-30,-0.0515918275133105,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070130005-13_lfp-2,2007-01-30,0.0020014222502201,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070201001-6_lfp-1,2007-02-01,0.0147739288821973,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070202001-7_lfp-1,2007-02-02,-0.0010025690188588,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070206006-12_lfp-1,2007-02-06,0.0304221355485199,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070207004-11_lfp-1,2007-02-07,0.0009467035656708,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070207004-11_lfp-2,2007-02-07,0.0268787278812341,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070207012-19_lfp-1,2007-02-07,0.0220373420427491,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070207012-19_lfp-2,2007-02-07,0.0118374885200464,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070208003-8_lfp-1,2007-02-08,-0.0507267929714705,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070208003-8_lfp-2,2007-02-08,-0.0468442658204556,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070209004-10_lfp-1,2007-02-09,0.0408366698232898,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070209004-10_lfp-2,2007-02-09,0.0206429984570967,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070213003-8_lfp-1,2007-02-13,0.027117682874699,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070214006-11_lfp-2,2007-02-14,0.1175371970277154,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070214012-17_lfp-2,2007-02-14,-0.0694462339575349,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070215005-10_lfp-1,2007-02-15,0.0309280585633621,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070215005-10_lfp-2,2007-02-15,0.0617447316451152,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070215011-16_lfp-1,2007-02-15,0.0775765942694873,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070215011-16_lfp-2,2007-02-15,-0.0305467494176493,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070228001-5_lfp-8,2007-02-28,-0.004672726880373,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070301002-6_lfp-8,2007-03-01,-0.0042899765350749,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070301012-19_lfp-7,2007-03-01,-0.0068221562817628,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070306001-5_lfp-5,2007-03-06,0.1499057897282453,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070306001-5_lfp-7,2007-03-06,0.083946007824384,T,ktorus_power_frequency,power_frequency
monkeyT_session-y070306006-11_lfp-5,2007-03-06,0.046755471536734,T,ktorus_power_frequency,power_frequency
