monkey,method,true_direction,predicted_direction,fraction
M,ktorus,1,1,0.2289593034990495
M,ktorus,1,2,0.1602936161836523
M,ktorus,1,3,0.1286050186934605
M,ktorus,1,4,0.1592257753822038
M,ktorus,1,5,0.1538981585843165
M,ktorus,1,6,0.1690181276573171
M,ktorus,2,1,0.1787925591948884
M,ktorus,2,2,0.1724989366113178
M,ktorus,2,3,0.1770317039082303
M,ktorus,2,4,0.1471506855465436
M,ktorus,2,5,0.1610252856351677
M,ktorus,2,6,0.1635008291038519
M,ktorus,3,1,0.1533923231558124
M,ktorus,3,2,0.1906843521924711
M,ktorus,3,3,0.1585110047774833
M,ktorus,3,4,0.1787172448806188
M,ktorus,3,5,0.1618803325419837
M,ktorus,3,6,0.1568147424516304
M,ktorus,4,1,0.1920130202735656
M,ktorus,4,2,0.1375248673674243
M,ktorus,4,3,0.1575695179992888
M,ktorus,4,4,0.1987531278700145
M,ktorus,4,5,0.1699590428972573
M,ktorus,4,6,0.1441804235924493
M,ktorus,5,1,0.1639931888066699
M,ktorus,5,2,0.1528767238232433
M,ktorus,5,3,0.1581282657679478
M,ktorus,5,4,0.1862125056821383
M,ktorus,5,5,0.1795744880664712
M,ktorus,5,6,0.1592148278535293
M,ktorus,6,1,0.1952865784679313
M,ktorus,6,2,0.1547115110221594
M,ktorus,6,3,0.1504565575148476
M,ktorus,6,4,0.1603537335741379
M,ktorus,6,5,0.1468204614042411
M,ktorus,6,6,0.1923711580166824
