monkey,method,true_direction,predicted_direction,fraction
M,power_frequency,1,1,0.212128519196853
M,power_frequency,1,2,0.1414579305953814
M,power_frequency,1,3,0.1346205371165196
M,power_frequency,1,4,0.1697535897810086
M,power_frequency,1,5,0.1555597109825703
M,power_frequency,1,6,0.1864797123276668
M,power_frequency,2,1,0.1551383077867852
M,power_frequency,2,2,0.1862315327146728
M,power_frequency,2,3,0.1987930962279536
M,power_frequency,2,4,0.1424301042286638
M,power_frequency,2,5,0.1479746854309128
M,power_frequency,2,6,0.1694322736110117
M,power_frequency,3,1,0.1517445860326479
M,power_frequency,3,2,0.1710945379264859
M,power_frequency,3,3,0.2064089618528053
M,power_frequency,3,4,0.1552776358102956
M,power_frequency,3,5,0.1547109937554745
M,power_frequency,3,6,0.1607632846222906
M,power_frequency,4,1,0.1658153467460686
M,power_frequency,4,2,0.1352594388019699
M,power_frequency,4,3,0.1527915225358549
M,power_frequency,4,4,0.2324895591915738
M,power_frequency,4,5,0.1707834883521945
M,power_frequency,4,6,0.1428606443723382
M,power_frequency,5,1,0.1695102249602081
M,power_frequency,5,2,0.1558027773261151
M,power_frequency,5,3,0.1570592537061128
M,power_frequency,5,4,0.1819978257079911
M,power_frequency,5,5,0.1582962334751259
M,power_frequency,5,6,0.1773336848244468
M,power_frequency,6,1,0.1740820174786813
M,power_frequency,6,2,0.1572591786881959
M,power_frequency,6,3,0.1643655699217673
M,power_frequency,6,4,0.1515884258145114
M,power_frequency,6,5,0.1554699554359996
M,power_frequency,6,6,0.1972348526608443
