monkey,method,true_direction,predicted_direction,fraction
T,ktorus,1,1,0.1987946008964179
T,ktorus,1,2,0.1889111075068086
T,ktorus,1,3,0.1429708241739044
T,ktorus,1,4,0.1463649749126272
T,ktorus,1,5,0.1591024685690836
T,ktorus,1,6,0.163856023941158
T,ktorus,2,1,0.1764819537303467
T,ktorus,2,2,0.2335048476505485
T,ktorus,2,3,0.1534237750385427
T,ktorus,2,4,0.1418217012210207
T,ktorus,2,5,0.1450709459180242
T,ktorus,2,6,0.1496967764415169
T,ktorus,3,1,0.1641422717569057
T,ktorus,3,2,0.1829955381082398
T,ktorus,3,3,0.1711555869787702
T,ktorus,3,4,0.159428128384439
T,ktorus,3,5,0.1679739887576065
T,ktorus,3,6,0.1543044860140387
T,ktorus,4,1,0.1655380585159788
T,ktorus,4,2,0.1642795605340496
T,ktorus,4,3,0.1511243521037992
T,ktorus,4,4,0.1754869763206021
T,ktorus,4,5,0.1849826362771846
T,ktorus,4,6,0.1585884162483855
T,ktorus,5,1,0.1371090750193411
T,ktorus,5,2,0.1357860741536854
T,ktorus,5,3,0.1449507454577988
T,ktorus,5,4,0.1611238439350836
T,ktorus,5,5,0.2226389971765638
T,ktorus,5,6,0.1983912642575271
T,ktorus,6,1,0.1660731176394405
T,ktorus,6,2,0.1573473273952736
T,ktorus,6,3,0.1328411730997664
T,ktorus,6,4,0.1689625936009041
T,ktorus,6,5,0.1938684446499429
T,ktorus,6,6,0.1809073436146722
