monkey,method,true_direction,predicted_direction,fraction
T,power_frequency,1,1,0.2190896269171793
T,power_frequency,1,2,0.1917463353601681
T,power_frequency,1,3,0.1533579188218816
T,power_frequency,1,4,0.1302332295475778
T,power_frequency,1,5,0.1422197323660047
T,power_frequency,1,6,0.1633531569871883
T,power_frequency,2,1,0.1450289188801405
T,power_frequency,2,2,0.3476816217183889
T,power_frequency,2,3,0.1908074810930858
T,power_frequency,2,4,0.1478004041646119
T,power_frequency,2,5,0.068489671751008
T,power_frequency,2,6,0.1001919023927646
T,power_frequency,3,1,0.120389501586858
T,power_frequency,3,2,0.1871804954162866
T,power_frequency,3,3,0.2511934929097277
T,power_frequency,3,4,0.1780137546366096
T,power_frequency,3,5,0.1437653450930298
T,power_frequency,3,6,0.119457410357488
T,power_frequency,4,1,0.111900615658288
T,power_frequency,4,2,0.183439488802661
T,power_frequency,4,3,0.2025075419087562
T,power_frequency,4,4,0.2118222362382862
T,power_frequency,4,5,0.159243337462254
T,power_frequency,4,6,0.1310867799297544
T,power_frequency,5,1,0.1414489410162239
T,power_frequency,5,2,0.1043654791663227
T,power_frequency,5,3,0.19092000467933
T,power_frequency,5,4,0.1700919079439394
T,power_frequency,5,5,0.2117591049653132
T,power_frequency,5,6,0.1814145622288705
T,power_frequency,6,1,0.1743703184784726
T,power_frequency,6,2,0.1283851687012312
T,power_frequency,6,3,0.1549575594903089
T,power_frequency,6,4,0.1573647682232556
T,power_frequency,6,5,0.1813316623598291
T,power_frequency,6,6,0.2035905227469024
