monkey,method,direction,mean,std,count
T,ktorus,1,0.1885497557119926,0.1023064023486028,93
T,ktorus,2,0.2169498441781513,0.1117420438593568,93
T,ktorus,3,0.1742891763586781,0.0902423118449299,93
T,ktorus,4,0.1693136023678633,0.105474469319227,93
T,ktorus,5,0.2061542160172948,0.1015779548074706,93
T,ktorus,6,0.1700098562148838,0.1008972870679103,93
T,power_frequency,1,0.2128478529435577,0.1207663889756144,93
T,power_frequency,2,0.3135193049502074,0.1279965355413436,93
T,power_frequency,3,0.2061101763781932,0.128286775332201,93
T,power_frequency,4,0.1831529659404678,0.1306433887304316,93
T,power_frequency,5,0.2070424733707196,0.124640914395825,93
T,power_frequency,6,0.2000963833183108,0.1173408560238416,93
