recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyM_session-o080416002-18_lfp-1,M,0,ok,3,7,18.0,5.219846264423183,92,115,"[6.0, 22.0, 36.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-1,M,1,ok,3,7,18.0,5.219846264423183,92,115,"[6.0, 22.0, 36.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-1,M,2,ok,3,7,19.0,1.3793788639108733,92,115,"[6.0, 22.0, 38.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 38.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-1,M,3,ok,3,7,18.0,5.219846264423183,92,115,"[6.0, 22.0, 36.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-1,M,4,ok,3,7,19.0,1.846271734281324,92,116,"[6.0, 22.0, 36.0]",1.2608695652173914,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-2,M,0,ok,3,7,19.0,1.846271734281324,92,115,"[6.0, 22.0, 36.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-2,M,1,ok,4,9,18.0,3.1752505896395724,190,115,"[6.0, 22.0, 38.0, 46.0]",0.6052631578947368,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 38.0, ""multiple"": 6}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 22.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyM_session-o080416002-18_lfp-2,M,2,ok,3,7,19.0,1.3793788639108733,92,115,"[6.0, 22.0, 38.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 38.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-2,M,3,ok,3,7,19.0,1.846271734281324,92,115,"[6.0, 22.0, 36.0]",1.25,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080416002-18_lfp-2,M,4,ok,3,7,19.0,1.846271734281324,92,116,"[6.0, 22.0, 36.0]",1.2608695652173914,"[{""lower_hz"": 6.0, ""upper_hz"": 22.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 36.0, ""multiple"": 6}]",True
monkeyM_session-o080417003-14_lfp-1,M,0,ok,2,5,44.0,38.02742755938773,36,100,"[34.0, 46.0]",2.7777777777777777,[],True
monkeyM_session-o080417003-14_lfp-1,M,1,ok,2,5,29.0,8.711033495553979,36,101,"[34.0, 46.0]",2.805555555555556,[],True
monkeyM_session-o080417003-14_lfp-1,M,2,ok,2,5,44.0,38.02742755938773,36,101,"[34.0, 46.0]",2.805555555555556,[],True
