recording,monkey,fold,status,K,dimension,tau_samples,condition,feature_count,n_training_trials,frequencies_hz,training_trials_per_feature,harmonic_ambiguities,geometry_evaluable
monkeyT_session-y070130005-13_lfp-1,T,0,ok,1,3,13.0,1.1525420501870804,10,100,[24.0],10.0,[],True
monkeyT_session-y070130005-13_lfp-1,T,1,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070130005-13_lfp-1,T,2,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070130005-13_lfp-1,T,3,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070130005-13_lfp-1,T,4,ok,1,3,13.0,1.1525420501870804,10,101,[24.0],10.1,[],True
monkeyT_session-y070130005-13_lfp-2,T,0,ok,3,7,14.0,10.58955619627572,92,100,"[6.0, 24.0, 46.0]",1.0869565217391304,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 24.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070130005-13_lfp-2,T,1,ok,3,7,14.0,10.58955619627572,92,101,"[6.0, 24.0, 46.0]",1.0978260869565215,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 24.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070130005-13_lfp-2,T,2,ok,3,7,15.0,4.482277431885471,92,101,"[6.0, 24.0, 46.0]",1.0978260869565215,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 24.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070130005-13_lfp-2,T,3,ok,2,5,14.0,1.412720184980373,36,101,"[6.0, 24.0]",2.805555555555556,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
monkeyT_session-y070130005-13_lfp-2,T,4,ok,3,7,14.0,10.58955619627572,92,101,"[6.0, 24.0, 46.0]",1.0978260869565215,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}, {""lower_hz"": 6.0, ""upper_hz"": 46.0, ""multiple"": 8}, {""lower_hz"": 24.0, ""upper_hz"": 46.0, ""multiple"": 2}]",True
monkeyT_session-y070201001-6_lfp-1,T,0,ok,1,3,17.0,2.006075320936564,10,72,[24.0],7.2,[],True
monkeyT_session-y070201001-6_lfp-1,T,1,ok,2,5,17.0,1.644560116338972,36,72,"[6.0, 24.0]",2.0,"[{""lower_hz"": 6.0, ""upper_hz"": 24.0, ""multiple"": 4}]",True
