recording,monkey,day,method,geometry_evaluable,direction,f1
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,True,1,0.23076923076923078
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,True,2,0.05714285714285714
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,True,3,0.22641509433962265
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,True,4,0.3076923076923077
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,True,5,0.25925925925925924
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,all_bands,True,6,0.14285714285714285
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,2,0.08888888888888889
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,3,0.21739130434782608
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,4,0.22727272727272727
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,5,0.2545454545454545
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,6,0.2
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,1,0.20408163265306123
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,2,0.10526315789473684
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,3,0.2222222222222222
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,4,0.2608695652173913
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,5,0.18518518518518517
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_all_bands,True,6,0.14285714285714285
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,1,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,2,0.10256410256410256
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,3,0.2127659574468085
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,4,0.2608695652173913
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,5,0.21818181818181817
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus_power_frequency,True,6,0.22641509433962265
