monkey,method,direction,mean,std,count
M,all_bands,1,0.1767380713665532,0.10454043485517125,110
M,all_bands,2,0.16491922965585346,0.11302200526053165,110
M,all_bands,3,0.1921927091536527,0.10763222399623906,110
M,all_bands,4,0.18807529297740902,0.11397332102759487,110
M,all_bands,5,0.19202619320596206,0.10414803798017001,110
M,all_bands,6,0.2007282610281473,0.11073736660424997,110
M,ktorus,1,0.20871135499951973,0.10203357160593017,110
M,ktorus,2,0.1669357387335145,0.10368405846073955,110
M,ktorus,3,0.1582951282942064,0.10097973173078596,110
M,ktorus,4,0.18939604114873812,0.09584956211117238,110
M,ktorus,5,0.16836224849294512,0.11535058073586829,110
M,ktorus,6,0.18893416396142562,0.10202601484551586,110
M,ktorus_all_bands,1,0.21825818983343775,0.10456116595324685,110
M,ktorus_all_bands,2,0.18643618383350813,0.10560805797425953,110
M,ktorus_all_bands,3,0.1858879393257326,0.10552754263112299,110
M,ktorus_all_bands,4,0.18936127396819138,0.10322341121599865,110
M,ktorus_all_bands,5,0.19709631242819764,0.10980487201955338,110
M,ktorus_all_bands,6,0.18991981506817895,0.09457389810829332,110
M,ktorus_power_frequency,1,0.22217074491687427,0.11220324583847467,110
M,ktorus_power_frequency,2,0.1772404168807187,0.10833337543554324,110
M,ktorus_power_frequency,3,0.17164549237144716,0.09775367982193438,110
M,ktorus_power_frequency,4,0.20178624015843238,0.1043705211335672,110
M,ktorus_power_frequency,5,0.1707704570057328,0.11301497351687298,110
M,ktorus_power_frequency,6,0.19569962408012423,0.10308253322147616,110
M,peak_frequency,1,0.17644352702655952,0.11501900350212149,110
M,peak_frequency,2,0.14826294669730936,0.11592935349281143,110
M,peak_frequency,3,0.15574227167844787,0.10132981775459554,110
M,peak_frequency,4,0.14986410166590047,0.11345087232607888,110
M,peak_frequency,5,0.13830347919400143,0.10475807130109344,110
M,peak_frequency,6,0.15186430786316965,0.1096249123798645,110
M,peak_power,1,0.18493038022043154,0.1187944607567268,110
M,peak_power,2,0.17896429683813855,0.12015002805963375,110
M,peak_power,3,0.17554558706557263,0.12899781384470524,110
M,peak_power,4,0.21254972776616904,0.13692031579087882,110
M,peak_power,5,0.14979601217986566,0.11810161498600176,110
M,peak_power,6,0.16839479052910986,0.1244778908697157,110
M,power_frequency,1,0.19426400050496798,0.1288703875058304,110
M,power_frequency,2,0.18058309221160854,0.11212041846845568,110
M,power_frequency,3,0.19541678337019866,0.1189845888081172,110
M,power_frequency,4,0.21393374301768,0.12429724367951922,110
M,power_frequency,5,0.15271000148481545,0.09603212757303693,110
M,power_frequency,6,0.1826094893814159,0.11198968935423284,110
T,all_bands,1,0.20895265080388725,0.12302303491913531,93
T,all_bands,2,0.21918591134160728,0.11729864542851069,93
T,all_bands,3,0.224380549874038,0.11109892891130421,93
T,all_bands,4,0.18389968402054038,0.10326096464655929,93
T,all_bands,5,0.16687432962410284,0.11181423823488572,93
T,all_bands,6,0.18387593184262355,0.10173635340085525,93
T,ktorus,1,0.1885497557119926,0.10230640234860285,93
T,ktorus,2,0.21694984417815139,0.11174204385935682,93
T,ktorus,3,0.17428917635867813,0.09024231184492996,93
T,ktorus,4,0.1693136023678633,0.10547446931922701,93
T,ktorus,5,0.2061542160172948,0.10157795480747067,93
T,ktorus,6,0.17000985621488385,0.10089728706791037,93
T,ktorus_all_bands,1,0.21964864165089013,0.10336770259954887,93
T,ktorus_all_bands,2,0.23693440095945462,0.10826303951629782,93
T,ktorus_all_bands,3,0.20645707035103972,0.09361763556592503,93
T,ktorus_all_bands,4,0.19633745999272667,0.10041304724836657,93
T,ktorus_all_bands,5,0.20036299516687298,0.09749727357798733,93
T,ktorus_all_bands,6,0.18291752023660732,0.09903600200457915,93
T,ktorus_power_frequency,1,0.21604960687728653,0.10128789572167017,93
T,ktorus_power_frequency,2,0.2794562202299251,0.11608551507918248,93
T,ktorus_power_frequency,3,0.20154747841128146,0.10500099920346409,93
T,ktorus_power_frequency,4,0.19822060847341091,0.11052272059206339,93
T,ktorus_power_frequency,5,0.22634995694124263,0.11120839615823433,93
T,ktorus_power_frequency,6,0.21101211309832402,0.1099633607857717,93
T,peak_frequency,1,0.16181281811815582,0.08473356656863648,93
T,peak_frequency,2,0.2662534146939216,0.13131806167844376,93
T,peak_frequency,3,0.13388034125784326,0.08883311523049128,93
T,peak_frequency,4,0.1517290985656736,0.10694472118687372,93
T,peak_frequency,5,0.19984002932919598,0.1253294128929326,93
T,peak_frequency,6,0.14321375539466993,0.08952651104018916,93
T,peak_power,1,0.15909281494277347,0.11270025360071059,93
T,peak_power,2,0.18099845151204996,0.11813749474404066,93
T,peak_power,3,0.19060796055878393,0.1272908483693975,93
T,peak_power,4,0.16853508815364135,0.12093592645643508,93
T,peak_power,5,0.13902999051306839,0.09713588314211022,93
T,peak_power,6,0.17795450183708297,0.11708878300984146,93
T,power_frequency,1,0.21284785294355774,0.12076638897561447,93
T,power_frequency,2,0.31351930495020747,0.1279965355413436,93
T,power_frequency,3,0.20611017637819323,0.12828677533220106,93
T,power_frequency,4,0.18315296594046787,0.13064338873043166,93
T,power_frequency,5,0.2070424733707196,0.124640914395825,93
T,power_frequency,6,0.2000963833183108,0.11734085602384163,93
