recording,monkey,day,method,geometry_evaluable,macro_f1,n_trials,old_pca_tube_f1,difference
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,ktorus,True,0.19940528473137167,144,0.1141812366468186,0.08522404808455307
monkeyM_session-o080416002-18_lfp-2,M,2008-04-16,ktorus,True,0.19267976069795442,144,0.1873920010871723,0.005287759610782122
monkeyM_session-o080417003-14_lfp-1,M,2008-04-17,ktorus,True,0.24072294786375883,126,0.2259680706437132,0.014754877220045648
monkeyM_session-o080417003-14_lfp-4,M,2008-04-17,ktorus,True,0.16856186449209706,126,0.1814037125333659,-0.012841848041268838
monkeyM_session-o080422011-21_lfp-2,M,2008-04-22,ktorus,True,0.11831370541047959,120,0.1145101315379953,0.003803573872484284
monkeyM_session-o080423001-5_lfp-6,M,2008-04-23,ktorus,True,0.20157044299201163,96,0.1659041009033934,0.03566634208861824
monkeyM_session-o080423001-5_lfp-8,M,2008-04-23,ktorus,True,0.2288490204229915,96,0.195935960591133,0.03291305983185849
monkeyM_session-o080424012-22_lfp-1,M,2008-04-24,ktorus,True,0.1569119569269607,132,0.1706709784184676,-0.013759021491506901
monkeyM_session-o080425003-12_lfp-1,M,2008-04-25,ktorus,True,0.17809847061216508,120,0.1614008178695347,0.01669765274263038
monkeyM_session-o080429002-7_lfp-2,M,2008-04-29,ktorus,True,0.20636989539428566,120,0.2338332218102663,-0.02746332641598065
monkeyM_session-o080430002-12_lfp-1,M,2008-04-30,ktorus,True,0.21373107607271646,120,0.1980490943905578,0.015681981682158674
monkeyM_session-o080430013-23_lfp-1,M,2008-04-30,ktorus,True,0.1912196440298243,120,0.1454688899208184,0.04575075410900589
monkeyM_session-o080430013-23_lfp-2,M,2008-04-30,ktorus,True,0.2117940306619552,120,0.0928943549334927,0.11889967572846251
monkeyM_session-o080506002-22_lfp-1,M,2008-05-06,ktorus,True,0.1751432227460991,198,0.2234810693692272,-0.04833784662312812
monkeyM_session-o080506002-22_lfp-2,M,2008-05-06,ktorus,True,0.15706699122999854,198,0.1629934229298636,-0.005926431699865065
monkeyM_session-o080507002-11_lfp-1,M,2008-05-07,ktorus,True,0.08428037341080818,120,0.1985163928212383,-0.11423601941043013
monkeyM_session-o080507012-23_lfp-1,M,2008-05-07,ktorus,True,0.23305145819145912,108,0.1407934039512987,0.09225805424016043
monkeyM_session-o080507012-23_lfp-2,M,2008-05-07,ktorus,True,0.15849418039820518,108,0.2238588875529146,-0.06536470715470943
monkeyM_session-o080509001-9_lfp-1,M,2008-05-09,ktorus,True,0.17973766429648785,96,0.1443763616557734,0.035361302640714465
monkeyM_session-o080509010-19_lfp-1,M,2008-05-09,ktorus,True,0.17178851884734236,114,0.1421564244144889,0.029632094432853473
monkeyM_session-o080513001-9_lfp-1,M,2008-05-13,ktorus,True,0.10571838555709524,102,0.1479207090306411,-0.04220232347354587
monkeyM_session-o080513001-9_lfp-2,M,2008-05-13,ktorus,True,0.12730243612596556,102,0.1784911097055309,-0.05118867357956533
monkeyM_session-o080513010-18_lfp-1,M,2008-05-13,ktorus,True,0.23005960505960507,108,0.1498212256726188,0.08023837938698627
monkeyM_session-o080513010-18_lfp-2,M,2008-05-13,ktorus,True,0.20925175935616389,108,0.2172435880383426,-0.007991828682178709
