monkey,method,true_direction,predicted_direction,fraction
M,all_bands,1,1,0.18523129873116934
M,all_bands,1,2,0.14584582270517826
M,all_bands,1,3,0.16371327177266953
M,all_bands,1,4,0.1671796471257967
M,all_bands,1,5,0.15034461518077136
M,all_bands,1,6,0.1876853444844148
M,all_bands,2,1,0.16484489876527955
M,all_bands,2,2,0.1686517575525161
M,all_bands,2,3,0.18588415127237387
M,all_bands,2,4,0.153099986464533
M,all_bands,2,5,0.1559657338546601
M,all_bands,2,6,0.1715534720906374
M,all_bands,3,1,0.16485410290576075
M,all_bands,3,2,0.16531537096029392
M,all_bands,3,3,0.20007294735982667
M,all_bands,3,4,0.17728558521305224
M,all_bands,3,5,0.1426009122025664
M,all_bands,3,6,0.1498710813585
M,all_bands,4,1,0.14729550403837466
M,all_bands,4,2,0.15462468422429565
M,all_bands,4,3,0.17091717727468525
M,all_bands,4,4,0.20174830944879882
M,all_bands,4,5,0.188046287596032
M,all_bands,4,6,0.13736803741781362
M,all_bands,5,1,0.15597528466830193
M,all_bands,5,2,0.14223927153587912
M,all_bands,5,3,0.14668714928758692
M,all_bands,5,4,0.20003510813746142
M,all_bands,5,5,0.20032046837733536
M,all_bands,5,6,0.15474271799343522
M,all_bands,6,1,0.184655138435474
M,all_bands,6,2,0.152239631375709
M,all_bands,6,3,0.1483503266395166
M,all_bands,6,4,0.14561166962353375
M,all_bands,6,5,0.15618009497596716
M,all_bands,6,6,0.21296313894979946
M,ktorus,1,1,0.22895930349904955
M,ktorus,1,2,0.16029361618365232
M,ktorus,1,3,0.12860501869346053
M,ktorus,1,4,0.15922577538220387
M,ktorus,1,5,0.15389815858431657
M,ktorus,1,6,0.16901812765731714
M,ktorus,2,1,0.17879255919488846
M,ktorus,2,2,0.1724989366113178
M,ktorus,2,3,0.17703170390823034
M,ktorus,2,4,0.14715068554654365
M,ktorus,2,5,0.16102528563516777
M,ktorus,2,6,0.16350082910385197
M,ktorus,3,1,0.15339232315581244
M,ktorus,3,2,0.19068435219247118
M,ktorus,3,3,0.15851100477748337
M,ktorus,3,4,0.17871724488061885
M,ktorus,3,5,0.16188033254198375
M,ktorus,3,6,0.1568147424516304
M,ktorus,4,1,0.19201302027356565
M,ktorus,4,2,0.1375248673674243
M,ktorus,4,3,0.15756951799928884
M,ktorus,4,4,0.19875312787001456
M,ktorus,4,5,0.1699590428972573
M,ktorus,4,6,0.1441804235924493
M,ktorus,5,1,0.1639931888066699
M,ktorus,5,2,0.15287672382324335
M,ktorus,5,3,0.15812826576794783
M,ktorus,5,4,0.18621250568213835
M,ktorus,5,5,0.1795744880664712
M,ktorus,5,6,0.15921482785352936
M,ktorus,6,1,0.19528657846793135
M,ktorus,6,2,0.15471151102215944
M,ktorus,6,3,0.15045655751484766
M,ktorus,6,4,0.16035373357413796
M,ktorus,6,5,0.14682046140424113
M,ktorus,6,6,0.19237115801668245
M,ktorus_all_bands,1,1,0.2264374467626036
M,ktorus_all_bands,1,2,0.16007288229617384
M,ktorus_all_bands,1,3,0.13831643774545274
M,ktorus_all_bands,1,4,0.16678799485436085
M,ktorus_all_bands,1,5,0.1502853554088199
M,ktorus_all_bands,1,6,0.15809988293258906
M,ktorus_all_bands,2,1,0.16689811864869517
M,ktorus_all_bands,2,2,0.18889816082789082
M,ktorus_all_bands,2,3,0.1848712459091126
M,ktorus_all_bands,2,4,0.14726488794594575
M,ktorus_all_bands,2,5,0.16013376815177655
M,ktorus_all_bands,2,6,0.15193381851657908
M,ktorus_all_bands,3,1,0.1493044321471684
M,ktorus_all_bands,3,2,0.1853320164633412
M,ktorus_all_bands,3,3,0.1885712429770722
M,ktorus_all_bands,3,4,0.16512185773671978
M,ktorus_all_bands,3,5,0.1559355625467294
M,ktorus_all_bands,3,6,0.155734888128969
M,ktorus_all_bands,4,1,0.16647790292598633
M,ktorus_all_bands,4,2,0.1403970413039986
M,ktorus_all_bands,4,3,0.1777823687857235
M,ktorus_all_bands,4,4,0.1934001200675774
M,ktorus_all_bands,4,5,0.17981608653928954
M,ktorus_all_bands,4,6,0.1421264803774246
M,ktorus_all_bands,5,1,0.15279828165533568
M,ktorus_all_bands,5,2,0.15625697255380938
M,ktorus_all_bands,5,3,0.136270159791877
M,ktorus_all_bands,5,4,0.1844929408081969
M,ktorus_all_bands,5,5,0.20455644941845835
M,ktorus_all_bands,5,6,0.1656251957723227
M,ktorus_all_bands,6,1,0.1886049543012423
M,ktorus_all_bands,6,2,0.15313639808587287
M,ktorus_all_bands,6,3,0.15792504844711977
M,ktorus_all_bands,6,4,0.15213350713729765
M,ktorus_all_bands,6,5,0.15737513462919298
M,ktorus_all_bands,6,6,0.1908249573992744
M,ktorus_power_frequency,1,1,0.23173010381008163
M,ktorus_power_frequency,1,2,0.15393948193008278
M,ktorus_power_frequency,1,3,0.13062600907617158
M,ktorus_power_frequency,1,4,0.16223332003761765
M,ktorus_power_frequency,1,5,0.15286878843218102
M,ktorus_power_frequency,1,6,0.16860229671386529
M,ktorus_power_frequency,2,1,0.16634062128782628
M,ktorus_power_frequency,2,2,0.1790173793843682
M,ktorus_power_frequency,2,3,0.18949227014326475
M,ktorus_power_frequency,2,4,0.1484833775025957
M,ktorus_power_frequency,2,5,0.1610223796824852
M,ktorus_power_frequency,2,6,0.15564397199945984
M,ktorus_power_frequency,3,1,0.1393540756651667
M,ktorus_power_frequency,3,2,0.1958286041244899
M,ktorus_power_frequency,3,3,0.1710660129107511
M,ktorus_power_frequency,3,4,0.17746088677137406
M,ktorus_power_frequency,3,5,0.15302559106586597
M,ktorus_power_frequency,3,6,0.16326482946235224
M,ktorus_power_frequency,4,1,0.1575154881462704
M,ktorus_power_frequency,4,2,0.1299609389795103
M,ktorus_power_frequency,4,3,0.16609135070820105
M,ktorus_power_frequency,4,4,0.21221609998304838
M,ktorus_power_frequency,4,5,0.188697382681669
M,ktorus_power_frequency,4,6,0.14551873950130081
M,ktorus_power_frequency,5,1,0.16035696631896573
M,ktorus_power_frequency,5,2,0.14387641607363924
M,ktorus_power_frequency,5,3,0.16225196525312058
M,ktorus_power_frequency,5,4,0.1937913818752138
M,ktorus_power_frequency,5,5,0.17529653553227453
M,ktorus_power_frequency,5,6,0.16442673494678614
M,ktorus_power_frequency,6,1,0.17885070522056076
M,ktorus_power_frequency,6,2,0.1541743209558913
M,ktorus_power_frequency,6,3,0.15264716048855756
M,ktorus_power_frequency,6,4,0.16031869834465098
M,ktorus_power_frequency,6,5,0.15422425590926994
M,ktorus_power_frequency,6,6,0.19978485908106947
M,peak_frequency,1,1,0.20487090324818324
M,peak_frequency,1,2,0.17197628156530445
M,peak_frequency,1,3,0.1467493698405899
M,peak_frequency,1,4,0.1536869272490692
M,peak_frequency,1,5,0.15734808093961647
M,peak_frequency,1,6,0.1653684371572367
M,peak_frequency,2,1,0.18354644982773868
M,peak_frequency,2,2,0.16804634756660758
M,peak_frequency,2,3,0.1764848153782085
M,peak_frequency,2,4,0.15770461464178948
M,peak_frequency,2,5,0.14912686244992884
M,peak_frequency,2,6,0.16509091013572688
M,peak_frequency,3,1,0.1725256456092846
M,peak_frequency,3,2,0.16619838796669145
M,peak_frequency,3,3,0.17037252750422222
M,peak_frequency,3,4,0.17213238769201245
M,peak_frequency,3,5,0.1646010308434271
M,peak_frequency,3,6,0.1541700203843622
M,peak_frequency,4,1,0.17001332696197555
M,peak_frequency,4,2,0.16038855099678304
M,peak_frequency,4,3,0.16416904026995
M,peak_frequency,4,4,0.16732950889411127
M,peak_frequency,4,5,0.16983287165160954
M,peak_frequency,4,6,0.1682667012255706
M,peak_frequency,5,1,0.17307780794713692
M,peak_frequency,5,2,0.16492447464236412
M,peak_frequency,5,3,0.1677076007244629
M,peak_frequency,5,4,0.1660949319439759
M,peak_frequency,5,5,0.15260230934338684
M,peak_frequency,5,6,0.1755928753986733
M,peak_frequency,6,1,0.19170157479849198
M,peak_frequency,6,2,0.1589447520695875
M,peak_frequency,6,3,0.15388132060880214
M,peak_frequency,6,4,0.1626280742551409
M,peak_frequency,6,5,0.16107322234997168
M,peak_frequency,6,6,0.17177105591800582
M,peak_power,1,1,0.20998170067158792
M,peak_power,1,2,0.14698625571028948
M,peak_power,1,3,0.14648173272358422
M,peak_power,1,4,0.18350068443425488
M,peak_power,1,5,0.15374042496558224
M,peak_power,1,6,0.15930920149470124
M,peak_power,2,1,0.14275590695758114
M,peak_power,2,2,0.1978564268130559
M,peak_power,2,3,0.18779206279508157
M,peak_power,2,4,0.1515544535315424
M,peak_power,2,5,0.15053547281489593
M,peak_power,2,6,0.16950567708784298
M,peak_power,3,1,0.1500960345247885
M,peak_power,3,2,0.1863507965520463
M,peak_power,3,3,0.2006436857881684
M,peak_power,3,4,0.17278475950240157
M,peak_power,3,5,0.14143015093758673
M,peak_power,3,6,0.1486945726950085
M,peak_power,4,1,0.17255303280535253
M,peak_power,4,2,0.14360424192548113
M,peak_power,4,3,0.14747649191103382
M,peak_power,4,4,0.254488093918153
M,peak_power,4,5,0.15070240076461533
M,peak_power,4,6,0.13117573867536417
M,peak_power,5,1,0.1682328432666289
M,peak_power,5,2,0.16125474889334143
M,peak_power,5,3,0.149682829709545
M,peak_power,5,4,0.19164592760684884
M,peak_power,5,5,0.16300162283128744
M,peak_power,5,6,0.16618202769234836
M,peak_power,6,1,0.18253234495470724
M,peak_power,6,2,0.1651570311015986
M,peak_power,6,3,0.15724421969791627
M,peak_power,6,4,0.16406640716406204
M,peak_power,6,5,0.14256571397822998
M,peak_power,6,6,0.18843428310348587
