monkey,method,mean,low,high
M,all_bands,0.1571862609528348,0.14911453824011947,0.16429158255059098
M,ktorus,0.15858706486333335,0.1516996905204539,0.16522853538168583
M,ktorus_all_bands,0.16217030440093744,0.15467810016917496,0.16870421795910978
M,ktorus_power_frequency,0.16110295177118278,0.1530731078960452,0.16869198085892867
M,peak_frequency,0.1448777095729974,0.13833821183335346,0.15169657372658718
M,peak_power,0.14645812783769613,0.13919813508669795,0.15337454183556753
M,power_frequency,0.15411216210206188,0.14746978078245893,0.162100688961942
T,all_bands,0.1570793116654646,0.1498039013199602,0.16439708038642678
T,ktorus,0.15778706364602552,0.15089507227084417,0.16490463415722473
T,ktorus_all_bands,0.16182461925515682,0.1539681999987186,0.16917408744777282
T,ktorus_power_frequency,0.16022221125324182,0.15318252782312328,0.16675186049313517
T,peak_frequency,0.14196198297167353,0.1357001880416521,0.14885547713601555
T,peak_power,0.1366248553947641,0.1306507805117123,0.14302646820354878
T,power_frequency,0.1471440601867316,0.1394423057214594,0.1539352118240651
