day,difference,monkey,enhanced,baseline
2008-04-16,0.079855229146,M,ktorus,power_frequency
2008-04-17,0.031812858151,M,ktorus,power_frequency
2008-04-22,-0.088993959344,M,ktorus,power_frequency
2008-04-23,0.033603679843,M,ktorus,power_frequency
2008-04-24,-0.037904291437,M,ktorus,power_frequency
2008-04-25,-0.016711621257,M,ktorus,power_frequency
2008-04-29,-0.013810682766,M,ktorus,power_frequency
2008-04-30,0.007457728315,M,ktorus,power_frequency
2008-05-06,-0.037169437518,M,ktorus,power_frequency
2008-05-07,-0.056517494428,M,ktorus,power_frequency
2008-05-09,0.043901295786,M,ktorus,power_frequency
2008-05-13,0.009478043641,M,ktorus,power_frequency
2008-05-15,0.004843400779,M,ktorus,power_frequency
2008-05-22,-0.074458263486,M,ktorus,power_frequency
2008-05-23,0.053062159302,M,ktorus,power_frequency
2008-05-27,0.016207043415,M,ktorus,power_frequency
2008-05-28,-0.020919374458,M,ktorus,power_frequency
2008-07-10,0.0003420355,M,ktorus,power_frequency
2008-07-11,-0.013362726937,M,ktorus,power_frequency
2008-07-18,0.031067652546,M,ktorus,power_frequency
2008-07-22,-0.04625594045,M,ktorus,power_frequency
2008-07-23,-0.031001712661,M,ktorus,power_frequency
2008-07-24,-0.069363515066,M,ktorus,power_frequency
2008-07-31,0.008057844844,M,ktorus,power_frequency
2008-08-01,0.036935536123,M,ktorus,power_frequency
2008-08-08,0.002851246559,M,ktorus,power_frequency
2008-08-28,0.027411102242,M,ktorus,power_frequency
2008-08-29,0.032051773239,M,ktorus,power_frequency
2008-09-04,0.020078355273,M,ktorus,power_frequency
2008-09-05,3.8478287e-05,M,ktorus,power_frequency
2008-09-10,0.025189908105,M,ktorus,power_frequency
2008-09-11,-0.02987030604,M,ktorus,power_frequency
2008-09-17,-0.047824119314,M,ktorus,power_frequency
2008-09-18,-0.019091183139,M,ktorus,power_frequency
2008-09-19,-0.012139997439,M,ktorus,power_frequency
2008-09-25,-0.000101567796,M,ktorus,power_frequency
2008-09-26,0.017342652323,M,ktorus,power_frequency
2008-10-01,-0.065184567722,M,ktorus,power_frequency
2008-10-02,0.008814532006,M,ktorus,power_frequency
2008-10-03,-0.027265650892,M,ktorus,power_frequency
2008-10-08,0.013818195861,M,ktorus,power_frequency
2008-10-28,-0.121511813538,M,ktorus,power_frequency
2008-10-31,-0.022310119987,M,ktorus,power_frequency
2008-11-07,-0.015719154482,M,ktorus,power_frequency
2008-11-13,0.035872614602,M,ktorus,power_frequency
2008-11-27,0.008861646222,M,ktorus,power_frequency
2008-12-02,-0.004683482275,M,ktorus,power_frequency
2008-04-16,-0.010577466726,M,ktorus,all_bands
2008-04-17,0.060058042129,M,ktorus,all_bands
2008-04-22,-0.048194888278,M,ktorus,all_bands
2008-04-23,0.075659460694,M,ktorus,all_bands
2008-04-24,-0.045893244408,M,ktorus,all_bands
2008-04-25,-0.026409133584,M,ktorus,all_bands
2008-04-29,0.014949760089,M,ktorus,all_bands
2008-04-30,0.067407665964,M,ktorus,all_bands
2008-05-06,-0.022732330922,M,ktorus,all_bands
2008-05-07,-0.027539437888,M,ktorus,all_bands
2008-05-09,0.006506115972,M,ktorus,all_bands
2008-05-13,-0.022735907905,M,ktorus,all_bands
2008-05-15,0.034101750942,M,ktorus,all_bands
2008-05-22,0.011393442306,M,ktorus,all_bands
2008-05-23,0.005316784986,M,ktorus,all_bands
2008-05-27,0.000738456303,M,ktorus,all_bands
2008-05-28,-0.082546045348,M,ktorus,all_bands
2008-07-10,-0.005151552881,M,ktorus,all_bands
2008-07-11,0.007818071986,M,ktorus,all_bands
2008-07-18,0.080544448929,M,ktorus,all_bands
2008-07-22,0.085299460601,M,ktorus,all_bands
2008-07-23,-0.032874026839,M,ktorus,all_bands
2008-07-24,-0.108989890585,M,ktorus,all_bands
2008-07-31,0.015789971405,M,ktorus,all_bands
2008-08-01,-0.009850190409,M,ktorus,all_bands
2008-08-08,-0.011908875448,M,ktorus,all_bands
2008-08-28,0.003366885863,M,ktorus,all_bands
2008-08-29,-0.019364573001,M,ktorus,all_bands
2008-09-04,-0.002817861617,M,ktorus,all_bands
2008-09-05,-0.044702404994,M,ktorus,all_bands
2008-09-10,0.005107600864,M,ktorus,all_bands
2008-09-11,-0.03461459118,M,ktorus,all_bands
2008-09-17,0.000578510829,M,ktorus,all_bands
2008-09-18,0.02302069932,M,ktorus,all_bands
2008-09-19,-0.031851971917,M,ktorus,all_bands
2008-09-25,0.0026262971,M,ktorus,all_bands
2008-09-26,-0.02160770848,M,ktorus,all_bands
2008-10-01,-0.014588666654,M,ktorus,all_bands
2008-10-02,-0.020766878183,M,ktorus,all_bands
2008-10-03,-0.032540803154,M,ktorus,all_bands
2008-10-08,0.025971020215,M,ktorus,all_bands
2008-10-28,0.021712616493,M,ktorus,all_bands
