recording,day,difference,monkey,enhanced,baseline
monkeyM_session-o080416002-18_lfp-1,2008-04-16,0.06036449321663029,M,ktorus,power_frequency
monkeyM_session-o080416002-18_lfp-2,2008-04-16,0.09934596507582928,M,ktorus,power_frequency
monkeyM_session-o080417003-14_lfp-1,2008-04-17,0.06355350876147037,M,ktorus,power_frequency
monkeyM_session-o080417003-14_lfp-4,2008-04-17,7.220754073919422e-05,M,ktorus,power_frequency
monkeyM_session-o080422011-21_lfp-2,2008-04-22,-0.08899395934399365,M,ktorus,power_frequency
monkeyM_session-o080423001-5_lfp-6,2008-04-23,-0.004413003508676239,M,ktorus,power_frequency
monkeyM_session-o080423001-5_lfp-8,2008-04-23,0.07162036319433426,M,ktorus,power_frequency
monkeyM_session-o080424012-22_lfp-1,2008-04-24,-0.03790429143696439,M,ktorus,power_frequency
monkeyM_session-o080425003-12_lfp-1,2008-04-25,-0.016711621256750325,M,ktorus,power_frequency
monkeyM_session-o080429002-7_lfp-2,2008-04-29,-0.013810682765832166,M,ktorus,power_frequency
monkeyM_session-o080430002-12_lfp-1,2008-04-30,-0.010833128330197589,M,ktorus,power_frequency
monkeyM_session-o080430013-23_lfp-1,2008-04-30,-0.05513863484877976,M,ktorus,power_frequency
monkeyM_session-o080430013-23_lfp-2,2008-04-30,0.08834494812474539,M,ktorus,power_frequency
monkeyM_session-o080506002-22_lfp-1,2008-05-06,-0.014893427169654111,M,ktorus,power_frequency
monkeyM_session-o080506002-22_lfp-2,2008-05-06,-0.059445447866564916,M,ktorus,power_frequency
monkeyM_session-o080507002-11_lfp-1,2008-05-07,-0.11155271321137458,M,ktorus,power_frequency
monkeyM_session-o080507012-23_lfp-1,2008-05-07,0.04853316455712631,M,ktorus,power_frequency
monkeyM_session-o080507012-23_lfp-2,2008-05-07,-0.10653293462890984,M,ktorus,power_frequency
monkeyM_session-o080509001-9_lfp-1,2008-05-09,0.03602637896934888,M,ktorus,power_frequency
monkeyM_session-o080509010-19_lfp-1,2008-05-09,0.05177621260224513,M,ktorus,power_frequency
monkeyM_session-o080513001-9_lfp-1,2008-05-13,-0.010982480835973613,M,ktorus,power_frequency
monkeyM_session-o080513001-9_lfp-2,2008-05-13,0.0069491335145984295,M,ktorus,power_frequency
monkeyM_session-o080513010-18_lfp-1,2008-05-13,0.05916290190483739,M,ktorus,power_frequency
monkeyM_session-o080513010-18_lfp-2,2008-05-13,-0.01721738002046197,M,ktorus,power_frequency
monkeyM_session-o080515002-11_lfp-1,2008-05-15,0.003940881200565571,M,ktorus,power_frequency
monkeyM_session-o080515002-11_lfp-2,2008-05-15,-0.03905468729671724,M,ktorus,power_frequency
monkeyM_session-o080515012-24_lfp-1,2008-05-15,0.05247845977742499,M,ktorus,power_frequency
monkeyM_session-o080515012-24_lfp-2,2008-05-15,0.0020089494349070647,M,ktorus,power_frequency
monkeyM_session-o080522005-11_lfp-1,2008-05-22,-0.12395479206806545,M,ktorus,power_frequency
monkeyM_session-o080522005-11_lfp-2,2008-05-22,-0.09146088528613808,M,ktorus,power_frequency
monkeyM_session-o080522012-21_lfp-1,2008-05-22,-0.05542228744372696,M,ktorus,power_frequency
monkeyM_session-o080522012-21_lfp-2,2008-05-22,-0.026995089145513684,M,ktorus,power_frequency
monkeyM_session-o080523010-18_lfp-4,2008-05-23,0.04558665472458573,M,ktorus,power_frequency
monkeyM_session-o080523010-18_lfp-8,2008-05-23,0.060537663878624984,M,ktorus,power_frequency
monkeyM_session-o080527006-16_lfp-1,2008-05-27,0.01309582844029522,M,ktorus,power_frequency
monkeyM_session-o080527006-16_lfp-2,2008-05-27,0.01931825839027107,M,ktorus,power_frequency
monkeyM_session-o080528006-15_lfp-4,2008-05-28,-0.03608216196260619,M,ktorus,power_frequency
monkeyM_session-o080528016-25_lfp-2,2008-05-28,0.011276580370783273,M,ktorus,power_frequency
monkeyM_session-o080528016-25_lfp-4,2008-05-28,-0.03795254178318691,M,ktorus,power_frequency
monkeyM_session-o080710006-11_lfp-5,2008-07-10,-0.01974571320660473,M,ktorus,power_frequency
monkeyM_session-o080710006-11_lfp-6,2008-07-10,0.02042978420608746,M,ktorus,power_frequency
monkeyM_session-o080711002-7_lfp-6,2008-07-11,-0.08004776148211065,M,ktorus,power_frequency
monkeyM_session-o080711002-7_lfp-8,2008-07-11,0.05332230760769774,M,ktorus,power_frequency
monkeyM_session-o080718005-9_lfp-5,2008-07-18,0.0640388466329326,M,ktorus,power_frequency
monkeyM_session-o080718005-9_lfp-8,2008-07-18,-0.001903541540499376,M,ktorus,power_frequency
monkeyM_session-o080722004-9_lfp-5,2008-07-22,-0.046255940450243865,M,ktorus,power_frequency
monkeyM_session-o080723006-11_lfp-5,2008-07-23,-0.025852792008817654,M,ktorus,power_frequency
monkeyM_session-o080723006-11_lfp-7,2008-07-23,-0.03615063331220805,M,ktorus,power_frequency
monkeyM_session-o080724004-9_lfp-5,2008-07-24,-0.026081305547186906,M,ktorus,power_frequency
monkeyM_session-o080724004-9_lfp-7,2008-07-24,-0.11264572458457908,M,ktorus,power_frequency
monkeyM_session-o080731003-10_lfp-6,2008-07-31,0.04249295078788165,M,ktorus,power_frequency
monkeyM_session-o080731011-18_lfp-6,2008-07-31,-0.02637726110081609,M,ktorus,power_frequency
monkeyM_session-o080801001-7_lfp-5,2008-08-01,-0.010384585931904333,M,ktorus,power_frequency
monkeyM_session-o080801001-7_lfp-6,2008-08-01,0.08425565817746813,M,ktorus,power_frequency
monkeyM_session-o080808001-5_lfp-5,2008-08-08,-0.013320864093609497,M,ktorus,power_frequency
monkeyM_session-o080808001-5_lfp-6,2008-08-08,0.08696744062597725,M,ktorus,power_frequency
monkeyM_session-o080808006-12_lfp-5,2008-08-08,-0.0380095420073113,M,ktorus,power_frequency
monkeyM_session-o080808006-12_lfp-6,2008-08-08,-0.024232048287185365,M,ktorus,power_frequency
monkeyM_session-o080828001-6_lfp-5,2008-08-28,0.06450761911392877,M,ktorus,power_frequency
monkeyM_session-o080828001-6_lfp-6,2008-08-28,-0.02954308856453111,M,ktorus,power_frequency
