recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,minimum_short,minimum_long,status,geometry_evaluable,n_trials,selection_hash,predecessor_features_sha256,fit_seconds,decode_seconds
monkeyM_session-o080326006-9_lfp-1,M,o080326006-9,2008-03-26,1,40,40,5000,4500,4500,5000,0,7052791fb0e2e4e32bdb1d63f38e8197c9a2cfe9fda1fec7afae8953b873e5e1,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080327001-7_lfp-1,M,o080327001-7,2008-03-27,1,98,98,5000,4500,4500,5000,3,4866cea41af2123c4038163b7ed19e39614d6dcb150ae1b93957b14f8973f90e,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080403001-7_lfp-1,M,o080403001-7,2008-04-03,1,101,101,5000,4500,4500,5000,11,49e1eb14414eda49ba4ff1981bbf73f921997ee664897deafba1ab31dfd9af4d,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080403001-7_lfp-2,M,o080403001-7,2008-04-03,2,101,101,5000,4500,4500,5000,10,3bace766fefca97e51c48a4673635d05ff5b169cb7499c9515b971845c193e4e,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080403009-14_lfp-1,M,o080403009-14,2008-04-03,1,117,117,5000,4500,4500,5000,17,65baba239956c344f13eaf1247430342ef987bc5905f6b214d96a5ba98507e38,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080403009-14_lfp-2,M,o080403009-14,2008-04-03,2,117,117,5000,4500,4500,5000,16,13f30ececfe94d6019e19c8d5da19a7c2506929363f801dc7cd64754dfe1074a,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080403015-20_lfp-1,M,o080403015-20,2008-04-03,1,81,81,5000,4500,4500,5000,24,2c1c6cbf33f4c35e1eec14484d36ba4692ad191906ccfd2b3a32055f0426869d,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080403015-20_lfp-2,M,o080403015-20,2008-04-03,2,81,81,5000,4500,4500,5000,23,0a1b41c055f879ca47454cf3fca73b31d96e21bcd60132a67fb62fc49bbfd9b2,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080404002-6_lfp-1,M,o080404002-6,2008-04-04,1,91,91,5000,4500,4500,5000,30,5789bd41bbd22878293b1f231f5b53f5caf8915d6759b0f6ba77811b8af25eba,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080404002-6_lfp-2,M,o080404002-6,2008-04-04,2,91,91,5000,4500,4500,5000,28,f68551645418e7f969e6147bc1e6eb9fb60723213a4356b61d896c681aa761ed,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080404007-12_lfp-1,M,o080404007-12,2008-04-04,1,105,105,5000,4500,4500,5000,34,77bc2c085f57534eb523f09bd8731eedc56f730f6e5d78fda8658cdf1f92136c,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080404013-18_lfp-1,M,o080404013-18,2008-04-04,1,86,86,5000,4500,4500,5000,46,80e7e1e040ca8664acafec34c117e8f933452194df0e36112ce278ebfad304a1,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080408001-4_lfp-1,M,o080408001-4,2008-04-08,1,88,88,5000,4500,4500,5000,55,21428c76d9f9ec82a02d3d359b7283a76bef669eb51d914495bd1c1eed0cd055,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080410001-7_lfp-1,M,o080410001-7,2008-04-10,1,118,118,5000,4500,4500,5000,59,254d90b8c09fd316034ff2df8dcdde754019ffe55df5b1e32055609fba80b964,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080410001-7_lfp-2,M,o080410001-7,2008-04-10,2,118,118,5000,4500,4500,5000,58,defa2bb55355e122c38e758254f153348e64cf14efe1b8b3b1ca2286c28d4639,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080410008-13_lfp-1,M,o080410008-13,2008-04-10,1,120,120,5000,4500,4500,5000,69,547c12a26115e8e2aadd04a6fed14ab92f018a385e31bea15c654b02c8d0604f,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080410008-13_lfp-2,M,o080410008-13,2008-04-10,2,120,120,5000,4500,4500,5000,66,1809ab9e577dbf4b662e8b7cad4ec7eaff3a550f47405ea9aa53ee2ac8ed0ab6,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080410017-23_lfp-1,M,o080410017-23,2008-04-10,1,98,98,5000,4500,4500,5000,77,33ef0b37c5f134f5927f303e77fc36fb9b003e8b8e54c2cbadc1024a4df156be,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080410017-23_lfp-2,M,o080410017-23,2008-04-10,2,98,98,5000,4500,4500,5000,76,45c19625897c56b41883ec2faa36e966205c3a441b24501891f7e044f8a0bf18,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080411001-6_lfp-2,M,o080411001-6,2008-04-11,2,97,97,5000,4500,4500,5000,84,371709dc16b33717a8467a3f13192257c49956d37e1f08d1abb81b227d84523e,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080411001-6_lfp-4,M,o080411001-6,2008-04-11,4,97,97,5000,4500,4500,5000,83,1bff81e47e45b783c71ecdffdcea756716689c0bbc2e11ef5ff451757f93e797,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080411007-14_lfp-1,M,o080411007-14,2008-04-11,1,86,86,5000,4500,4500,5000,88,449bf10461a534acb4195f4bd57f46fd349fc63efd4e4161ce624d9bc18fa6a7,0,0,insufficient_short_trials,False,,,,,
monkeyM_session-o080415001-7_lfp-1,M,o080415001-7,2008-04-15,1,89,89,5000,4500,4500,5000,97,cdb15adf83bf45f52c46bdd2d87fa109142044ceade1ddd0f6b85073ea84a096,0,0,insufficient_short_trials,False,,,,,
