monkey,method,mean,sd,n_lfps,n_days,n_trials
M,all_bands,0.18577995956459628,0.04545932219682443,110,47,12786
M,ktorus,0.18010577927172491,0.04203391930683536,110,47,12786
M,ktorus_all_bands,0.19449328574287442,0.047591615603522,110,47,12786
M,ktorus_power_frequency,0.18988549590222156,0.04723702442247816,110,47,12786
M,peak_frequency,0.15341343902089805,0.03766891797428732,110,47,12786
M,peak_power,0.17836346576654788,0.04142013962728055,110,47,12786
M,power_frequency,0.18658618499511442,0.05498560458926281,110,47,12786
T,all_bands,0.19786150958446652,0.041111725955351244,93,30,12216
T,ktorus,0.18754440847481066,0.040843626508426226,93,30,12216
T,ktorus_all_bands,0.2071096813929319,0.04321586861514447,93,30,12216
T,ktorus_power_frequency,0.22210599733857844,0.04482246257427406,93,30,12216
T,peak_frequency,0.17612157622657668,0.040234328069568163,93,30,12216
T,peak_power,0.1693698012529,0.03341503585159248,93,30,12216
T,power_frequency,0.22046152615024275,0.05004697182910302,93,30,12216
