monkey,recording,direction,original_trial,raw_trial_index,dimension,tau_ms,training_variance_retained,R1,R2,r,fit_mse_outside
M,monkeyM_session-o080925002-6_lfp-7,1,88,12,5,17,0.6449022564669598,0.5975964447103008,0.5281822099005892,0.7836465796114941,0.19026302088201152
M,monkeyM_session-o080925002-6_lfp-7,2,13,35,5,17,0.6449022564669598,1.288105899424694,0.8901584337277694,0.8155070283169248,0.18198060712781516
M,monkeyM_session-o080925002-6_lfp-7,3,141,41,5,17,0.6449022564669598,1.8086780587300832,1.272345839392935,0.8168169139177117,0.25693013238361306
M,monkeyM_session-o080925002-6_lfp-7,4,14,67,5,17,0.6449022564669598,1.2522319485684776,1.009876338567732,0.8008115330416778,0.2204753009487608
M,monkeyM_session-o080925002-6_lfp-7,5,154,84,5,17,0.6449022564669598,1.2497650154164084,0.9492733434245844,0.8633334681551754,0.21899147340899328
M,monkeyM_session-o080925002-6_lfp-7,6,48,105,5,17,0.6449022564669598,1.5932209016567742,1.4457117091656808,1.0134412370551131,0.23170551129033376
T,monkeyT_session-y070215011-16_lfp-1,1,96,14,5,14,0.7353599265983964,1.5676436430931902,1.4534418595521825,0.8930045709764167,0.3616825628137539
T,monkeyT_session-y070215011-16_lfp-1,2,36,30,5,14,0.7353599265983964,1.6273779485049196,1.3646670733645572,0.6650464186728778,0.18561750093131613
T,monkeyT_session-y070215011-16_lfp-1,3,53,43,5,14,0.7353599265983964,2.021917597337871,1.5344656139605308,0.9752659847262619,0.4895539867126046
T,monkeyT_session-y070215011-16_lfp-1,4,12,67,5,14,0.7353599265983964,0.9978570053120571,0.9280386811408714,0.7201018236209674,0.14801659961322494
T,monkeyT_session-y070215011-16_lfp-1,5,162,100,5,14,0.7353599265983964,1.2356357155860156,0.8568016652573939,0.8137574213506685,0.18371560924310215
T,monkeyT_session-y070215011-16_lfp-1,6,92,105,5,14,0.7353599265983964,1.1785284155142841,0.9210111397203821,0.9662240806742878,0.2848122416394081
