monkey,recording,curve,x,y
M,monkeyM_session-o080925002-6_lfp-7,ami,1.0,1.9250790242203748
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,1.0,1.6715159699200595
M,monkeyM_session-o080925002-6_lfp-7,ami,2.0,1.2871104691640354
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,2.0,1.349679488901033
M,monkeyM_session-o080925002-6_lfp-7,ami,3.0,0.9181054397953439
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,3.0,0.9810455474607926
M,monkeyM_session-o080925002-6_lfp-7,ami,4.0,0.6708551308861948
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,4.0,0.708676208834375
M,monkeyM_session-o080925002-6_lfp-7,ami,5.0,0.49467238924899243
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,5.0,0.5188287289411617
M,monkeyM_session-o080925002-6_lfp-7,ami,6.0,0.3647926476472827
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,6.0,0.38176534083424685
M,monkeyM_session-o080925002-6_lfp-7,ami,7.0,0.2679148942919846
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,7.0,0.2807449255789978
M,monkeyM_session-o080925002-6_lfp-7,ami,8.0,0.19614361691458926
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,8.0,0.20636758336238964
M,monkeyM_session-o080925002-6_lfp-7,ami,9.0,0.14520779841033812
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,9.0,0.15223429147084916
M,monkeyM_session-o080925002-6_lfp-7,ami,10.0,0.10757742422491756
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,10.0,0.11318243120387908
M,monkeyM_session-o080925002-6_lfp-7,ami,11.0,0.081002129474433
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,11.0,0.08564383895882396
M,monkeyM_session-o080925002-6_lfp-7,ami,12.0,0.06418295658430628
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,12.0,0.06693375830602792
M,monkeyM_session-o080925002-6_lfp-7,ami,13.0,0.05217695166243641
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,13.0,0.05458141499106341
M,monkeyM_session-o080925002-6_lfp-7,ami,14.0,0.04504717382534429
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,14.0,0.04702149550980392
M,monkeyM_session-o080925002-6_lfp-7,ami,15.0,0.04226335957801303
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,15.0,0.04302200826566133
M,monkeyM_session-o080925002-6_lfp-7,ami,16.0,0.040213256716861726
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,16.0,0.041360906533625785
M,monkeyM_session-o080925002-6_lfp-7,ami,17.0,0.04127969161726668
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,17.0,0.04115234806943825
M,monkeyM_session-o080925002-6_lfp-7,ami,18.0,0.041534155237627934
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,18.0,0.04126960618359958
M,monkeyM_session-o080925002-6_lfp-7,ami,19.0,0.041347947871048535
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,19.0,0.04096666523183427
M,monkeyM_session-o080925002-6_lfp-7,ami,20.0,0.04001240375168026
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,20.0,0.040327028253612854
M,monkeyM_session-o080925002-6_lfp-7,ami,21.0,0.03976165240719635
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,21.0,0.039820067015976145
M,monkeyM_session-o080925002-6_lfp-7,ami,22.0,0.03938386661058704
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,22.0,0.03964120683480955
M,monkeyM_session-o080925002-6_lfp-7,ami,23.0,0.0395992407103664
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,23.0,0.03979518470996628
M,monkeyM_session-o080925002-6_lfp-7,ami,24.0,0.04074267863484112
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,24.0,0.03990125521252913
M,monkeyM_session-o080925002-6_lfp-7,ami,25.0,0.038788848335055685
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,25.0,0.03979256358620456
M,monkeyM_session-o080925002-6_lfp-7,ami,26.0,0.04056425715428169
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,26.0,0.03987022685134822
M,monkeyM_session-o080925002-6_lfp-7,ami,27.0,0.039766095771644416
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,27.0,0.03977132316409199
M,monkeyM_session-o080925002-6_lfp-7,ami,28.0,0.03923034371260213
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,28.0,0.039554476944770184
M,monkeyM_session-o080925002-6_lfp-7,ami,29.0,0.039575704123269974
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,29.0,0.03965268145330775
M,monkeyM_session-o080925002-6_lfp-7,ami,30.0,0.03983523865079919
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,30.0,0.04009648683525392
M,monkeyM_session-o080925002-6_lfp-7,ami,31.0,0.040975073284026414
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,31.0,0.04067270783914033
M,monkeyM_session-o080925002-6_lfp-7,ami,32.0,0.041267048478334026
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,32.0,0.04100138357417732
M,monkeyM_session-o080925002-6_lfp-7,ami,33.0,0.04062281626526126
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,33.0,0.041172659760751844
M,monkeyM_session-o080925002-6_lfp-7,ami,34.0,0.04217446242963594
M,monkeyM_session-o080925002-6_lfp-7,ami_smoothed,34.0,0.04134605233788603
