recording,monkey,session,day,lfp,raw_trials,valid_trials,go_sample_zero_based,old_converted_go_sample,start_sample,end_sample_exclusive,source_pair_index,source_sha256,status,fit_seconds,minimum_short,minimum_long,main_included,matched_included,fit_error,short_successful_fit_fraction,short_trials,matched_short_successful_fit_fraction,matched_short_trials,matched_long_successful_fit_fraction,matched_long_trials
monkeyM_session-o080416002-18_lfp-1,M,o080416002-18,2008-04-16,1,289,289,5000,4500,4500,5000,104,17d599f109dc71c1668cbd0a602a89c724eb10b6b577719d6b3842591eab2de7,eligible,102.5674628400011,24,24,True,True,0.2099960882688525,0.9916666666666668,144.0,0.9916666666666668,144.0,0.9916666666666668,144.0
monkeyM_session-o080416002-18_lfp-2,M,o080416002-18,2008-04-16,2,289,289,5000,4500,4500,5000,103,0fdf575154924fd5ff3cd73c1e22f09dffcf4c441582862e1ee796aef64e1f40,eligible,84.81004064297304,24,24,True,True,0.1883203084031528,0.9972222222222222,144.0,0.9972222222222222,144.0,0.9958333333333332,144.0
monkeyM_session-o080417003-14_lfp-1,M,o080417003-14,2008-04-17,1,259,259,5000,4500,4500,5000,111,3cf959128d0bfdf3d734aa5e438d310b3d352fe2821124db2eb7a90ed9a6e287,eligible,198.2164317669813,21,20,True,True,0.2294259443927623,0.9857142857142858,126.0,0.985,120.0,0.985,120.0
monkeyM_session-o080417003-14_lfp-4,M,o080417003-14,2008-04-17,4,259,259,5000,4500,4500,5000,109,aba633e83766ddb3ec6b8d9a9e1784882b571c799a2f767bd4e199c3b8b2484f,eligible,100.65466367598856,21,20,True,True,0.1907758954170928,1.0,126.0,0.9983333333333332,120.0,0.9983333333333332,120.0
monkeyM_session-o080422011-21_lfp-2,M,o080422011-21,2008-04-22,2,263,263,5000,4500,4500,5000,113,50d248f499fc090f58db31dd5f26b8a54f0d5d22264f71d759eb18d1edac850d,eligible,82.55086311302148,20,20,True,True,0.1417475507838053,0.9933333333333332,120.0,0.9933333333333332,120.0,0.985,120.0
monkeyM_session-o080423001-5_lfp-6,M,o080423001-5,2008-04-23,6,214,214,5000,4500,4500,5000,116,cedec9b2dfcde7cfe55628895cf0d0241457a44e7ff935443e3fd1e432dd0d7b,eligible,116.69939679501113,16,15,True,True,0.200898646357205,0.9958333333333332,96.0,0.9888888888888888,90.0,0.9866666666666668,90.0
monkeyM_session-o080423001-5_lfp-8,M,o080423001-5,2008-04-23,8,214,214,5000,4500,4500,5000,114,2bf26754ea66760c1b4b7ba555e5517b1a9c517d22e31667fd9ca1d2f84f7f94,eligible,105.62110705499072,16,15,True,True,0.1732532341392136,0.9895833333333334,96.0,0.9888888888888888,90.0,0.9955555555555556,90.0
monkeyM_session-o080424002-11_lfp-1,M,o080424002-11,2008-04-24,1,241,241,5000,4500,4500,5000,117,fdd2fd436253df56c32e4f26db54d9d777536d9baddbe732d6952a269545428c,eligible,132.40000586898532,20,20,True,True,0.1338435666937104,0.985,120.0,0.985,120.0,0.99,120.0
monkeyM_session-o080424012-22_lfp-1,M,o080424012-22,2008-04-24,1,284,284,5000,4500,4500,5000,120,e8b6c98ac6a37c3a57de4151b73bc3aff308c2520406f69ece6653b5d2e52712,eligible,136.3333522109897,22,23,True,True,0.1598760146391981,0.9787878787878788,132.0,0.9787878787878788,132.0,0.9924242424242424,132.0
monkeyM_session-o080425003-12_lfp-1,M,o080425003-12,2008-04-25,1,241,241,5000,4500,4500,5000,121,d4fc6c434f918422bc59c110d18f56a9179720c2689df4eaac7f8b571430a59f,eligible,112.26717120601096,20,20,True,True,0.1947598621878999,1.0,120.0,1.0,120.0,0.9916666666666668,120.0
monkeyM_session-o080429002-7_lfp-2,M,o080429002-7,2008-04-29,2,250,250,5000,4500,4500,5000,135,b0e7ae3e90a03bbba9144e97e2c4c54b3511bd00aa994c194ea032dd9081e1a7,eligible,129.30701544199837,20,20,True,True,0.2354935281918001,0.9933333333333332,120.0,0.9933333333333332,120.0,0.9833333333333332,120.0
monkeyM_session-o080430002-12_lfp-1,M,o080430002-12,2008-04-30,1,250,250,5000,4500,4500,5000,144,8693ece17143fa5a088e3f791346a22aef168a29b62464fb0a17e1f6562f781d,eligible,135.94768371299142,20,20,True,True,0.2164490374195564,0.99,120.0,0.99,120.0,0.9883333333333332,120.0
monkeyM_session-o080430013-23_lfp-1,M,o080430013-23,2008-04-30,1,254,254,5000,4500,4500,5000,150,5b413c1601036250c8eb692c71c92b42422d1af6afacb87f14d92955efcf2d6a,eligible,106.970685177017,20,20,True,True,0.2324869183531779,0.9966666666666668,120.0,0.9966666666666668,120.0,0.9983333333333332,120.0
monkeyM_session-o080430013-23_lfp-2,M,o080430013-23,2008-04-30,2,254,254,5000,4500,4500,5000,149,edb94acbe45c58629803751eca2f05f213b513a9dcd5c8a0be324977a5a60770,eligible,113.78575971897226,20,20,True,True,0.2129522073960246,0.9933333333333332,120.0,0.9933333333333332,120.0,0.9933333333333332,120.0
monkeyM_session-o080506002-22_lfp-1,M,o080506002-22,2008-05-06,1,410,410,5000,4500,4500,5000,168,f83fa2a94b1ddb2e6569e95b088d253765c9653b823f4b506a7f409bd2e8792d,eligible,34.12370258796727,33,29,True,True,0.1766378347406207,1.0,198.0,1.0,174.0,0.9942528735632185,174.0
monkeyM_session-o080506002-22_lfp-2,M,o080506002-22,2008-05-06,2,410,410,5000,4500,4500,5000,166,7a55eff8667998cefe4610be131bcb117bc7dad9070a6869bd26f82cdaae5441,eligible,41.52631358098006,33,29,True,True,0.249970424601934,0.9949494949494948,198.0,0.9942528735632185,174.0,0.9885057471264368,174.0
monkeyM_session-o080507002-11_lfp-1,M,o080507002-11,2008-05-07,1,242,242,5000,4500,4500,5000,172,d5ef27e60ad3420085d11ebd5185165ce931c81ade9aa700fd2bb23aff30f8ca,eligible,71.99556981300702,20,20,True,True,0.1782968099733525,0.9983333333333332,120.0,0.9983333333333332,120.0,0.9966666666666668,120.0
monkeyM_session-o080507012-23_lfp-1,M,o080507012-23,2008-05-07,1,233,233,5000,4500,4500,5000,177,34c7aef75ab1ef700202478cef8703d1d63631171cd08fc1b28b7293f6f69b02,eligible,123.02521528000943,18,17,True,True,0.1644584481511261,0.9907407407407408,108.0,0.992156862745098,102.0,0.996078431372549,102.0
monkeyM_session-o080507012-23_lfp-2,M,o080507012-23,2008-05-07,2,233,233,5000,4500,4500,5000,176,363ab54d7895bfe3160176dc07be3c4f44b3f99b478431ba749c12ec97b0d7fa,eligible,180.00680819503032,18,17,True,True,0.2065412277103575,0.9888888888888888,108.0,0.996078431372549,102.0,0.9862745098039216,102.0
monkeyM_session-o080509001-9_lfp-1,M,o080509001-9,2008-05-09,1,227,227,5000,4500,4500,5000,179,ec7ac649acbaab612b2cbc1119036e07a5708c5bfdd613be34d037074037a798,eligible,89.46616494795308,16,18,True,True,0.2218868636992771,0.99375,96.0,0.99375,96.0,0.9958333333333332,96.0
monkeyM_session-o080509010-19_lfp-1,M,o080509010-19,2008-05-09,1,232,232,5000,4500,4500,5000,181,292d08b7aafeff1b738f4df3742117b22fa58e013cfac58c8590a63ac5334bbe,eligible,141.97603769396665,19,15,True,True,0.2128185106593503,0.9912280701754386,114.0,0.9977777777777778,90.0,0.9955555555555556,90.0
monkeyM_session-o080513001-9_lfp-1,M,o080513001-9,2008-05-13,1,224,224,5000,4500,4500,5000,186,517db8dbd5c697aa47c64788291cec2effc3d11f02fa92e09901c8dd0fe14f9f,eligible,73.12769176100846,17,17,True,True,0.240043657363548,0.9901960784313726,102.0,0.9901960784313726,102.0,0.9901960784313726,102.0
monkeyM_session-o080513001-9_lfp-2,M,o080513001-9,2008-05-13,2,224,224,5000,4500,4500,5000,185,387fa871d39c248c20d9281b3b4d409e9dbee2fe1e1d7a8e6629643062191804,eligible,76.63336801697733,17,17,True,True,0.1749719110179313,0.9862745098039216,102.0,0.9862745098039216,102.0,0.9882352941176472,102.0
monkeyM_session-o080513010-18_lfp-1,M,o080513010-18,2008-05-13,1,225,225,5000,4500,4500,5000,190,eb57cc81e73b655df88b3c17840fcb47e6bcfd50dade8d87d5f66804077714cd,eligible,148.09095745702507,18,15,True,True,0.2265140563944535,0.9925925925925926,108.0,0.9911111111111112,90.0,0.9933333333333332,90.0
monkeyM_session-o080513010-18_lfp-2,M,o080513010-18,2008-05-13,2,225,225,5000,4500,4500,5000,189,c1be5348acd1b4ee1c20bfd04ab00ab86e3f7118c80e621a4d250000900f2177,eligible,40.90877116302727,18,15,True,True,0.1452670389757449,0.9814814814814816,108.0,1.0,90.0,0.9777777777777776,90.0
monkeyM_session-o080515002-11_lfp-1,M,o080515002-11,2008-05-15,1,245,245,5000,4500,4500,5000,199,973b61a2d8c7fad8a6a696407e31cc67ff02f15486c88c18fcdf142e56bd0fae,eligible,66.02646097703837,20,20,True,True,0.1862461402053833,1.0,120.0,1.0,120.0,0.9883333333333332,120.0
monkeyM_session-o080515002-11_lfp-2,M,o080515002-11,2008-05-15,2,245,245,5000,4500,4500,5000,197,e03ed99a1135fa5a16579ef1f033270e3fa82022a9445ca0b8cec41e5658c97f,eligible,28.75836335698841,20,20,True,True,0.1751485332168549,1.0,120.0,1.0,120.0,1.0,120.0
monkeyM_session-o080515012-24_lfp-1,M,o080515012-24,2008-05-15,1,292,292,5000,4500,4500,5000,203,446ecd55455222006f9f979ee714db60333214ab1705375723e6da35bdbc30ff,eligible,41.08883858699119,21,23,True,True,0.1773360604908441,1.0,126.0,1.0,126.0,0.9968253968253968,126.0
monkeyM_session-o080515012-24_lfp-2,M,o080515012-24,2008-05-15,2,292,292,5000,4500,4500,5000,202,3d7113ec969ba4b4129d8152b7929421f03baf241249c9ae7e4ee3258750a166,eligible,62.552239369018935,21,23,True,True,0.1874958110359407,1.0,126.0,1.0,126.0,1.0,126.0
monkeyM_session-o080522005-11_lfp-1,M,o080522005-11,2008-05-22,1,236,236,5000,4500,4500,5000,239,ce1c5552193f8777ad57bc52dcb763b2776ddfdeb78963507d3c692a7f948625,eligible,68.77321017399663,18,19,True,True,0.2020889733217122,0.998148148148148,108.0,0.998148148148148,108.0,0.998148148148148,108.0
monkeyM_session-o080522005-11_lfp-2,M,o080522005-11,2008-05-22,2,236,236,5000,4500,4500,5000,238,2de4ccee319414854d571f0fa96d153f18a48395f81b90b9bb55825af7d833ec,eligible,75.97932291805046,18,19,True,True,0.2060360276637956,0.9907407407407408,108.0,0.9907407407407408,108.0,0.9944444444444444,108.0
monkeyM_session-o080522012-21_lfp-1,M,o080522012-21,2008-05-22,1,282,282,5000,4500,4500,5000,248,44ffc67092ed881141968058164840fe66c1c537b1bfa30fafe967cad480acd6,eligible,100.437136670982,24,22,True,True,0.2093733522839055,1.0,144.0,0.996969696969697,132.0,0.990909090909091,132.0
monkeyM_session-o080522012-21_lfp-2,M,o080522012-21,2008-05-22,2,282,282,5000,4500,4500,5000,246,0b119eb40c43f7609f2d99362d8ee67118f017c52d8f6ec93e950eb00b12adb6,eligible,259.57274517801125,24,22,True,True,0.2160101505195686,0.9875,144.0,0.9924242424242424,132.0,0.990909090909091,132.0
monkeyM_session-o080523010-18_lfp-4,M,o080523010-18,2008-05-23,4,187,187,5000,4500,4500,5000,255,9d924d4b64fc0c8e60ca90ca7524ce86ebd541421464c32450b1fbcd90bc024b,eligible,8.356258222949691,15,12,True,False,0.1705732044030974,0.9888888888888888,90.0,,,,
monkeyM_session-o080523010-18_lfp-8,M,o080523010-18,2008-05-23,8,187,187,5000,4500,4500,5000,258,e3a18bfdd5c4e4a1963cf381b0a0d05f3d185cb4caa016bf17e035476aa98761,eligible,46.46081277000485,15,12,True,False,0.2070418452138908,0.9911111111111112,90.0,,,,
monkeyM_session-o080527006-16_lfp-1,M,o080527006-16,2008-05-27,1,290,290,5000,4500,4500,5000,269,46dfeb23fa9b96b457dc32153cfb0154571312ddfb0f42b76f46cee03eabc483,eligible,67.89561111299554,24,24,True,True,0.2098423152768027,0.9930555555555556,144.0,0.9930555555555556,144.0,0.9972222222222222,144.0
monkeyM_session-o080527006-16_lfp-2,M,o080527006-16,2008-05-27,2,290,290,5000,4500,4500,5000,265,f0ac326bc70bd923619ecde6da831598ad59ed121f36d6029a3fb779f97eec9c,eligible,103.4354774960084,24,24,True,True,0.2168458674208425,1.0,144.0,1.0,144.0,0.9986111111111112,144.0
monkeyM_session-o080528006-15_lfp-2,M,o080528006-15,2008-05-28,2,242,242,5000,4500,4500,5000,285,c591c2c19f4a931cd717a320da44a4ac1967a30289e5088f65e8368f5577ab54,eligible,167.7928908690228,20,16,True,True,0.1607974450678704,0.9866666666666668,120.0,0.9916666666666668,96.0,0.9958333333333332,96.0
monkeyM_session-o080528006-15_lfp-4,M,o080528006-15,2008-05-28,4,242,242,5000,4500,4500,5000,281,c7c753d55350bc711f7637215decd435edc184af961fc69290946f4f7054ccc9,eligible,92.40996152098523,20,16,True,True,0.1793990150896744,1.0,120.0,1.0,96.0,0.9895833333333334,96.0
monkeyM_session-o080528016-25_lfp-2,M,o080528016-25,2008-05-28,2,192,192,5000,4500,4500,5000,296,f8abad9396b27bc650e612ad3829a5c9dc4be5f65a1fb352544de0a8b9d83a01,eligible,53.80252269800985,15,12,True,False,0.1289061090363318,0.9888888888888888,90.0,,,,
