recording,raw_trial_index,direction,fold,R1
monkeyM_session-o080925002-6_lfp-7,12,1,0,0.5975964447103008
monkeyM_session-o080925002-6_lfp-7,3,1,3,0.98132451887426
monkeyM_session-o080925002-6_lfp-7,10,1,4,0.6472358670331321
monkeyM_session-o080925002-6_lfp-7,1,1,1,1.2205550991743563
monkeyM_session-o080925002-6_lfp-7,16,1,0,1.3456145866389555
monkeyM_session-o080925002-6_lfp-7,19,1,4,1.2628589366086571
monkeyM_session-o080925002-6_lfp-7,4,1,2,1.1618923766361673
monkeyM_session-o080925002-6_lfp-7,6,1,3,0.8886203030788381
monkeyM_session-o080925002-6_lfp-7,11,1,3,1.3257153570081142
monkeyM_session-o080925002-6_lfp-7,7,1,0,1.4555633150532097
monkeyM_session-o080925002-6_lfp-7,13,1,2,0.9918766098769408
monkeyM_session-o080925002-6_lfp-7,17,1,1,1.191660620693803
monkeyM_session-o080925002-6_lfp-7,2,1,4,1.61636128866884
monkeyM_session-o080925002-6_lfp-7,14,1,2,1.191623500343877
monkeyM_session-o080925002-6_lfp-7,9,1,1,1.524540687217408
monkeyM_session-o080925002-6_lfp-7,15,1,0,0.5956727481222029
monkeyM_session-o080925002-6_lfp-7,32,2,4,1.058580539283043
monkeyM_session-o080925002-6_lfp-7,26,2,4,1.5892223262607608
monkeyM_session-o080925002-6_lfp-7,34,2,2,1.2765420185987226
monkeyM_session-o080925002-6_lfp-7,35,2,0,1.288105899424694
monkeyM_session-o080925002-6_lfp-7,38,2,1,1.01369909235488
monkeyM_session-o080925002-6_lfp-7,24,2,2,0.5232913256764563
monkeyM_session-o080925002-6_lfp-7,23,2,1,0.9844470594245333
monkeyM_session-o080925002-6_lfp-7,29,2,0,0.9328359729835088
monkeyM_session-o080925002-6_lfp-7,30,2,1,1.140166319284473
monkeyM_session-o080925002-6_lfp-7,25,2,0,1.3695163407876574
monkeyM_session-o080925002-6_lfp-7,37,2,3,0.758973861548301
monkeyM_session-o080925002-6_lfp-7,31,2,3,1.1001915753084597
monkeyM_session-o080925002-6_lfp-7,33,2,4,1.03874004684508
monkeyM_session-o080925002-6_lfp-7,39,2,2,1.515122109249321
monkeyM_session-o080925002-6_lfp-7,22,2,1,1.3050998698603606
monkeyM_session-o080925002-6_lfp-7,36,2,3,1.184096889523738
monkeyM_session-o080925002-6_lfp-7,47,3,1,1.4425583816574454
monkeyM_session-o080925002-6_lfp-7,43,3,0,0.7928441668820576
monkeyM_session-o080925002-6_lfp-7,51,3,4,0.8607133171188656
monkeyM_session-o080925002-6_lfp-7,41,3,0,1.8086780587300832
monkeyM_session-o080925002-6_lfp-7,42,3,3,1.3648387900759194
monkeyM_session-o080925002-6_lfp-7,50,3,2,1.4293414633857182
monkeyM_session-o080925002-6_lfp-7,45,3,3,1.4586403318279944
monkeyM_session-o080925002-6_lfp-7,48,3,2,0.9947104425990454
monkeyM_session-o080925002-6_lfp-7,55,3,1,1.3027714983891765
monkeyM_session-o080925002-6_lfp-7,44,3,2,1.132464934841478
monkeyM_session-o080925002-6_lfp-7,40,3,0,0.8821566210744971
monkeyM_session-o080925002-6_lfp-7,54,3,4,0.681621808697614
monkeyM_session-o080925002-6_lfp-7,52,3,3,0.743644036915572
monkeyM_session-o080925002-6_lfp-7,49,3,2,0.9852892744698036
monkeyM_session-o080925002-6_lfp-7,46,3,1,0.9781137127391192
monkeyM_session-o080925002-6_lfp-7,53,3,4,1.3576952761137395
monkeyM_session-o080925002-6_lfp-7,70,4,3,0.9756165629088406
monkeyM_session-o080925002-6_lfp-7,60,4,3,1.049157672362724
monkeyM_session-o080925002-6_lfp-7,67,4,0,1.2522319485684776
monkeyM_session-o080925002-6_lfp-7,69,4,4,1.4327685519455682
monkeyM_session-o080925002-6_lfp-7,66,4,0,0.719704073917591
monkeyM_session-o080925002-6_lfp-7,56,4,4,0.8748033375082346
monkeyM_session-o080925002-6_lfp-7,64,4,2,1.2631893898586086
monkeyM_session-o080925002-6_lfp-7,58,4,1,1.4046251388066788
monkeyM_session-o080925002-6_lfp-7,61,4,3,1.1414848796777948
monkeyM_session-o080925002-6_lfp-7,68,4,1,2.023570726878467
monkeyM_session-o080925002-6_lfp-7,63,4,2,1.28460088745544
monkeyM_session-o080925002-6_lfp-7,62,4,1,1.209250536661163
monkeyM_session-o080925002-6_lfp-7,71,4,4,1.2799769989183412
monkeyM_session-o080925002-6_lfp-7,65,4,0,1.028994503165589
monkeyM_session-o080925002-6_lfp-7,59,4,3,0.8660382481159624
monkeyM_session-o080925002-6_lfp-7,57,4,2,1.0723619817618453
monkeyM_session-o080925002-6_lfp-7,75,5,3,0.9344078008116738
monkeyM_session-o080925002-6_lfp-7,86,5,3,1.2634661551259003
monkeyM_session-o080925002-6_lfp-7,85,5,4,2.16480989864572
monkeyM_session-o080925002-6_lfp-7,78,5,1,0.9383683868231686
monkeyM_session-o080925002-6_lfp-7,90,5,1,0.6232263187403144
monkeyM_session-o080925002-6_lfp-7,80,5,4,0.7874844859905065
monkeyM_session-o080925002-6_lfp-7,81,5,1,1.056140279565163
monkeyM_session-o080925002-6_lfp-7,88,5,2,0.8541028130906914
monkeyM_session-o080925002-6_lfp-7,76,5,2,0.8360968673336795
monkeyM_session-o080925002-6_lfp-7,73,5,3,0.8908776681798187
monkeyM_session-o080925002-6_lfp-7,82,5,2,1.3286163426736488
monkeyM_session-o080925002-6_lfp-7,77,5,0,0.7870088902350343
monkeyM_session-o080925002-6_lfp-7,87,5,4,2.0062921014074067
monkeyM_session-o080925002-6_lfp-7,72,5,4,1.1197315712949694
monkeyM_session-o080925002-6_lfp-7,83,5,0,1.0153285916526655
monkeyM_session-o080925002-6_lfp-7,84,5,0,1.2497650154164084
monkeyM_session-o080925002-6_lfp-7,106,6,0,1.5017220547331755
monkeyM_session-o080925002-6_lfp-7,110,6,1,0.8957069115442052
monkeyM_session-o080925002-6_lfp-7,109,6,3,1.2320833934916402
monkeyM_session-o080925002-6_lfp-7,97,6,0,1.6900514807402065
monkeyM_session-o080925002-6_lfp-7,99,6,1,0.8699949306610316
monkeyM_session-o080925002-6_lfp-7,108,6,2,1.2525986820750394
monkeyM_session-o080925002-6_lfp-7,107,6,3,1.2287132188498744
monkeyM_session-o080925002-6_lfp-7,103,6,1,1.1741371077633014
monkeyM_session-o080925002-6_lfp-7,105,6,0,1.5932209016567742
monkeyM_session-o080925002-6_lfp-7,98,6,0,0.8230778081353329
monkeyM_session-o080925002-6_lfp-7,96,6,3,1.13010457698692
monkeyM_session-o080925002-6_lfp-7,92,6,2,1.1872529011564623
monkeyM_session-o080925002-6_lfp-7,100,6,4,1.401305311514659
monkeyM_session-o080925002-6_lfp-7,95,6,4,1.050380073514233
monkeyM_session-o080925002-6_lfp-7,101,6,2,1.51086203479419
monkeyM_session-o080925002-6_lfp-7,104,6,4,0.9143546849018018
