recording,raw_trial_index,direction,fold,r
monkeyM_session-o080925002-6_lfp-7,12,1,0,0.7836465796114941
monkeyM_session-o080925002-6_lfp-7,3,1,3,0.7307152397328543
monkeyM_session-o080925002-6_lfp-7,10,1,4,0.7243414621555478
monkeyM_session-o080925002-6_lfp-7,1,1,1,0.8227624754440144
monkeyM_session-o080925002-6_lfp-7,16,1,0,0.5380768284489461
monkeyM_session-o080925002-6_lfp-7,19,1,4,1.01224946968295
monkeyM_session-o080925002-6_lfp-7,4,1,2,0.927876387789088
monkeyM_session-o080925002-6_lfp-7,6,1,3,0.6085339442319475
monkeyM_session-o080925002-6_lfp-7,11,1,3,0.7052407064945869
monkeyM_session-o080925002-6_lfp-7,7,1,0,0.7799702460381771
monkeyM_session-o080925002-6_lfp-7,13,1,2,0.9350406295755526
monkeyM_session-o080925002-6_lfp-7,17,1,1,0.6796003638826559
monkeyM_session-o080925002-6_lfp-7,2,1,4,0.7872575706662723
monkeyM_session-o080925002-6_lfp-7,14,1,2,0.8755312156382354
monkeyM_session-o080925002-6_lfp-7,9,1,1,0.8519146486696942
monkeyM_session-o080925002-6_lfp-7,15,1,0,0.7212995463314201
monkeyM_session-o080925002-6_lfp-7,32,2,4,0.8252465694486301
monkeyM_session-o080925002-6_lfp-7,26,2,4,0.6337047093500499
monkeyM_session-o080925002-6_lfp-7,34,2,2,0.673089782292427
monkeyM_session-o080925002-6_lfp-7,35,2,0,0.8155070283169248
monkeyM_session-o080925002-6_lfp-7,38,2,1,0.7917431027108955
monkeyM_session-o080925002-6_lfp-7,24,2,2,0.7130661643775139
monkeyM_session-o080925002-6_lfp-7,23,2,1,0.6992728992130401
monkeyM_session-o080925002-6_lfp-7,29,2,0,0.7768617601385284
monkeyM_session-o080925002-6_lfp-7,30,2,1,0.6101921180088599
monkeyM_session-o080925002-6_lfp-7,25,2,0,0.8698238554264089
monkeyM_session-o080925002-6_lfp-7,37,2,3,0.7811597499026084
monkeyM_session-o080925002-6_lfp-7,31,2,3,0.964339238250571
monkeyM_session-o080925002-6_lfp-7,33,2,4,0.8421870515849941
monkeyM_session-o080925002-6_lfp-7,39,2,2,0.7249582742351414
monkeyM_session-o080925002-6_lfp-7,22,2,1,0.872450655463545
monkeyM_session-o080925002-6_lfp-7,36,2,3,0.6272233989527651
monkeyM_session-o080925002-6_lfp-7,47,3,1,1.042155083055995
monkeyM_session-o080925002-6_lfp-7,43,3,0,1.004373990605341
monkeyM_session-o080925002-6_lfp-7,51,3,4,0.7654969186358223
monkeyM_session-o080925002-6_lfp-7,41,3,0,0.8168169139177117
monkeyM_session-o080925002-6_lfp-7,42,3,3,0.9057485004761512
monkeyM_session-o080925002-6_lfp-7,50,3,2,0.896724969053075
monkeyM_session-o080925002-6_lfp-7,45,3,3,0.8619571834032144
monkeyM_session-o080925002-6_lfp-7,48,3,2,0.8718441539128561
monkeyM_session-o080925002-6_lfp-7,55,3,1,0.9430257974396
monkeyM_session-o080925002-6_lfp-7,44,3,2,0.359120813412583
monkeyM_session-o080925002-6_lfp-7,40,3,0,0.7169278676191008
monkeyM_session-o080925002-6_lfp-7,54,3,4,0.7852511406371115
monkeyM_session-o080925002-6_lfp-7,52,3,3,0.6505282161956069
monkeyM_session-o080925002-6_lfp-7,49,3,2,0.9063537041399276
monkeyM_session-o080925002-6_lfp-7,46,3,1,0.7494516818878201
monkeyM_session-o080925002-6_lfp-7,53,3,4,0.8057190630197464
monkeyM_session-o080925002-6_lfp-7,70,4,3,0.7822755752546614
monkeyM_session-o080925002-6_lfp-7,60,4,3,0.6502760798898755
monkeyM_session-o080925002-6_lfp-7,67,4,0,0.8008115330416778
monkeyM_session-o080925002-6_lfp-7,69,4,4,0.8188327322702097
monkeyM_session-o080925002-6_lfp-7,66,4,0,0.7510243643304716
monkeyM_session-o080925002-6_lfp-7,56,4,4,0.4114268156989952
monkeyM_session-o080925002-6_lfp-7,64,4,2,0.7131430920617546
