recording,raw_trial_index,direction,fold,R2
monkeyT_session-y070215011-16_lfp-1,3,1,2,1.498137545421122
monkeyT_session-y070215011-16_lfp-1,19,1,0,0.8498124528971919
monkeyT_session-y070215011-16_lfp-1,8,1,1,1.0619339722731804
monkeyT_session-y070215011-16_lfp-1,13,1,0,1.5033218607171743
monkeyT_session-y070215011-16_lfp-1,9,1,1,1.1423383154418854
monkeyT_session-y070215011-16_lfp-1,18,1,2,0.9204104340631548
monkeyT_session-y070215011-16_lfp-1,2,1,3,1.5600657689001651
monkeyT_session-y070215011-16_lfp-1,0,1,1,0.5998243829732748
monkeyT_session-y070215011-16_lfp-1,12,1,3,0.830833325124367
monkeyT_session-y070215011-16_lfp-1,1,1,4,0.8917660778322671
monkeyT_session-y070215011-16_lfp-1,5,1,3,0.8495239430154343
monkeyT_session-y070215011-16_lfp-1,11,1,0,0.3339230502381409
monkeyT_session-y070215011-16_lfp-1,7,1,2,0.8857443229492596
monkeyT_session-y070215011-16_lfp-1,15,1,4,0.8297541765510631
monkeyT_session-y070215011-16_lfp-1,17,1,2,1.2032471507582123
monkeyT_session-y070215011-16_lfp-1,10,1,4,1.0835663838211549
monkeyT_session-y070215011-16_lfp-1,14,1,0,1.4534418595521823
monkeyT_session-y070215011-16_lfp-1,6,1,3,1.4779813467465428
monkeyT_session-y070215011-16_lfp-1,4,1,1,1.1023729281481
monkeyT_session-y070215011-16_lfp-1,31,2,2,1.4438336670283782
monkeyT_session-y070215011-16_lfp-1,26,2,4,0.9948213849148704
monkeyT_session-y070215011-16_lfp-1,27,2,0,1.2518700599870916
monkeyT_session-y070215011-16_lfp-1,30,2,0,1.3646670733645572
monkeyT_session-y070215011-16_lfp-1,37,2,4,0.9811860474081312
monkeyT_session-y070215011-16_lfp-1,34,2,1,1.2840457640658556
monkeyT_session-y070215011-16_lfp-1,32,2,2,0.6729130545236419
monkeyT_session-y070215011-16_lfp-1,25,2,1,1.2314705166892486
monkeyT_session-y070215011-16_lfp-1,33,2,2,0.8596734661209193
monkeyT_session-y070215011-16_lfp-1,35,2,4,1.1124499782014403
monkeyT_session-y070215011-16_lfp-1,22,2,4,0.8692251513677177
monkeyT_session-y070215011-16_lfp-1,24,2,0,0.9417672014113184
monkeyT_session-y070215011-16_lfp-1,28,2,3,0.9760513330034852
