recording,raw_trial_index,direction,fold,r
monkeyT_session-y070215011-16_lfp-1,3,1,2,0.5094041031468508
monkeyT_session-y070215011-16_lfp-1,19,1,0,0.6976146827696074
monkeyT_session-y070215011-16_lfp-1,8,1,1,0.870438958990683
monkeyT_session-y070215011-16_lfp-1,13,1,0,0.5674572919749502
monkeyT_session-y070215011-16_lfp-1,9,1,1,1.0121611744582155
monkeyT_session-y070215011-16_lfp-1,18,1,2,0.3962984227345421
monkeyT_session-y070215011-16_lfp-1,2,1,3,1.0500196729149485
monkeyT_session-y070215011-16_lfp-1,0,1,1,0.7002067190745783
monkeyT_session-y070215011-16_lfp-1,12,1,3,0.9349896494968876
monkeyT_session-y070215011-16_lfp-1,1,1,4,0.8911814224507587
monkeyT_session-y070215011-16_lfp-1,5,1,3,0.8260836793450275
monkeyT_session-y070215011-16_lfp-1,11,1,0,0.57630032325151
monkeyT_session-y070215011-16_lfp-1,7,1,2,0.9946757075423076
monkeyT_session-y070215011-16_lfp-1,15,1,4,0.8959916417031261
monkeyT_session-y070215011-16_lfp-1,17,1,2,1.0083680308066625
monkeyT_session-y070215011-16_lfp-1,10,1,4,0.8771007260826061
monkeyT_session-y070215011-16_lfp-1,14,1,0,0.8930045709764167
monkeyT_session-y070215011-16_lfp-1,6,1,3,1.02795010713223
monkeyT_session-y070215011-16_lfp-1,4,1,1,0.7609938804756121
monkeyT_session-y070215011-16_lfp-1,31,2,2,1.0463701072708744
monkeyT_session-y070215011-16_lfp-1,26,2,4,0.8598820663114234
monkeyT_session-y070215011-16_lfp-1,27,2,0,1.1104319604467376
monkeyT_session-y070215011-16_lfp-1,30,2,0,0.6650464186728778
monkeyT_session-y070215011-16_lfp-1,37,2,4,1.0765068122513797
monkeyT_session-y070215011-16_lfp-1,34,2,1,0.4959410939227748
monkeyT_session-y070215011-16_lfp-1,32,2,2,0.7352093663821165
monkeyT_session-y070215011-16_lfp-1,25,2,1,0.5348894710735146
monkeyT_session-y070215011-16_lfp-1,33,2,2,0.91813724462184
monkeyT_session-y070215011-16_lfp-1,35,2,4,0.4321055650088796
monkeyT_session-y070215011-16_lfp-1,22,2,4,0.9432931869298696
monkeyT_session-y070215011-16_lfp-1,24,2,0,0.9669228429553094
monkeyT_session-y070215011-16_lfp-1,28,2,3,0.9852554186253902
monkeyT_session-y070215011-16_lfp-1,21,2,2,0.9625315525137574
monkeyT_session-y070215011-16_lfp-1,38,2,3,1.0883497182574573
monkeyT_session-y070215011-16_lfp-1,29,2,1,1.0003636062512953
monkeyT_session-y070215011-16_lfp-1,20,2,1,0.9790448401486568
monkeyT_session-y070215011-16_lfp-1,39,2,0,0.9274161699156096
monkeyT_session-y070215011-16_lfp-1,23,2,3,0.9344646408755238
monkeyT_session-y070215011-16_lfp-1,58,3,4,0.7549975839111979
monkeyT_session-y070215011-16_lfp-1,53,3,1,0.7094622855700524
monkeyT_session-y070215011-16_lfp-1,55,3,0,1.1124342866926655
monkeyT_session-y070215011-16_lfp-1,44,3,3,0.6123569296444819
monkeyT_session-y070215011-16_lfp-1,48,3,3,0.4844878807635148
monkeyT_session-y070215011-16_lfp-1,50,3,4,0.6607785484108171
monkeyT_session-y070215011-16_lfp-1,57,3,4,0.9299774375306162
monkeyT_session-y070215011-16_lfp-1,54,3,4,0.8133255021756344
monkeyT_session-y070215011-16_lfp-1,49,3,2,0.93330401240932
monkeyT_session-y070215011-16_lfp-1,46,3,1,0.9267562892956268
monkeyT_session-y070215011-16_lfp-1,59,3,0,0.7089817133560722
monkeyT_session-y070215011-16_lfp-1,56,3,2,0.815264930373736
monkeyT_session-y070215011-16_lfp-1,47,3,1,0.6780715661369014
monkeyT_session-y070215011-16_lfp-1,51,3,1,0.7903429087498022
monkeyT_session-y070215011-16_lfp-1,43,3,0,0.975265984726262
monkeyT_session-y070215011-16_lfp-1,41,3,2,1.0569149355364436
monkeyT_session-y070215011-16_lfp-1,42,3,3,0.9416763991388868
monkeyT_session-y070215011-16_lfp-1,40,3,0,0.905790827871088
monkeyT_session-y070215011-16_lfp-1,52,3,3,0.9406890072360716
monkeyT_session-y070215011-16_lfp-1,79,4,2,0.8920976309610816
monkeyT_session-y070215011-16_lfp-1,78,4,3,0.9154718462918204
monkeyT_session-y070215011-16_lfp-1,67,4,0,0.7201018236209674
