analysis,monkey,method,true_direction,predicted_direction,fraction
short,M,power_frequency,1,1,0.2148862164298401
short,M,power_frequency,1,2,0.1415273925501716
short,M,power_frequency,1,3,0.1336104654544487
short,M,power_frequency,1,4,0.1652353177615445
short,M,power_frequency,1,5,0.1606319940799465
short,M,power_frequency,1,6,0.1841086137240484
short,M,power_frequency,2,1,0.1545525842598235
short,M,power_frequency,2,2,0.1858881327415711
short,M,power_frequency,2,3,0.1979880823822938
short,M,power_frequency,2,4,0.1424572977646156
short,M,power_frequency,2,5,0.1491134672237716
short,M,power_frequency,2,6,0.1700004356279242
short,M,power_frequency,3,1,0.1508716330167356
short,M,power_frequency,3,2,0.1747426014948996
short,M,power_frequency,3,3,0.2019757219654852
short,M,power_frequency,3,4,0.1546375453644373
short,M,power_frequency,3,5,0.155870902239536
short,M,power_frequency,3,6,0.161901595918906
short,M,power_frequency,4,1,0.1670480128295728
short,M,power_frequency,4,2,0.1374703810762803
short,M,power_frequency,4,3,0.1514503452275327
short,M,power_frequency,4,4,0.2313064382605392
short,M,power_frequency,4,5,0.171365365670215
short,M,power_frequency,4,6,0.1413594569358597
short,M,power_frequency,5,1,0.1732754808798126
short,M,power_frequency,5,2,0.1562871976356077
short,M,power_frequency,5,3,0.1549286581343494
short,M,power_frequency,5,4,0.1792660361844552
short,M,power_frequency,5,5,0.1613775566573668
short,M,power_frequency,5,6,0.174865070508408
short,M,power_frequency,6,1,0.177829659230816
short,M,power_frequency,6,2,0.1569797941075497
short,M,power_frequency,6,3,0.1606129606014972
short,M,power_frequency,6,4,0.1543454507790979
short,M,power_frequency,6,5,0.1562103921561735
short,M,power_frequency,6,6,0.1940217431248655
