analysis,monkey,method,true_direction,predicted_direction,fraction
short,M,torus,1,1,0.1792523394222055
short,M,torus,1,2,0.1603886946311034
short,M,torus,1,3,0.1497034233813377
short,M,torus,1,4,0.1637544775454623
short,M,torus,1,5,0.1538396131362123
short,M,torus,1,6,0.1930614518836786
short,M,torus,2,1,0.1641193904633932
short,M,torus,2,2,0.1613167928903668
short,M,torus,2,3,0.1780666448786914
short,M,torus,2,4,0.1676780400831199
short,M,torus,2,5,0.163321591790137
short,M,torus,2,6,0.1654975398942915
short,M,torus,3,1,0.1519716622453173
short,M,torus,3,2,0.1744016416277259
short,M,torus,3,3,0.1832135633175585
short,M,torus,3,4,0.1624941015885071
short,M,torus,3,5,0.1612743309630725
short,M,torus,3,6,0.1666447002578184
short,M,torus,4,1,0.1640484286639176
short,M,torus,4,2,0.1662948108954062
short,M,torus,4,3,0.1601020096172485
short,M,torus,4,4,0.1794512376554309
short,M,torus,4,5,0.1741289064037317
short,M,torus,4,6,0.155974606764265
short,M,torus,5,1,0.1510794182475887
short,M,torus,5,2,0.1564777393629451
short,M,torus,5,3,0.1726631647601452
short,M,torus,5,4,0.1753581150859363
short,M,torus,5,5,0.1759889550730045
short,M,torus,5,6,0.1684326074703801
short,M,torus,6,1,0.1982001619082218
short,M,torus,6,2,0.1530600843942087
short,M,torus,6,3,0.1615437590646558
short,M,torus,6,4,0.142956678292622
short,M,torus,6,5,0.1547779272697422
short,M,torus,6,6,0.1894613890705493
