analysis,monkey,method,true_direction,predicted_direction,fraction
short,T,power_frequency,1,1,0.2189884919144116
short,T,power_frequency,1,2,0.1942258611320342
short,T,power_frequency,1,3,0.1521343435885387
short,T,power_frequency,1,4,0.1284939836122403
short,T,power_frequency,1,5,0.1422331515342392
short,T,power_frequency,1,6,0.1639241682185357
short,T,power_frequency,2,1,0.1449831972796564
short,T,power_frequency,2,2,0.3523920838175506
short,T,power_frequency,2,3,0.1882942408896223
short,T,power_frequency,2,4,0.1451900698413469
short,T,power_frequency,2,5,0.0675490370575031
short,T,power_frequency,2,6,0.1015913711143204
short,T,power_frequency,3,1,0.1243712764907939
short,T,power_frequency,3,2,0.1872498784701793
short,T,power_frequency,3,3,0.2494139807782948
short,T,power_frequency,3,4,0.1777748685740846
short,T,power_frequency,3,5,0.1422424656474623
short,T,power_frequency,3,6,0.118947530039185
short,T,power_frequency,4,1,0.1125523320203691
short,T,power_frequency,4,2,0.1825851236248606
short,T,power_frequency,4,3,0.2027555034324816
short,T,power_frequency,4,4,0.2128766051996857
short,T,power_frequency,4,5,0.1573946055457555
short,T,power_frequency,4,6,0.1318358301768473
short,T,power_frequency,5,1,0.14398485303493
short,T,power_frequency,5,2,0.1046745768480342
short,T,power_frequency,5,3,0.1894069018239256
short,T,power_frequency,5,4,0.1695185444684279
short,T,power_frequency,5,5,0.2128148030061437
short,T,power_frequency,5,6,0.1796003208185384
short,T,power_frequency,6,1,0.1772156551320586
short,T,power_frequency,6,2,0.1301936012398519
short,T,power_frequency,6,3,0.1547028138769791
short,T,power_frequency,6,4,0.1555555851328412
short,T,power_frequency,6,5,0.180521672475562
short,T,power_frequency,6,6,0.2018106721427069
