analysis,monkey,method,true_direction,predicted_direction,fraction
short,T,torus,1,1,0.1902462756579328
short,T,torus,1,2,0.1735846423298936
short,T,torus,1,3,0.1568417567592426
short,T,torus,1,4,0.1453513438918779
short,T,torus,1,5,0.163436643634094
short,T,torus,1,6,0.1705393377269589
short,T,torus,2,1,0.1686562320525813
short,T,torus,2,2,0.2182398846240439
short,T,torus,2,3,0.1758423921791859
short,T,torus,2,4,0.1471222670350143
short,T,torus,2,5,0.1401989020659851
short,T,torus,2,6,0.1499403220431893
short,T,torus,3,1,0.1550381636446901
short,T,torus,3,2,0.1757440592653636
short,T,torus,3,3,0.1850966315333885
short,T,torus,3,4,0.1642265019751989
short,T,torus,3,5,0.1700153153762113
short,T,torus,3,6,0.1498793282051473
short,T,torus,4,1,0.1575937813378485
short,T,torus,4,2,0.1625498547235803
short,T,torus,4,3,0.1655100343727865
short,T,torus,4,4,0.1926311777876579
short,T,torus,4,5,0.1628659843600619
short,T,torus,4,6,0.1588491674180646
short,T,torus,5,1,0.1775700602774378
short,T,torus,5,2,0.1495263246626268
short,T,torus,5,3,0.1679385643471838
short,T,torus,5,4,0.159836674122581
short,T,torus,5,5,0.1900199909171858
short,T,torus,5,6,0.1551083856729845
short,T,torus,6,1,0.1778775395631532
short,T,torus,6,2,0.1605720711931694
short,T,torus,6,3,0.1536396121115052
short,T,torus,6,4,0.1642753513785593
short,T,torus,6,5,0.1566493622051739
short,T,torus,6,6,0.1869860635484388
