recording,day,difference,monkey,enhanced,baseline
monkeyM_session-o080416002-18_lfp-1,2008-04-16,-0.0095531906709037,M,torus_power_frequency,power_frequency
monkeyM_session-o080416002-18_lfp-2,2008-04-16,0.1094700284169033,M,torus_power_frequency,power_frequency
monkeyM_session-o080417003-14_lfp-1,2008-04-17,0.0449022829694336,M,torus_power_frequency,power_frequency
monkeyM_session-o080417003-14_lfp-4,2008-04-17,0.0439225613025711,M,torus_power_frequency,power_frequency
monkeyM_session-o080422011-21_lfp-2,2008-04-22,-0.07881977837185,M,torus_power_frequency,power_frequency
monkeyM_session-o080423001-5_lfp-6,2008-04-23,-0.0109241014413428,M,torus_power_frequency,power_frequency
monkeyM_session-o080423001-5_lfp-8,2008-04-23,0.0213648417207927,M,torus_power_frequency,power_frequency
monkeyM_session-o080424002-11_lfp-1,2008-04-24,-0.0603281121847855,M,torus_power_frequency,power_frequency
monkeyM_session-o080424012-22_lfp-1,2008-04-24,-0.0172369714466001,M,torus_power_frequency,power_frequency
monkeyM_session-o080425003-12_lfp-1,2008-04-25,-0.0375644315744746,M,torus_power_frequency,power_frequency
monkeyM_session-o080429002-7_lfp-2,2008-04-29,0.0002231362021405,M,torus_power_frequency,power_frequency
monkeyM_session-o080430002-12_lfp-1,2008-04-30,0.0180703145473943,M,torus_power_frequency,power_frequency
monkeyM_session-o080430013-23_lfp-1,2008-04-30,-0.0575025241691908,M,torus_power_frequency,power_frequency
monkeyM_session-o080430013-23_lfp-2,2008-04-30,0.0005648453466871,M,torus_power_frequency,power_frequency
monkeyM_session-o080506002-22_lfp-1,2008-05-06,0.0778826659403874,M,torus_power_frequency,power_frequency
monkeyM_session-o080506002-22_lfp-2,2008-05-06,-0.0452965902687743,M,torus_power_frequency,power_frequency
monkeyM_session-o080507002-11_lfp-1,2008-05-07,-0.0276931516217826,M,torus_power_frequency,power_frequency
monkeyM_session-o080507012-23_lfp-1,2008-05-07,-0.0844541087819579,M,torus_power_frequency,power_frequency
monkeyM_session-o080507012-23_lfp-2,2008-05-07,0.0295222683380578,M,torus_power_frequency,power_frequency
monkeyM_session-o080509001-9_lfp-1,2008-05-09,-0.0135740486990301,M,torus_power_frequency,power_frequency
monkeyM_session-o080509010-19_lfp-1,2008-05-09,0.0295313854038575,M,torus_power_frequency,power_frequency
monkeyM_session-o080513001-9_lfp-1,2008-05-13,-0.0142907356741145,M,torus_power_frequency,power_frequency
monkeyM_session-o080513001-9_lfp-2,2008-05-13,0.085771495792843,M,torus_power_frequency,power_frequency
monkeyM_session-o080513010-18_lfp-1,2008-05-13,0.0645339451048279,M,torus_power_frequency,power_frequency
monkeyM_session-o080513010-18_lfp-2,2008-05-13,-0.024719037626524,M,torus_power_frequency,power_frequency
monkeyM_session-o080515002-11_lfp-1,2008-05-15,0.0233041261679032,M,torus_power_frequency,power_frequency
monkeyM_session-o080515002-11_lfp-2,2008-05-15,0.0046784520452684,M,torus_power_frequency,power_frequency
monkeyM_session-o080515012-24_lfp-1,2008-05-15,0.076430346804462,M,torus_power_frequency,power_frequency
monkeyM_session-o080515012-24_lfp-2,2008-05-15,0.0004055716794386,M,torus_power_frequency,power_frequency
monkeyM_session-o080522005-11_lfp-1,2008-05-22,-0.0937857897272091,M,torus_power_frequency,power_frequency
monkeyM_session-o080522005-11_lfp-2,2008-05-22,-0.0676132183345468,M,torus_power_frequency,power_frequency
monkeyM_session-o080522012-21_lfp-1,2008-05-22,-0.0573254258931652,M,torus_power_frequency,power_frequency
monkeyM_session-o080522012-21_lfp-2,2008-05-22,-0.0727084834182521,M,torus_power_frequency,power_frequency
monkeyM_session-o080523010-18_lfp-4,2008-05-23,0.0525010553260078,M,torus_power_frequency,power_frequency
monkeyM_session-o080523010-18_lfp-8,2008-05-23,0.0623049620630265,M,torus_power_frequency,power_frequency
monkeyM_session-o080527006-16_lfp-1,2008-05-27,0.0555227282444625,M,torus_power_frequency,power_frequency
monkeyM_session-o080527006-16_lfp-2,2008-05-27,-0.0549259665761196,M,torus_power_frequency,power_frequency
monkeyM_session-o080528006-15_lfp-2,2008-05-28,-0.0098655943818753,M,torus_power_frequency,power_frequency
monkeyM_session-o080528006-15_lfp-4,2008-05-28,0.0068834372569961,M,torus_power_frequency,power_frequency
monkeyM_session-o080528016-25_lfp-2,2008-05-28,0.084326275252687,M,torus_power_frequency,power_frequency
monkeyM_session-o080528016-25_lfp-4,2008-05-28,0.0066140245019555,M,torus_power_frequency,power_frequency
monkeyM_session-o080710006-11_lfp-5,2008-07-10,0.0195424098939163,M,torus_power_frequency,power_frequency
monkeyM_session-o080710006-11_lfp-6,2008-07-10,-0.0166562396387942,M,torus_power_frequency,power_frequency
monkeyM_session-o080711002-7_lfp-6,2008-07-11,0.0561630885740792,M,torus_power_frequency,power_frequency
monkeyM_session-o080711002-7_lfp-8,2008-07-11,-0.0454382248725045,M,torus_power_frequency,power_frequency
monkeyM_session-o080718005-9_lfp-5,2008-07-18,0.0073634655826125,M,torus_power_frequency,power_frequency
monkeyM_session-o080718005-9_lfp-8,2008-07-18,0.1113513340228208,M,torus_power_frequency,power_frequency
monkeyM_session-o080722004-9_lfp-5,2008-07-22,0.0240604653742143,M,torus_power_frequency,power_frequency
monkeyM_session-o080723006-11_lfp-5,2008-07-23,-0.0236478693389848,M,torus_power_frequency,power_frequency
monkeyM_session-o080723006-11_lfp-7,2008-07-23,-0.0286782882519035,M,torus_power_frequency,power_frequency
monkeyM_session-o080724004-9_lfp-5,2008-07-24,0.0300125411148475,M,torus_power_frequency,power_frequency
monkeyM_session-o080724004-9_lfp-7,2008-07-24,-0.1261721940581814,M,torus_power_frequency,power_frequency
monkeyM_session-o080731003-10_lfp-6,2008-07-31,-0.0357620901379868,M,torus_power_frequency,power_frequency
