recording,day,difference,monkey,enhanced,baseline
monkeyT_session-y070130005-13_lfp-1,2007-01-30,-0.0043245450397184,T,torus_power_frequency,power_frequency
monkeyT_session-y070130005-13_lfp-2,2007-01-30,0.0135702365797545,T,torus_power_frequency,power_frequency
monkeyT_session-y070201001-6_lfp-1,2007-02-01,-0.022449500057571,T,torus_power_frequency,power_frequency
monkeyT_session-y070202001-7_lfp-1,2007-02-02,-0.0301898026252402,T,torus_power_frequency,power_frequency
monkeyT_session-y070206006-12_lfp-1,2007-02-06,0.0342919194227763,T,torus_power_frequency,power_frequency
monkeyT_session-y070207004-11_lfp-1,2007-02-07,-0.0636300719752352,T,torus_power_frequency,power_frequency
monkeyT_session-y070207004-11_lfp-2,2007-02-07,0.0496892473810052,T,torus_power_frequency,power_frequency
monkeyT_session-y070207012-19_lfp-1,2007-02-07,-0.0145222145775977,T,torus_power_frequency,power_frequency
monkeyT_session-y070207012-19_lfp-2,2007-02-07,-0.0168764826972761,T,torus_power_frequency,power_frequency
monkeyT_session-y070208003-8_lfp-1,2007-02-08,0.0434929883787509,T,torus_power_frequency,power_frequency
monkeyT_session-y070208003-8_lfp-2,2007-02-08,-0.0367097911505468,T,torus_power_frequency,power_frequency
monkeyT_session-y070209004-10_lfp-1,2007-02-09,-0.0141413622177052,T,torus_power_frequency,power_frequency
monkeyT_session-y070209004-10_lfp-2,2007-02-09,0.0227310766317439,T,torus_power_frequency,power_frequency
monkeyT_session-y070213003-8_lfp-1,2007-02-13,0.017656375626578,T,torus_power_frequency,power_frequency
monkeyT_session-y070214006-11_lfp-2,2007-02-14,-0.0005703254671104,T,torus_power_frequency,power_frequency
monkeyT_session-y070214012-17_lfp-2,2007-02-14,0.0168503596270705,T,torus_power_frequency,power_frequency
monkeyT_session-y070215005-10_lfp-1,2007-02-15,-0.0163028270026241,T,torus_power_frequency,power_frequency
monkeyT_session-y070215005-10_lfp-2,2007-02-15,0.0049166586708305,T,torus_power_frequency,power_frequency
monkeyT_session-y070215011-16_lfp-1,2007-02-15,-0.0077940803606272,T,torus_power_frequency,power_frequency
monkeyT_session-y070215011-16_lfp-2,2007-02-15,-0.0277533172141207,T,torus_power_frequency,power_frequency
monkeyT_session-y070228001-5_lfp-8,2007-02-28,0.0272871233492896,T,torus_power_frequency,power_frequency
monkeyT_session-y070301002-6_lfp-8,2007-03-01,0.0068766772146989,T,torus_power_frequency,power_frequency
monkeyT_session-y070301012-19_lfp-7,2007-03-01,0.0149976177915606,T,torus_power_frequency,power_frequency
monkeyT_session-y070306001-5_lfp-5,2007-03-06,0.0611724839148519,T,torus_power_frequency,power_frequency
monkeyT_session-y070306001-5_lfp-7,2007-03-06,0.0031661377411051,T,torus_power_frequency,power_frequency
monkeyT_session-y070306006-11_lfp-5,2007-03-06,0.0460545603358738,T,torus_power_frequency,power_frequency
monkeyT_session-y070306006-11_lfp-7,2007-03-06,0.0266174975140819,T,torus_power_frequency,power_frequency
monkeyT_session-y070307002-6_lfp-5,2007-03-07,0.0786736878068147,T,torus_power_frequency,power_frequency
monkeyT_session-y070307008-13_lfp-5,2007-03-07,-0.076766072797865,T,torus_power_frequency,power_frequency
monkeyT_session-y070308002-6_lfp-6,2007-03-08,0.0967513649270048,T,torus_power_frequency,power_frequency
monkeyT_session-y070312001-5_lfp-7,2007-03-12,-0.012583075780982,T,torus_power_frequency,power_frequency
monkeyT_session-y070312001-5_lfp-8,2007-03-12,0.0189690181498062,T,torus_power_frequency,power_frequency
monkeyT_session-y070314001-8_lfp-5,2007-03-14,-0.0266488931123077,T,torus_power_frequency,power_frequency
monkeyT_session-y070314001-8_lfp-7,2007-03-14,-0.0194899217499836,T,torus_power_frequency,power_frequency
monkeyT_session-y070315003-8_lfp-5,2007-03-15,0.0224002780533236,T,torus_power_frequency,power_frequency
monkeyT_session-y070315003-8_lfp-6,2007-03-15,-0.0474193668598259,T,torus_power_frequency,power_frequency
monkeyT_session-y070315003-8_lfp-8,2007-03-15,-0.0239643476596715,T,torus_power_frequency,power_frequency
monkeyT_session-y070315009-14_lfp-5,2007-03-15,-0.0054857234697711,T,torus_power_frequency,power_frequency
monkeyT_session-y070315009-14_lfp-6,2007-03-15,0.0072155105790634,T,torus_power_frequency,power_frequency
monkeyT_session-y070315009-14_lfp-7,2007-03-15,-0.0879584686984779,T,torus_power_frequency,power_frequency
monkeyT_session-y070316001-4_lfp-7,2007-03-16,0.0250871478905199,T,torus_power_frequency,power_frequency
monkeyT_session-y070316001-4_lfp-8,2007-03-16,-0.040360754878179,T,torus_power_frequency,power_frequency
monkeyT_session-y070316006-8_lfp-7,2007-03-16,-0.0376398779263038,T,torus_power_frequency,power_frequency
monkeyT_session-y070316006-8_lfp-8,2007-03-16,-0.0519468583671239,T,torus_power_frequency,power_frequency
monkeyT_session-y070316009-12_lfp-7,2007-03-16,0.0239994521711108,T,torus_power_frequency,power_frequency
monkeyT_session-y070316009-12_lfp-8,2007-03-16,-0.0272502235354201,T,torus_power_frequency,power_frequency
monkeyT_session-y070412010-15_lfp-5,2007-04-12,0.088003563401718,T,torus_power_frequency,power_frequency
monkeyT_session-y070412010-15_lfp-6,2007-04-12,0.0089985418875927,T,torus_power_frequency,power_frequency
monkeyT_session-y070412010-15_lfp-7,2007-04-12,0.0457124163066041,T,torus_power_frequency,power_frequency
monkeyT_session-y070412010-15_lfp-8,2007-04-12,-0.085977078547333,T,torus_power_frequency,power_frequency
monkeyT_session-y070413002-8_lfp-6,2007-04-13,-0.0690407472478247,T,torus_power_frequency,power_frequency
monkeyT_session-y070413009-13_lfp-5,2007-04-13,-0.1261562463367849,T,torus_power_frequency,power_frequency
monkeyT_session-y070413009-13_lfp-6,2007-04-13,0.0231975143922528,T,torus_power_frequency,power_frequency
monkeyT_session-y070413009-13_lfp-7,2007-04-13,0.004987642194119,T,torus_power_frequency,power_frequency
monkeyT_session-y070413009-13_lfp-8,2007-04-13,-0.0231330073680527,T,torus_power_frequency,power_frequency
monkeyT_session-y070416003-7_lfp-5,2007-04-16,0.0688302698793951,T,torus_power_frequency,power_frequency
monkeyT_session-y070416003-7_lfp-6,2007-04-16,-0.0276081961840475,T,torus_power_frequency,power_frequency
monkeyT_session-y070416009-13_lfp-5,2007-04-16,-0.0581437850985898,T,torus_power_frequency,power_frequency
monkeyT_session-y070416009-13_lfp-6,2007-04-16,-0.0065292248405199,T,torus_power_frequency,power_frequency
monkeyT_session-y070419002-5_lfp-5,2007-04-19,-0.0157131855990944,T,torus_power_frequency,power_frequency
monkeyT_session-y070419002-5_lfp-7,2007-04-19,0.0063431560378383,T,torus_power_frequency,power_frequency
monkeyT_session-y070420002-5_lfp-5,2007-04-20,-0.0029175119679231,T,torus_power_frequency,power_frequency
monkeyT_session-y070420002-5_lfp-8,2007-04-20,0.0300608968862079,T,torus_power_frequency,power_frequency
monkeyT_session-y070420006-10_lfp-5,2007-04-20,-0.0596154775261073,T,torus_power_frequency,power_frequency
monkeyT_session-y070420006-10_lfp-7,2007-04-20,0.091004738723792,T,torus_power_frequency,power_frequency
monkeyT_session-y070423002-6_lfp-5,2007-04-23,-0.0019251010769963,T,torus_power_frequency,power_frequency
monkeyT_session-y070423002-6_lfp-6,2007-04-23,-0.0020731567726074,T,torus_power_frequency,power_frequency
monkeyT_session-y070423008-14_lfp-5,2007-04-23,0.0248302506786733,T,torus_power_frequency,power_frequency
monkeyT_session-y070423008-14_lfp-7,2007-04-23,0.0492085522687443,T,torus_power_frequency,power_frequency
monkeyT_session-y070424001-6_lfp-5,2007-04-24,-0.0746742997847558,T,torus_power_frequency,power_frequency
monkeyT_session-y070424001-6_lfp-6,2007-04-24,0.0314494739272368,T,torus_power_frequency,power_frequency
monkeyT_session-y070424001-6_lfp-7,2007-04-24,-0.0541707989583366,T,torus_power_frequency,power_frequency
monkeyT_session-y070424001-6_lfp-8,2007-04-24,-0.102988047502484,T,torus_power_frequency,power_frequency
monkeyT_session-y070424007-15_lfp-5,2007-04-24,0.0094604294503663,T,torus_power_frequency,power_frequency
monkeyT_session-y070424007-15_lfp-8,2007-04-24,0.0023787558079625,T,torus_power_frequency,power_frequency
monkeyT_session-y070425001-6_lfp-6,2007-04-25,0.0339977324778227,T,torus_power_frequency,power_frequency
monkeyT_session-y070425001-6_lfp-8,2007-04-25,0.0020980554331939,T,torus_power_frequency,power_frequency
monkeyT_session-y070425007-12_lfp-5,2007-04-25,0.0735071746684707,T,torus_power_frequency,power_frequency
monkeyT_session-y070425007-12_lfp-6,2007-04-25,0.0483370365583648,T,torus_power_frequency,power_frequency
monkeyT_session-y070425007-12_lfp-7,2007-04-25,-0.0604310785703145,T,torus_power_frequency,power_frequency
monkeyT_session-y070425007-12_lfp-8,2007-04-25,-0.0447746153461202,T,torus_power_frequency,power_frequency
monkeyT_session-y070426001-5_lfp-5,2007-04-26,-0.0136064246277661,T,torus_power_frequency,power_frequency
monkeyT_session-y070426006-13_lfp-7,2007-04-26,-0.0226364230494023,T,torus_power_frequency,power_frequency
monkeyT_session-y070426006-13_lfp-8,2007-04-26,0.0144227670901746,T,torus_power_frequency,power_frequency
monkeyT_session-y070502002-7_lfp-6,2007-05-02,-0.0072697346614177,T,torus_power_frequency,power_frequency
monkeyT_session-y070502002-7_lfp-7,2007-05-02,0.0181551694324338,T,torus_power_frequency,power_frequency
monkeyT_session-y070502008-15_lfp-5,2007-05-02,-0.0336123310592053,T,torus_power_frequency,power_frequency
monkeyT_session-y070502008-15_lfp-6,2007-05-02,-0.0552809636669704,T,torus_power_frequency,power_frequency
monkeyT_session-y070502008-15_lfp-7,2007-05-02,-0.0073147537457468,T,torus_power_frequency,power_frequency
monkeyT_session-y070502008-15_lfp-8,2007-05-02,-0.0307368747525541,T,torus_power_frequency,power_frequency
monkeyT_session-y070503001-7_lfp-5,2007-05-03,-0.0348952356611216,T,torus_power_frequency,power_frequency
monkeyT_session-y070503001-7_lfp-6,2007-05-03,0.0314094014208196,T,torus_power_frequency,power_frequency
monkeyT_session-y070503011-16_lfp-5,2007-05-03,-0.0613243789215344,T,torus_power_frequency,power_frequency
monkeyT_session-y070503011-16_lfp-6,2007-05-03,-0.0767320939808212,T,torus_power_frequency,power_frequency
monkeyT_session-y070503011-16_lfp-8,2007-05-03,0.0064051547739531,T,torus_power_frequency,power_frequency
monkeyT_session-y070130005-13_lfp-1,2007-01-30,0.0257922509803009,T,torus_all_bands,all_bands
monkeyT_session-y070130005-13_lfp-2,2007-01-30,0.0245614785031061,T,torus_all_bands,all_bands
monkeyT_session-y070201001-6_lfp-1,2007-02-01,-0.067506254036849,T,torus_all_bands,all_bands
monkeyT_session-y070202001-7_lfp-1,2007-02-02,-0.0241436946368498,T,torus_all_bands,all_bands
monkeyT_session-y070206006-12_lfp-1,2007-02-06,-0.0006161850509696,T,torus_all_bands,all_bands
monkeyT_session-y070207004-11_lfp-1,2007-02-07,0.0453078186506016,T,torus_all_bands,all_bands
monkeyT_session-y070207004-11_lfp-2,2007-02-07,0.0309588123447383,T,torus_all_bands,all_bands
monkeyT_session-y070207012-19_lfp-1,2007-02-07,0.0197314291217482,T,torus_all_bands,all_bands
monkeyT_session-y070207012-19_lfp-2,2007-02-07,0.0058952553597595,T,torus_all_bands,all_bands
monkeyT_session-y070208003-8_lfp-1,2007-02-08,0.0584812397712303,T,torus_all_bands,all_bands
monkeyT_session-y070208003-8_lfp-2,2007-02-08,0.0027759221936463,T,torus_all_bands,all_bands
monkeyT_session-y070209004-10_lfp-1,2007-02-09,-0.0183704413032869,T,torus_all_bands,all_bands
monkeyT_session-y070209004-10_lfp-2,2007-02-09,0.0240443440486368,T,torus_all_bands,all_bands
monkeyT_session-y070213003-8_lfp-1,2007-02-13,0.0555263976383252,T,torus_all_bands,all_bands
monkeyT_session-y070214006-11_lfp-2,2007-02-14,0.0346620854596005,T,torus_all_bands,all_bands
monkeyT_session-y070214012-17_lfp-2,2007-02-14,-0.0057393611744586,T,torus_all_bands,all_bands
monkeyT_session-y070215005-10_lfp-1,2007-02-15,-0.0177441247958173,T,torus_all_bands,all_bands
monkeyT_session-y070215005-10_lfp-2,2007-02-15,0.0188567562260942,T,torus_all_bands,all_bands
monkeyT_session-y070215011-16_lfp-1,2007-02-15,-0.0159389195163631,T,torus_all_bands,all_bands
monkeyT_session-y070215011-16_lfp-2,2007-02-15,0.0204687418973132,T,torus_all_bands,all_bands
monkeyT_session-y070228001-5_lfp-8,2007-02-28,0.0520998747436045,T,torus_all_bands,all_bands
monkeyT_session-y070301002-6_lfp-8,2007-03-01,-0.0402527136527612,T,torus_all_bands,all_bands
monkeyT_session-y070301012-19_lfp-7,2007-03-01,0.000769459632313,T,torus_all_bands,all_bands
monkeyT_session-y070306001-5_lfp-5,2007-03-06,-0.0408525188171252,T,torus_all_bands,all_bands
monkeyT_session-y070306001-5_lfp-7,2007-03-06,0.074031354435055,T,torus_all_bands,all_bands
monkeyT_session-y070306006-11_lfp-5,2007-03-06,0.0075627193742248,T,torus_all_bands,all_bands
monkeyT_session-y070306006-11_lfp-7,2007-03-06,-0.0627975365820153,T,torus_all_bands,all_bands
monkeyT_session-y070307002-6_lfp-5,2007-03-07,0.0212232066156892,T,torus_all_bands,all_bands
monkeyT_session-y070307008-13_lfp-5,2007-03-07,-0.0256513893517726,T,torus_all_bands,all_bands
monkeyT_session-y070308002-6_lfp-6,2007-03-08,-0.0355178467948867,T,torus_all_bands,all_bands
monkeyT_session-y070312001-5_lfp-7,2007-03-12,-0.0306112990736532,T,torus_all_bands,all_bands
monkeyT_session-y070312001-5_lfp-8,2007-03-12,0.0612760389959555,T,torus_all_bands,all_bands
monkeyT_session-y070314001-8_lfp-5,2007-03-14,0.0435861719711464,T,torus_all_bands,all_bands
monkeyT_session-y070314001-8_lfp-7,2007-03-14,0.0098761955759927,T,torus_all_bands,all_bands
monkeyT_session-y070315003-8_lfp-5,2007-03-15,0.0931203053097463,T,torus_all_bands,all_bands
monkeyT_session-y070315003-8_lfp-6,2007-03-15,-0.0164265407028431,T,torus_all_bands,all_bands
monkeyT_session-y070315003-8_lfp-8,2007-03-15,-0.001650983523358,T,torus_all_bands,all_bands
monkeyT_session-y070315009-14_lfp-5,2007-03-15,0.0047230471598093,T,torus_all_bands,all_bands
monkeyT_session-y070315009-14_lfp-6,2007-03-15,0.0136186350545022,T,torus_all_bands,all_bands
monkeyT_session-y070315009-14_lfp-7,2007-03-15,-0.0317602587085188,T,torus_all_bands,all_bands
monkeyT_session-y070316001-4_lfp-7,2007-03-16,0.0095633939446534,T,torus_all_bands,all_bands
monkeyT_session-y070316001-4_lfp-8,2007-03-16,-0.0622237950588023,T,torus_all_bands,all_bands
monkeyT_session-y070316006-8_lfp-7,2007-03-16,-0.090866368557913,T,torus_all_bands,all_bands
monkeyT_session-y070316006-8_lfp-8,2007-03-16,0.0016260297268048,T,torus_all_bands,all_bands
monkeyT_session-y070316009-12_lfp-7,2007-03-16,0.0252629557789467,T,torus_all_bands,all_bands
monkeyT_session-y070316009-12_lfp-8,2007-03-16,0.0122230620788062,T,torus_all_bands,all_bands
monkeyT_session-y070412010-15_lfp-5,2007-04-12,0.0891170717497194,T,torus_all_bands,all_bands
monkeyT_session-y070412010-15_lfp-6,2007-04-12,-0.0524513005251124,T,torus_all_bands,all_bands
monkeyT_session-y070412010-15_lfp-7,2007-04-12,0.0833741834246489,T,torus_all_bands,all_bands
monkeyT_session-y070412010-15_lfp-8,2007-04-12,-0.0419683377676856,T,torus_all_bands,all_bands
monkeyT_session-y070413002-8_lfp-6,2007-04-13,-0.0230888124679575,T,torus_all_bands,all_bands
monkeyT_session-y070413009-13_lfp-5,2007-04-13,-0.0911526243238545,T,torus_all_bands,all_bands
monkeyT_session-y070413009-13_lfp-6,2007-04-13,-0.0069503274516961,T,torus_all_bands,all_bands
monkeyT_session-y070413009-13_lfp-7,2007-04-13,0.008129843593035,T,torus_all_bands,all_bands
monkeyT_session-y070413009-13_lfp-8,2007-04-13,-0.0134083210052201,T,torus_all_bands,all_bands
monkeyT_session-y070416003-7_lfp-5,2007-04-16,0.121009355474639,T,torus_all_bands,all_bands
monkeyT_session-y070416003-7_lfp-6,2007-04-16,-0.0027119213505903,T,torus_all_bands,all_bands
monkeyT_session-y070416009-13_lfp-5,2007-04-16,-0.0226812110904569,T,torus_all_bands,all_bands
monkeyT_session-y070416009-13_lfp-6,2007-04-16,-0.0257616870311755,T,torus_all_bands,all_bands
monkeyT_session-y070419002-5_lfp-5,2007-04-19,-0.0919932817230334,T,torus_all_bands,all_bands
monkeyT_session-y070419002-5_lfp-7,2007-04-19,0.0188397087956527,T,torus_all_bands,all_bands
monkeyT_session-y070420002-5_lfp-5,2007-04-20,0.0485211992507599,T,torus_all_bands,all_bands
monkeyT_session-y070420002-5_lfp-8,2007-04-20,0.0887943399350394,T,torus_all_bands,all_bands
monkeyT_session-y070420006-10_lfp-5,2007-04-20,0.0343385756656509,T,torus_all_bands,all_bands
monkeyT_session-y070420006-10_lfp-7,2007-04-20,-0.0313924509269529,T,torus_all_bands,all_bands
monkeyT_session-y070423002-6_lfp-5,2007-04-23,0.0431415355157991,T,torus_all_bands,all_bands
monkeyT_session-y070423002-6_lfp-6,2007-04-23,-0.0049380136936647,T,torus_all_bands,all_bands
monkeyT_session-y070423008-14_lfp-5,2007-04-23,-0.0385770170567413,T,torus_all_bands,all_bands
monkeyT_session-y070423008-14_lfp-7,2007-04-23,-0.0004331740660191,T,torus_all_bands,all_bands
monkeyT_session-y070424001-6_lfp-5,2007-04-24,-0.0044895257179587,T,torus_all_bands,all_bands
monkeyT_session-y070424001-6_lfp-6,2007-04-24,-0.0002138012138896,T,torus_all_bands,all_bands
monkeyT_session-y070424001-6_lfp-7,2007-04-24,-0.0175130944669847,T,torus_all_bands,all_bands
monkeyT_session-y070424001-6_lfp-8,2007-04-24,-0.070281784225033,T,torus_all_bands,all_bands
monkeyT_session-y070424007-15_lfp-5,2007-04-24,0.0316720598701067,T,torus_all_bands,all_bands
monkeyT_session-y070424007-15_lfp-8,2007-04-24,0.0186553292206907,T,torus_all_bands,all_bands
monkeyT_session-y070425001-6_lfp-6,2007-04-25,0.0406396741261728,T,torus_all_bands,all_bands
monkeyT_session-y070425001-6_lfp-8,2007-04-25,0.1131794799768971,T,torus_all_bands,all_bands
monkeyT_session-y070425007-12_lfp-5,2007-04-25,0.0005815067231403,T,torus_all_bands,all_bands
monkeyT_session-y070425007-12_lfp-6,2007-04-25,0.0567720114822915,T,torus_all_bands,all_bands
monkeyT_session-y070425007-12_lfp-7,2007-04-25,-0.0423146942750348,T,torus_all_bands,all_bands
monkeyT_session-y070425007-12_lfp-8,2007-04-25,-0.0149194194327216,T,torus_all_bands,all_bands
monkeyT_session-y070426001-5_lfp-5,2007-04-26,0.0505395877511453,T,torus_all_bands,all_bands
monkeyT_session-y070426006-13_lfp-7,2007-04-26,-0.0393394288834373,T,torus_all_bands,all_bands
monkeyT_session-y070426006-13_lfp-8,2007-04-26,0.0155104731409531,T,torus_all_bands,all_bands
monkeyT_session-y070502002-7_lfp-6,2007-05-02,0.0716844705446529,T,torus_all_bands,all_bands
monkeyT_session-y070502002-7_lfp-7,2007-05-02,-0.042940548898198,T,torus_all_bands,all_bands
monkeyT_session-y070502008-15_lfp-5,2007-05-02,0.0043448717651637,T,torus_all_bands,all_bands
monkeyT_session-y070502008-15_lfp-6,2007-05-02,-0.0457752333554686,T,torus_all_bands,all_bands
monkeyT_session-y070502008-15_lfp-7,2007-05-02,0.0345009816698565,T,torus_all_bands,all_bands
monkeyT_session-y070502008-15_lfp-8,2007-05-02,-0.0312377778834611,T,torus_all_bands,all_bands
monkeyT_session-y070503001-7_lfp-5,2007-05-03,-0.02598446814501,T,torus_all_bands,all_bands
monkeyT_session-y070503001-7_lfp-6,2007-05-03,0.0268419933857071,T,torus_all_bands,all_bands
monkeyT_session-y070503011-16_lfp-5,2007-05-03,0.0086527079675053,T,torus_all_bands,all_bands
monkeyT_session-y070503011-16_lfp-6,2007-05-03,-0.0260122370958267,T,torus_all_bands,all_bands
monkeyT_session-y070503011-16_lfp-8,2007-05-03,0.078527271027271,T,torus_all_bands,all_bands
