analysis,monkey,method,direction,mean,std,count
short,M,power_frequency,1,0.1960959485065134,0.1292039135470309,115
short,M,power_frequency,2,0.1796579932517596,0.1115026209976997,115
short,M,power_frequency,3,0.1916026757320294,0.1197844184930421,115
short,M,power_frequency,4,0.2142986881450926,0.1219279871966094,115
short,M,power_frequency,5,0.1548120432264061,0.0969940887547546,115
short,M,power_frequency,6,0.1801654572268453,0.1109217167611285,115
short,M,torus,1,0.1726560939555048,0.0983915918898163,115
short,M,torus,2,0.1601503651532236,0.0946986544786323,115
short,M,torus,3,0.1771441098429936,0.0948917313853461,115
short,M,torus,4,0.1740467961892296,0.1062309300356112,115
short,M,torus,5,0.1727210029717792,0.0966766058331584,115
short,M,torus,6,0.1797559388921181,0.1009535596763935,115
