analysis,monkey,method,direction,mean,std,count
short,T,power_frequency,1,0.2118915729995141,0.1200876196825591,95
short,T,power_frequency,2,0.3163837370972088,0.1281776764639794,95
short,T,power_frequency,3,0.2055156705272709,0.1272836039949337,95
short,T,power_frequency,4,0.1853805043198483,0.1306000905607878,95
short,T,power_frequency,5,0.2085984714250703,0.1256274042549185,95
short,T,power_frequency,6,0.1985910062226038,0.1165545684649894,95
short,T,torus,1,0.1812465454897486,0.0953243952643155,95
short,T,torus,2,0.2102187788307941,0.0950965079138767,95
short,T,torus,3,0.1781486977754281,0.0949608356540795,95
short,T,torus,4,0.1902976997905278,0.0906809943220269,95
short,T,torus,5,0.1851693775341967,0.0938715413434252,95
short,T,torus,6,0.1840676305917875,0.0886278179991521,95
