recording,monkey,day,analysis,method,direction,f1
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,1,0.25925925925925924
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,2,0.13333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,3,0.18181818181818182
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,4,0.2413793103448276
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,5,0.14285714285714285
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,all_bands,6,0.044444444444444446
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,1,0.10810810810810811
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,2,0.3125
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,3,0.15151515151515152
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,4,0.1
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,5,0.09302325581395349
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_frequency,6,0.05263157894736842
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,1,0.13333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,2,0.0975609756097561
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,3,0.1276595744680851
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,4,0.08695652173913043
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,5,0.3050847457627119
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,peak_power,6,0.28
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,power_frequency,1,0.30434782608695654
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,power_frequency,2,0.13636363636363635
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,power_frequency,3,0.16
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,power_frequency,4,0.20408163265306123
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,power_frequency,5,0.3448275862068966
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,power_frequency,6,0.24390243902439024
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus,1,0.05
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus,2,0.34615384615384615
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus,3,0.08163265306122448
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus,4,0.19047619047619047
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus,5,0.1111111111111111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus,6,0.19607843137254902
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,1,0.18604651162790697
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,2,0.28
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,3,0.12
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,4,0.1702127659574468
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,5,0.18867924528301888
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_all_bands,6,0.2222222222222222
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,1,0.09090909090909091
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,2,0.35714285714285715
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,3,0.08695652173913043
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,4,0.2127659574468085
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,5,0.0784313725490196
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_pca,6,0.22727272727272727
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,1,0.18867924528301888
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,2,0.34615384615384615
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,3,0.16666666666666666
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,4,0.15
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,5,0.20833333333333334
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_long,torus_power_frequency,6,0.2127659574468085
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,all_bands,1,0.23076923076923078
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,all_bands,2,0.05714285714285714
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,all_bands,3,0.22641509433962265
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,all_bands,4,0.3076923076923077
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,all_bands,5,0.25925925925925924
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,all_bands,6,0.14285714285714285
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,1,0.17543859649122806
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,2,0.0
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,3,0.1111111111111111
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,4,0.21818181818181817
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,5,0.3333333333333333
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_frequency,6,0.10810810810810811
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,1,0.2711864406779661
monkeyM_session-o080416002-18_lfp-1,M,2008-04-16,matched_short,peak_power,2,0.3137254901960784
