recording,monkey,analysis,fold,dimension,tau_samples,n_training_trials,tau_method,robust_peaks_hz,adjustment
monkeyM_session-o080416002-18_lfp-1,M,short,0,7,18,115,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,short,1,7,18,115,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,short,2,7,19,115,ami_first_local_minimum,"[6.0, 22.0, 38.0]",
monkeyM_session-o080416002-18_lfp-1,M,short,3,7,18,115,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,short,4,7,19,116,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_short,0,7,18,115,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_short,1,7,18,115,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_short,2,7,19,115,ami_first_local_minimum,"[6.0, 22.0, 38.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_short,3,7,18,115,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_short,4,7,19,116,ami_first_local_minimum,"[6.0, 22.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_long,0,7,19,115,ami_first_local_minimum,"[4.0, 20.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_long,1,7,19,115,ami_first_local_minimum,"[4.0, 20.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_long,2,7,19,115,ami_first_local_minimum,"[6.0, 20.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_long,3,7,20,115,ami_first_local_minimum,"[4.0, 20.0, 36.0]",
monkeyM_session-o080416002-18_lfp-1,M,matched_long,4,7,19,116,ami_first_local_minimum,"[4.0, 20.0, 36.0]",
